"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","class","coordinatePrecision","geoFlag","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:35-03","UNESC","CRI","14432","PreservedSpecimen","Plantae","Lauraceae","Nectandra","angustifolia","Nectandra angustifolia","(Schrad.) Nees & Mart.","Oliveira, AA","2015","08","13","Gund, A.; Mazzonetto, C.; Bamberg, R. & Bona, W.","s.n.","2015","08","13","Brasil","Paraná","Altônia","Margem de estrada, Parque Nacional de Ilha Grande (PR). Margem de estrada, Parque Nacional de Ilha Grande (PR).","-53.944167","-23.984444","53º56'39''W","23º59'4''S","229","229","CRI013560","CRI013560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:18-03","E","E","259430","PreservedSpecimen","Plantae","Lauraceae","Nectandra","falcifolia","Nectandra falcifolia",NA,NA,NA,NA,NA,"Tweedie, John","107",NA,NA,NA,"AR",NA,NA,"Rio Parana",NA,NA,NA,NA,NA,NA,"E00259430",NA,"holotype","Temperate South America","herbarium specimen of unspecif","BGBASE:270824","<a href=http://data.rbge.org.uk/herb/E00259430 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","459968","PreservedSpecimen","Plantae","Lauraceae","Nectandra","angustifolia","Nectandra angustifolia","(Schrad.) Nees","H. H. van der Werff",NA,NA,NA,"G. G. Hatschbach","19072","1968","04","21","Brazil","Paraná","Icaraíma","Rio Paraná, Porto Camargo","-53.6139","-23.3958",NA,NA,NA,NA,"NY00459968","NY00459968_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687216' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-19 09:49:00-02","NY","NYBG","459971","PreservedSpecimen","Plantae","Lauraceae","Nectandra","angustifolia","Nectandra angustifolia",NA,"J. G. Rohwer",NA,NA,NA,"T. M. Pedersen","9622","1970","01","23","Argentina","Corrientes","Concepción","Estancia Fortin del Iberá",NA,NA,NA,NA,NA,NA,"NY00459971",NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687220' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","459976","PreservedSpecimen","Plantae","Lauraceae","Nectandra","angustifolia","Nectandra angustifolia","(Schrad.) Nees",NA,NA,NA,NA,"F. Sellow",NA,NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"NY00459976","NY00459976_01 NY00459976_02 NY00459976_03 NY00459976_04",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687222' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 17:19:00-03","NY","NYBG","459972","PreservedSpecimen","Plantae","Lauraceae","Nectandra","angustifolia","Nectandra angustifolia",NA,"J. G. Rohwer",NA,NA,NA,"M. M. Job","717","1936","02","01","Argentina","Santa Fé",NA,"Rio Paraná. Canal Viejo de Santa Fé a Colastiné",NA,NA,NA,NA,NA,NA,"NY00459972",NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687218' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","459975","PreservedSpecimen","Plantae","Lauraceae","Nectandra","angustifolia","Nectandra angustifolia","(Schrad.) Nees","J. G. Rohwer",NA,NA,NA,"G. G. Hatschbach","15832","1967","01","22","Brazil","Paraná",NA,"Rio Paraná, Ilha Bandeirante",NA,NA,NA,NA,NA,NA,"NY00459975","NY00459975_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687219' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-01-12 12:22:00-02","NY","NYBG","459973","PreservedSpecimen","Plantae","Lauraceae","Nectandra","angustifolia","Nectandra angustifolia",NA,"J. G. Rohwer",NA,NA,NA,"A. J. A. Bonpland","s.n.",NA,NA,NA,"Argentina","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,"NY00459973","NY00459973_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687221' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","459969","PreservedSpecimen","Plantae","Lauraceae","Nectandra","angustifolia","Nectandra angustifolia","(Schrad.) Nees","J. C. Lindeman",NA,NA,NA,"G. G. Hatschbach","15836","1967","01","22","Brazil","Rio Grande do Sul",NA,"Ilha dos Bandeirantes in the Rio Paraná facing Porto Camargo",NA,NA,NA,NA,NA,NA,"NY00459969","NY00459969_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687217' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 11:09:07-03","UNESP-IBB","BOTU","21856","PreservedSpecimen","Plantae","Lauraceae","Nectandra","angustifolia","Nectandra angustifolia","(Schrad.) Nees",NA,NA,NA,NA,"Amaral Jr., A.","94","1998","10","13","Brasil","Mato Grosso do Sul","Três Lagoas",NA,"-51.693333","-20.950556","51°41'36w","20°57'02s",NA,NA,"BOTU021856",NA,NA,NA,NA,NA,"Margem do Rio Paraná; mata de galeria; árvore de 8m de alrtura; vegetação descaracterizada: com Triplaris, angico, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
