"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","318672","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Jobinia","hatschbachii","Jobinia hatschbachii","Fontella & E.A.Schwarz","isotype","G. G. Hatschbach","1988","1970","06","03","South America","Brazil","Paraná","Orla, Fda. Céu Azul (mun. Piraquara)","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318672","NY00318672_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:19:52-03","NBC","NL-BOTANY","U 0000691","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Jobinia","hatschbachii","Jobinia hatschbachii","Fontella & E.A.Schwarz","isotype","Hatschbach GG",NA,"1970","06","03","Southern America","Brazil","Paraná","Fda. Céu Azul (mun. Piraquara ) Paraná",NA,NA,NA,"Orla, mata pluvial.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000691","NL-U0000691","Magnoliopsidae","Hatschbach GG","52230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:12:34-03","MBM","MBM","15819","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Jobinia","hatschbachii","Jobinia hatschbachii","Fontella & Schwartz","HOLOTYPE","Hatschbach, G.","24387","1970","06","03","Southern America","Brazil","Paraná","Fazenda Céu Azul","950","950",NA,"Volúvel, lacticírera, flor creme esverdeada. orla mata pluvial. Com intenso cheiro de mel; Volúvel, lacticífera, flor creme esverdeada.; Orla mata pluvial.","MBM015819","MBM015819",NA,"Fontella; Schwarz",NA,"1981","12","17","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA
"4","2020-12-11 11:31:49-03","UFMG","BHCB","52965","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Jobinia","hatschbachii","Jobinia hatschbachii","Fontella & E.A.Schwarz","Isotypus","Hatschbach, G","24387","1970","06","03","Southern America","Brasil","Paraná","Fazenda Céu Azul",NA,NA,NA,"Volúvel, lactífera, flor creme esverdeada com intenso cheiro de mel.; Orla da mata pluvial","BHCB000035","BHCB000035",NA,NA,NA,"1982",NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA
"5","2009-07-09 17:05:00-03","MO","MOBOT","1242207","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Jobinia","hatschbachii","Jobinia hatschbachii","Fontella & E.A. Schwarz","Isotype","Gert G. Hatschbach","Hatschbach 24387","1970","6","3","South America","Brazil","Paraná","Mpio. Piraquara, Fda. Céu Azul","950.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2009-07-09 17:05:00-03","MO","MOBOT","2458218","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Jobinia","hatschbachii","Jobinia hatschbachii","Fontella & E.A. Schwarz",NA,"Gert G. Hatschbach","Hatschbach 24387","1970","6","3","South America","Brazil","Paraná","Piraquara. Fazenda Céu Azul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-07-25 15:01:43-03","UNIOESTE","UNOP","2343","S","Plantae",NA,NA,"Apocynaceae","Jobinia","hatschbachii","Jobinia hatschbachii","Fontella & E.A. Schwarz",NA,"Hatschbach, G.; Fontella, J.; Fontella, J.","24387","1970","06","03",NA,"Brasil","Paraná","Fda. Céu Azul",NA,NA,NA,"Volúvel, lacticifera, flor creme esverdeada. Orla mata pluvial. Alt: 950 m com intenso cheiro de mel. ISOTYPUS.",NA,NA,NA,"Fontella, J.",NA,NA,NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA
"8","2020-08-31 08:52:22-03","INPA","INPA","200599","S","Plantae","Dicotyledon","Gentianales","Asclepiadaceae","Jobinia","hatschbachii","Jobinia hatschbachii","Fontella & E.A.Schwarz","isotype","Hatschbach, GG","24387","1970","06","03","Southern America","Brasil","Paraná","Fazenda Céu Azul. Orla da mata pluvial.",NA,NA,NA,NA,"INPA0200599","INPA0200599 INPA0200599_e",NA,"Hatschbach, GG",NA,"1988",NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3117039","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Jobinia","hatschbachii","Jobinia hatschbachii","Fontella & E.A. Schwarz","Isotype","G. Hatschbach","24387","1970","6","3","South America","Brazil","Paraná","Fda Ceu Azul.",NA,NA,NA,NA,"US00075645","US00075645_01","Dicotyledonae",NA,NA,NA,NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895","12577","auto","1",NA,NA
"10","2021-03-23 11:51:25-03","USP","SPF","141174","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Jobinia","hatschbachii","Jobinia hatschbachii","Font. & Schw.","isotype","Hatschbach, G","24387","1970","06","03",NA,"Brasil","Paraná","Fazenda Céu Azul",NA,NA,NA,"Volúvel, lactífera, flor creme esverdeada com intenso cheiro de mel. Orla da mata pluvial.","SPF00141174","SPF00141174",NA,NA,NA,NA,NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA
