"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00749424","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","brasiliana","Aeschynomene brasiliana","(Poir.) DC.","L. L. C. Antunes","J. G. Jardim","3670","2001","04","19","South America","Brazil","Bahia","Jaborandi","Rod. Jaborandi/Correntina, 9.5 km da sede do municipio.","-44.5091667","-13.56694444","680","680","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749424","NY00749424_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","451868","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","brasiliana","Aeschynomene brasiliana","(Poir.) DC.","L. L. C. Antunes","J. Estrada","366","1987","09","24","South America","Colombia","Meta","San Juan de Arama","Sierra de Macarena. Estación La Curia, Reserva Natural de La Macarena, enntre las estación y el Río Guejar",NA,NA,"580","620","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 04:25:00-03","NY","NYBG","01301373","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","brasiliana","Aeschynomene brasiliana",NA,NA,"J. M. Pires","52558","1962","08","21","South America","Brazil","Amapá",NA,"near airstrip, Calcoene","-50.92","2.5",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1571608' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301373","NY01301373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 14:43:00-02","NY","NYBG","451776","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","brasiliana","Aeschynomene brasiliana",NA,NA,"G. K. Gottsberger","719-7386","1986","03","07","South America","Brazil","Minas Gerais","Indianópolis","Indianópolis, Fazenda bela Tanda and neighbouring fazendas","-45.95","-19.05","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171054' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451776","NY00451776_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","451777","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","brasiliana","Aeschynomene brasiliana","(Poir.) DC.","R. O. Vanni","G. G. Hatschbach","64622","1996","04","13","South America","Brazil","Minas Gerais","Lassance","Rod. BR-496, Km. 59, próximo do trevo para Brejo","-44.5772","-17.8869",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451777","NY00451777_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","451772","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","brasiliana","Aeschynomene brasiliana","(Poir.) DC.",NA,"H. S. Irwin","16895","1966","06","10","South America","Brazil","Mato Grosso",NA,"Ca. 25 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.",NA,NA,"400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451772","NY00451772_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","451773","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","brasiliana","Aeschynomene brasiliana","(Poir.) DC.",NA,"W. R. Anderson","9710","1973","05","04","South America","Brazil","Mato Grosso",NA,"Ca. 35 km. (straight line) ENE of Barra do Garças",NA,NA,"500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451773","NY00451773_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","451764","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","brasiliana","Aeschynomene brasiliana","(Poir.) DC.","V. E. Rudd","A. Euponino","386","1978","11","21","South America","Brazil","Bahia","Porto Seguro","Rod. BR-367, a 10 km. a W de Porto Seguro. Regiao de Mata Higrófila Sul Baiana. Folha SE-24 (16-39c). margem do Rio do Peixe.","-39.1387939","-16.4206361",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451764","NY00451764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","451766","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","brasiliana","Aeschynomene brasiliana","(Poir.) DC.","R. C. Barneby","A. Euponino","386","1978","11","21","South America","Brazil","Bahia","Porto Seguro","Rod. BR-367, a 10 km. a W de Porto Seguro. Regiao de Mata Higrófila Sul Baiana. Folha SE-24 (16-39c). margem do Rio do Peixe.","-39.1387939","-16.4206361",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451766","NY00451766_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","452170","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","brasiliana","Aeschynomene brasiliana","(Poir.) DC.","L. L. C. Antunes","G. Cremers","8579","1985","02","22","South America","French Guiana",NA,NA,"Iles du Salut: Ile Royale",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
