"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","verbatimLongitude","verbatimLatitude","continentOcean","minimumElevationInMeters","maximumElevationInMeters","imagecode","order","fieldNumber","preparationType","class","typeStatus"
"1","2020-06-29 11:31:47-03","UFRJ","RFA","16017","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","chlorinum","Epidendrum chlorinum","Barb.Rodr.","F.F.V.A. Barberena","2010","01","18","P. Occhioni","7051","1975","03","15","Brasil","Rio de Janeiro","Itatiaia","Estr. para o Planalto km 12","-44.5633010864258","-22.4960994720459","19648","Epifita. Flor verde","RFA13775","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:30-03","ESALQ","ESA","65087","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","chlorinum","Epidendrum chlorinum","Barb.Rodr.","Forster, W.",NA,NA,NA,"Forster, W. et al.","94.0","1999","08","18","Brasil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105","21645",NA,"ESA065087","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:30-03","ESALQ","ESA","86120","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","chlorinum","Epidendrum chlorinum","Barb.Rodr.","Forster, W.",NA,NA,NA,"Forster, W. ; Mazine, F.F.","819.0","2000","12","16","Brasil","Minas Gerais","Alto Caparaó","BLOQUEADO","-41.8683013916016","-20.4333000183105","21645","Erva epífita crescendo a 3 m do solo, no forófito. Floriu em cultivo. Flores verdes.","ESA086120","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:49-03","MN","R","35742","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","chlorinum","Epidendrum chlorinum","Barb. Rodr.","Leoni, L.S.","1990","05",NA,"Brade, A.C.; Lima, S.","11768","1932","04",NA,"Brasil","Rio de Janeiro","Santa Maria Madalena","Santo Antônio de Imbé","-42.0080986022949","-21.9552993774414","30526",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-07-05 11:14:18-03","FFCLRP","LBMBP","421","S","Plantae","Orchidaceae","Epidendrum","chlorinum","Epidendrum chlorinum","Barb. Rodr.","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,"Brasil","São Paulo","Jundiaí",NA,"-46.883333","-23.183333",NA,NA,NA,NA,NA,"46°53'W","23°11'S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:40:45-03","UFJF","CESJ","53255","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","chlorinum","Epidendrum chlorinum","Barb. Rodr.","N.L. Abreu","2009","11",NA,"S.A. Roman; F.S. Souza; J..H.C. Ribeiro; J. Miloski; J.A. Oliveira","75","2009","04","04","Brasil","Minas Gerais","Lima Duarte","Serra Negra, RPPN Fazenda Serra Negra; Areial próximo a Cachoeira da Borboleta Azul","-43.793098449707","-21.8425006866455","30417","Erva terrestre em campo rupestre. Flores esverdeadas com máculas vináceas. Frutos verdes.","CESJ053255","auto","Angiosperma",NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:40:45-03","UFJF","CESJ","52568","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","chlorinum","Epidendrum chlorinum","Barb. Rodr.","N.L. Abreu","2008","12","13","N.L. Abreu; C.N. Matozinhos","303","2008","12","13","Brasil","Minas Gerais","Rio Preto","Serra Negra, Região do Burro de Ouro.","-43.8278007507324","-22.0891990661621","20815","Epífita em interior de mata nebular. Folhas e flores verdes.","CESJ052568","auto","Angiosperma",NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:40:45-03","UFJF","CESJ","66147","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","chlorinum","Epidendrum chlorinum","Barb. Rodr.","L. Menini Neto","2010",NA,NA,"L.C. Pereira; R.M. Mello","s.n.","2010",NA,NA,"Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Floresta Ombrófila Mista","-44.8899993896484","-21.9589004516602","29865","Erva epífita, no interior de floresta. Flores verdes","CESJ066147","auto","Angiosperma",NA,NA,"América do Sul","1700","1700",NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:40:45-03","UFJF","CESJ","58548","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","chlorinum","Epidendrum chlorinum","Barb. Rodr.","L. Menini Neto","2011","07",NA,"F.E. Alves; L. Menini Neto; R. Ottoni","136","2011","07","28","Brasil","Minas Gerais","Olaria","Serra do Cruz, Capão de mata. 21º 53'57S, 44º0438O. 1440 m.s.m.","-44.077222","-21.899167",NA,"Epífita em capão de mata. Frutos imaturos verdes. Altura em que se encontra no forofito: 3,50 m.","CESJ058548",NA,"Angiosperma","-44.077222","-21.899167","América do Sul","1440","1440",NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:40:45-03","UFJF","CESJ","67729","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","chlorinum","Epidendrum chlorinum","Barb. Rodr.","L. Menini Neto",NA,NA,NA,"E. Caglioni; A.R. Junckes","535","2014","08","19","Brasil","Santa Catarina","Ilhota","Parque Botânico Morro do Baú, Floresta Ombrófila Densa","-48.943439","-26.804147",NA,"Epífito com flores de coloração creme, coletado em subosque de floresta com estágio avançado de regeneração.","CESJ067729",NA,"Angiosperma","-48.943439","-26.804147","América do Sul","340","340",NA,NA,NA,NA,NA,NA
