"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","relatedCatalogItem","typeStatus","fieldNumber","infraspecificEpithet","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","616357","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","ovata","Myrcia ovata","Cambess.","N. Silveira","D. S. D. de Araújo","6328","1984","06","14","South America","Brazil","Rio de Janeiro","Cabo Frio","Nas dunas à margem da Lagoa de Araurama, Entrada da Figueira","-42.0183","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616357","NY00616357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","616358","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","ovata","Myrcia ovata","Cambess.","C. L. F. Ichaso","B. D. Sucre","8246","1972","11","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, Restinga de Jacarepaguá","-43.397161","-23.010952","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701459' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616358","NY00616358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","616363","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","ovata","Myrcia ovata","Cambess.","D. Martins","D. S. D. de Araújo","3315","1979","10","10","South America","Brazil","Rio de Janeiro","Macaé","Lagoa do Carapebus","-41.7867","-22.3708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616363","NY00616363_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","616362","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","ovata","Myrcia ovata","Cambess.","D. Martins","J. C. de Andrade","s.n.","1981","10","04","South America","Brazil","Rio de Janeiro","Saquarema","Saquarema, loteamento próximo à ruas Professor Waldos com Joao Alves Muniz","-42.5103","-22.9203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616362","NY00616362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","616359","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","ovata","Myrcia ovata","Cambess.",NA,"T. Morong","894a","1888",NA,NA,"South America","Paraguay",NA,NA,"Pilcomayo River",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616359","NY00616359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1522686","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","ovata","Myrcia ovata","Cambess.","D. Martins","D. S. D. de Araújo","3315","1979","10","10","South America","Brazil","Rio de Janeiro","Macaé","Lagoa do Carapebus","-41.7867","-22.3708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776529' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522686","NY01522686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616360","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","ovata","Myrcia ovata","Cambess.","D. Martins","D. S. D. de Araújo","4611","1981","09","23","South America","Brazil","Rio de Janeiro","Macaé","Próximo Brejo da Bezerra, em restinga aberta","-41.7867","-22.3708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701458' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616360","NY00616360_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1182141","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","ovata","Myrcia ovata","Cambess.","M. Sobral","R. D. Ribeiro","1124","2009","06","10","South America","Brazil","Rio de Janeiro","Armação dos Búzios","Praia de Tucuns.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397886' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182141","NY01182141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","616364","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","ovata","Myrcia ovata","Cambess.","G. M. Barroso","B. D. Sucre","11361","1961","09","28","South America","Brazil","Rio de Janeiro",NA,"Restinga da Barra da Tijuca","-43.36594","-23.011012","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616364","NY00616364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","616366","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","ovata","Myrcia ovata","Cambess.","C. M. D. E. Legrand","H. E. Strang","207","1960","09","10","South America","Brazil","Rio de Janeiro",NA,"Recreio dos Bandeirantes, Restinga de Itapeba","-43.39678","-23.000764","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616366","NY00616366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
