"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00916237","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","jussieuana","Peixotoa jussieuana","A.Juss.","C. E. Anderson","M. E. Alencar","240","1995","05","20","South America","Brazil","Piauí","Padre Marcos","Serra Velha - km 2 da vicinal para Alagoinha do PI.","-40.9042","-7.3553","420","420","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916237","NY00916237_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","67695","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","jussieuana","Peixotoa jussieuana glabrescens","Nied.",NA,"A. Mendonca","976",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067695","NY00067695_01","glabrescens","lectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00916238","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","jussieuana","Peixotoa jussieuana","A.Juss.",NA,"G. G. Hatschbach","41427","1978","04","24","South America","Brazil","Minas Gerais","Carmópolis","Rod. Fernão Dias.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916238","NY00916238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 19:32:00-03","NY","NYBG","02361250","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","jussieuana","Peixotoa jussieuana",NA,NA,"J. B. E. Pohl","1562",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2547213' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361250","NY02361250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:55:33-03","NBC","NL-BOTANY","L.2166877","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Peixotoa","jussieuana","Peixotoa jussieuana","Mart. ex A.Juss.",NA,"Gardner G",NA,"1839","01","01","Southern America","Brazil",NA,NA,"Piauhy.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166877 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166877","NL-L2166877",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:55:33-03","NBC","NL-BOTANY","L.2166878","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Peixotoa","jussieuana","Peixotoa jussieuana","Mart. ex A.Juss.",NA,"Ule EHG",NA,"1907","01","01","Southern America","Brazil",NA,NA,"Catinga abr Serra Bramca. * Estado de Piauhy.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166878 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166878","NL-L2166878",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 10:26:30-03","UFPI","TEPB","20069","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","jussieuana","Peixotoa jussieuana","Ad. Juss.","Rapini","CHAVES, E. M. F.","304","2003","05","17",NA,"Brasil","Piauí","Cocal","Várzea","-41.567222","-3.501111","150","150",NA,"Ambiente: Carrasco",NA,NA,NA,NA,NA,"1905","06","30","41°34'02W","03°30'04S",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-22 17:45:59-03","UFPI","TEPB","12170","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","jussieuana","Peixotoa jussieuana","Adr. Juss.","A. M. Amorim","M. E. Alencar","586","1999","04","22",NA,"Brasil","Piauí","Brasileira","Capela (6a. Cidade) - Parna de sete cidade","-41.700556","-4.091944","170","170",NA,"Cipó ca. 1,0 m ; flores amarelas. Substrato arenoso. Ambiente: Cerrado (Típico) <ll>dwc_commonname:</ll> Melosinha",NA,NA,NA,NA,NA,"2000","04","01","41°42'02W","04°05'31S",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 10:26:30-03","UFPI","TEPB","20057","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","jussieuana","Peixotoa jussieuana","Adr. Juss.","André Amorim","CHAVES, E. M. F.","457","2003","07","25",NA,"Brasil","Piauí","Cocal","Jacaré","-41.45","-3.500556","280","280",NA,"Arbusto, substrato arenoso. Ambiente: Carrasco",NA,NA,NA,NA,NA,"2004","02","07","41°27'00W","3°30'02S",NA,NA,NA,NA,NA,NA,NA
"10","2021-04-02 11:40:37-03","UFPI","TEPB","19760","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","jussieuana","Peixotoa jussieuana","Ad. Juss.","CHAVES, E. M. F.","CHAVES, E. M. F.","327","2003","05","17",NA,"Brasil","Piauí","Cocal","Várzea","-41.567222","-3.501111","150","150",NA,"fruto ferruginoso, ambiente de carrasco, substrato arenoso Ambiente: Carrasco",NA,NA,NA,NA,NA,"2004","06","01","41°34'02W","03°30'04S",NA,NA,NA,NA,NA,NA,NA
