"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","coordinatePrecision","individualCount","geoFlag","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","886524","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","pumila","Lellingeria pumila","Labiak","P. H. Labiak E.","P. H. Labiak E.","4015","2007","07","11","South America","Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia - Museu de Biologia Melo Leitão. Floresta de Encosta, próxima ao rio Timbuí.","-40.6031","-19.8967","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886524","NY00886524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:26:06-03","UFBA","ALCB","135663","PreservedSpecimen","Plantae","Fern",NA,"Polypodiaceae","Stenogrammitis","pumila","Stenogrammitis pumila","(Labiak) Labiak","Guedes, ML","Casas, JC; Andrade, S","7747","2018","08","06","Southern America","Brasil","Espírito Santo","Santa Tereza","Estação Biológica de Santa Lúcia, trilha do rio Timbuí.","-40.536111","-19.969444","656","656",NA,"Sobre pedra no leito.","ALCB064446","ALCB064446","2019","07","-40.536111","-19.969444",NA,NA,NA,NA,NA
"3","2020-09-29 14:53:35-03","UFPR","UPCB","57832","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","pumila","Lellingeria pumila","Labiak","Labiak, P.H.","Labiak, P.H.","4015","2007","07","11",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"600","600",NA,"Rupícola sobre leito do rio, em local sombreado. Floresta de Encosta, próximo ao rio Timbuí..","UPCB0008219","UPCB0008219","2007","07","9999","9999",NA,NA,NA,NA,NA
"4","2011-06-23 10:04:00-03","MO","MOBOT","100386513","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Stenogrammitis","pumila","Stenogrammitis pumila","(Labiak) Labiak",NA,"J. Barcia","Barcia 105","1976","7",NA,"South America","Brazil","Espírito Santo","Santa Teresa","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","23813","1","auto",NA
"5","2020-07-10 09:48:58-03","MBML","MBML-HERBARIO","255",NA,"Plantae",NA,NA,"Polypodiaceae","Stenogrammitis","pumila","Stenogrammitis pumila","(Labiak) Labiak","P.H. Labiak/Agosto-2014","W. Boone","693","1985","08","20",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Samambaia rupícola, ciófila, soros marrons, leito do rio Timbuí, próximo à cachoeira.","MBML000255",NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA
"6","2020-07-10 09:48:58-03","MBML","MBML-HERBARIO","31397",NA,"Plantae",NA,NA,"Polypodiaceae","Stenogrammitis","pumila","Stenogrammitis pumila","(Labiak) Labiak","P.Labiak/IX-2016","P. Labiak; et al","4015","2007","07","11",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,NA,"MBML031397","MBML031397",NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA
"7","2020-07-10 09:48:58-03","MBML","MBML-HERBARIO","14601",NA,"Plantae",NA,NA,"Polypodiaceae","Stenogrammitis","pumila","Stenogrammitis pumila","(Labiak) Labiak","P. Labiak/Agosto-2014","L. Kollmann; et al","4069","2001","06","28",NA,"Brasil","Espírito Santo","Santa Leopoldina","Santa Lúcia","-40.5297012329102","-20.1005992889404",NA,NA,NA,"Rupícola na sombra na beira do rio. Soros marrons.","MBML014601","MBML014601",NA,NA,NA,NA,NA,"23799",NA,"auto",NA
"8","2020-07-23 12:19:25-03","CEPLAC","CEPEC","122488","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Lellingeria","pumila","Lellingeria pumila",NA,"P. H. Labiak","P. H. Labiak","4015","2007","07","11",NA,"Brasil","Espírito Santo","SANTA TERESA","Estação Biológica de Santa Lúcia. Trilha na margem direita do Rio Timbuí.","-40.603056","-19.896667",NA,NA,NA,NA,NA,NA,NA,NA,"40W36'11","19S53'48",NA,NA,NA,NA,"30/07/2007"
"9","2019-12-19 16:20:56-03","UFMG","BHCB-SL","108496","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Stenogrammitis","pumila","Stenogrammitis pumila","(Labiak) Labiak","Dittrich, VAO; Salino, A","Kollmann, RL; Bausen, E; Pizziolo, W","4069","2001","06","28","América","Brasil","Espírito Santo","Santa Leopoldina","Santa Lúcia, terreno de Bepi Mass.","-40.5297012329102","-20.1005992889404","450","450",NA,"Rupícola na sombra na beira do rio. Soros marrons.","BHCB002043","BHCB002043","2008","06",NA,NA,NA,"23799",NA,"auto",NA
"10","2021-02-23 13:23:03-03","MN","R-TIPOS","192522","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Lellingeria","pumila","Lellingeria pumila","Labiak","Labiak, P.","Barcia, J.C.C.","105","1976","07",NA,NA,"Brasil","Espirito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"R000192522","R000192522_001","2000","04",NA,NA,"Holotypus","23813",NA,"auto",NA
