"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","identifiedBy","county","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount","sex"
"1","2016-09-27 02:52:00-03","NY","NYBG","565663","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","L. B. Holm-Nielsen","21787","1980","03","04","South America","Ecuador","Manabí","Canoa. Scaevola - Pectis community on the beach","-80.45","-0.52","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","565654","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","J. M. Pires","3432","1951","07","15","South America","Brazil","Bahia","Ilha de Itaparica","-38.721268","-13.00468","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565654","L.","J. M. Pires","Vera Cruz","NY00565654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2158495","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","G. Davidse","17847","1980","04",NA,"South America","Brazil","Pará","Just east of the fishing village of Camara which is ca. 11 km NW of Marudá","-47.68","-0.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2314372' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158495","L.",NA,"Marapanim","NY02158495_01","2","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2158499","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","A. da Silva","134","1944","02","21","South America","Brazil","Pará","Bosque Rodrigues Alves.","-48.4563965","-1.4304129","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2314376' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158499","L.",NA,"Belém","NY02158499_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","565661","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","R. M. Harley","17544","1974","03","31","South America","Brazil","Bahia","Coastal Zone. Itacaré, near the mouth of the Rio de Contas","-38.991009","-14.275193","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282083' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565661","L.",NA,"Itacaré","NY00565661_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02447169","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","P. G. Delprete","7122","1999","02","07","South America","French Guiana","Cayenne","Rt. Cayenne - Brasil (Rt. de Regina). Bridge over the Orapu River, Auberge des Orpailleurs; 4-5km upstream from the bridge.","-52.33","4.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=723063' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447169","L.","J. A. Kallunki",NA,"NY02447169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","565657","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","J. J. Wurdack","B--137","1946","09","02","South America","Brazil","Rio Grande do Norte","About 3 miles south of Ponta Negra, Natal","-35.2628","-5.9158","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565657","L.",NA,"Parnamirim","NY00565657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","565653","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","J. S. Blanchet","s.n.",NA,NA,NA,"South America","Brazil","Bahia","Intratrop.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282087' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565653","L.",NA,NA,"NY00565653_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565651","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","G. Gardner","6013","1836",NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565651","L.",NA,NA,"NY00565651_01 NY00565651_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2158497","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","K. Kubitzki","79-253","1979","09","21","South America","Brazil","Pará",NA,"-47.3560981750488","-0.613610982894897","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2314374' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158497","L.",NA,"Salinópolis","NY02158497_01",NA,NA,"23190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2158498","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","M. G. da Silva","2827","1976","11","13","South America","Brazil","Pará","Arredores da CELPA, mangal","-47.3560981750488","-0.613610982894897","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2314375' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158498","L.",NA,"Salinópolis","NY02158498_01",NA,NA,"23190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02158494","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","J. M. Pires","4330","1952","10","05","South America","Brazil","Pará","Na areia da praia.","-47.3560981750488","-0.613610982894897","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2314371' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158494","L.",NA,"Salinópolis","NY02158494_01",NA,NA,"23190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","565655","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","A. M. Amorim","961","1992","12","14","South America","Brazil","Bahia","Entre a praia do Farol e a praia da Ribeira","-38.9858437","-14.2814249","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565655","L.","C. A. Stace","Itacaré","NY00565655_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-27 02:11:00-03","NY","NYBG","565662","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","J. J. Pipoly","9066","1986","12","02","South America","Guyana",NA,"Demerara-Mahaica Region: Atlantic coastline facing leper colony & hospital at mouth of Mahaica R.","-57.92","6.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565662",NA,"J. A. Kallunki",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-27 15:48:00-03","NY","NYBG","565652","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","P. von Luetzelburg","353","1911","11",NA,"South America","Brazil","Bahia","Corva branca",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565652",NA,"Ron",NA,"NY00565652_01 NY00565652_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","565658","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Conocarpus","erecta","Conocarpus erecta","A. M. V. de Carvalho","6069","1995","07","15","South America","Brazil","Bahia","Praia do Farol","-38.9967","-14.2778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565658","L.",NA,"Itacaré","NY00565658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
