"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:33:54-03","UNESC","CRI","15295","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","João Paulo Gava Just","2020","01","17","João Paulo Gava Just","2020","01","17","Brasil","Santa Catarina","Nova Veneza","Bairro São Francisco.","-49.651944","-28.710833","49º39'7''W","28º42'39''S","116","116","Frutos vermelhos a bordô. JGJ_016) Habito: Arvoreta","CRI014712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:54-03","UNESC","CRI","15293","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","João Paulo Gava Just","2020","01","17","João Paulo Gava Just","2020","01","17","Brasil","Santa Catarina","Nova Veneza","Bairro São Francisco.","-49.653056","-28.709167","49º39'11''W","28º42'33''S","119","119","Fruto bordô. JGJ_017 Habito: Arvoreta","CRI014710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:54-03","UNESC","CRI","3807","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Marcos Sobral","1995","11","03","Z. P. Topanotti","1995","09","10","Brasil","Santa Catarina","Nova Veneza",NA,"-49.500833","-28.636944","49º30'3''W","28º38'13''S",NA,NA,NA,"CRI006062","33","CRI006062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","569279","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","J. R. Pirani",NA,NA,NA,"J. M. Silva","1986","10","10","Brazil","Paraná","Antonina","Porto das Moças","-48.72","-25.42",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569279","400","NY00569279_01","Magnoliophyta","Picramniales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01081579","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","J. R. Pirani",NA,NA,NA,"W. Hoehne","1966","11","01","Brazil","São Paulo","Sao Paulo","Jardim Botânico.","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238159' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081579","6161","NY01081579_01","Magnoliophyta","Picramniales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","569278","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.",NA,NA,NA,NA,"J. H. N. Nascimento","1978","01","13","Brazil","São Paulo","Sao Paulo","Sao Paulo, Parque Estadual das Fontes do Ipiranga, Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569278","7","NY00569278_01","Magnoliophyta","Picramniales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01081554","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","J. R. Pirani",NA,NA,NA,"J. R. Mattos","1965","08","19","Brazil","São Paulo","Salesópolis","Estaçao Biológica de Boracéa, 1.5 km. a oeste da sede.","-45.9009315","-23.65179",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237902' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081554","12470","NY01081554_01","Magnoliophyta","Picramniales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 19:59:00-03","NY","NYBG","569289","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia",NA,NA,NA,NA,NA,"O. Morrone","1996","10","15","Argentina","Misiones","General Manuel Belgrano","Bernardo de Irigoyen, 2 km al S de B. Irigoyen, sobre las nacientes Río Pepirí Guazú","-53.63","-26.27",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719789' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569289","1426",NA,"Magnoliophyta","Picramniales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:30:26-03","UNESP-IBB","BOTU","27038","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Hatschbach, G.","1999",NA,NA,"Cordeiro, J.","1999","01","18","Brasil","Paraná","Curitiba",NA,NA,NA,"9999","9999",NA,NA,"Arbusto, 2 m, frutos pretos. Capão nativo com Araucária.","BOTU027038","1525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:56-03","UTFPR","DVPR","5714","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engler","Brotto, ML","2016","11","22","Silva, JM; Bayeri, I; Noguchi, G","2016","10","29","Brasil","Paraná","Castro","PCH Rio Iapó, Fazenda Marumbi.","-50.0712","-24.4414","-50.0712","-24.4414","980","980","Arbusto com 3 m de altura, flor de cor vinho.; Floresta Ombrófila Mista.","DVPR005714","9549",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
