"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:04-03","E","E","161290","PreservedSpecimen","Plantae","Labiatae","Hyptis","lutescens","Hyptis lutescens","Bridgewater, S.; Filho, J.F.; Pott, A.; Ratter, J. & Santos, G. dos","1996","09","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:168668","<a href=http://data.rbge.org.uk/herb/E00161290 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:04-03","E","E","295168","PreservedSpecimen","Plantae","Labiatae","Hyptis","lutescens","Hyptis lutescens","Brooks, R.R.; Reeves, R.D.","1990","06","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:307988","<a href=http://data.rbge.org.uk/herb/E00295168 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295168","646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00857602","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lutescens","Hyptis lutescens","D. R. Hunt","1966","06","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=941233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857602","6028","Magnoliophyta","Lamiales","Pohl ex Benth.","R. M. Harley","Mato Grosso","Barra do Garças","Barra dos Garças - Xavantina road, 77 km. from Barra do Garças.","-52.2567","-15.8903","600","1000","NY00857602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00857530","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lutescens","Hyptis lutescens","S. G. da Fonsêca","1967","08","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857530","280","Magnoliophyta","Lamiales","Pohl ex Benth.","R. M. Harley","Mato Grosso","Barra do Garças","Acampamento da fundação Banco do Brasil Central, Vale do Sonho.","-52.2567","-15.89",NA,NA,"NY00857530_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00857555","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lutescens","Hyptis lutescens","S. A. Mori","1984","07","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857555","16986","Magnoliophyta","Lamiales","Pohl ex Benth.","R. M. Harley","Minas Gerais",NA,"Mun. São Gonçalo, BR040, km. 251.",NA,NA,"720","720","NY00857555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00857556","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lutescens","Hyptis lutescens","R. M. Harley","1984","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857556","CFCR4583","Magnoliophyta","Lamiales","Pohl ex Benth.","R. M. Harley","Minas Gerais","Couto de Magalhães de Minas","Faz. Abóboras.","-43.4708","-18.0717",NA,NA,"NY00857556_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00857644","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lutescens","Hyptis lutescens","P. W. Richards","1968","07","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=941252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857644","6406","Magnoliophyta","Lamiales","Pohl ex Benth.","R. M. Harley","Mato Grosso",NA,"Plot 4, P/C transect, Xavantina.","-52.23","-14.63",NA,NA,"NY00857644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00857529","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lutescens","Hyptis lutescens","J. H. Kirkbride Jr.","1980","05","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857529","3481","Magnoliophyta","Lamiales","Pohl ex Benth.",NA,"Goiás","Vila Boa","Lago Paraim.","-47","-15.12",NA,NA,"NY00857529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00857561","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lutescens","Hyptis lutescens","A. F. Regnell","1870","04","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=943526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857561","I327","Magnoliophyta","Lamiales","Pohl ex Benth.",NA,"Minas Gerais","Caldas","Chacara.","-46.3858","-21.9236",NA,NA,"NY00857561_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00499874","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lutescens","Hyptis lutescens","B. J. Pickel","1945","05","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499874","2148","Magnoliophyta","Lamiales","Pohl ex Benth.","C. C. Epling","São Paulo","Carapicuiba","Carapicuiba (Sitio S. Esterao)","-46.83","-23.5203",NA,NA,"NY00499874_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
