"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","class","order","scientificNameAuthorship","identifiedBy","recordNumber","continentOcean","locality","minimumElevationInMeters","individualCount","imagecode","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","occurrenceRemarks"
"1","2020-11-04 11:11:16-03","ESALQ","ESA","49962","PreservedSpecimen","Plantae","Magnoliophyta","Gesneriaceae","Sinningia","carangolensis","Sinningia carangolensis","Leoni, L.S. et al.","1991","01","13","Brasil","Minas Gerais","Carangola","-42.0293998718262","-20.7331008911133","21913","ESA049962","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","3189668","PreservedSpecimen","Plantae",NA,"Gesneriaceae","Sinningia","carangolensis","Sinningia carangolensis","L. S. Leoni","1988","12","13","Brazil","Minas Gerais",NA,"-42.03","-20.78",NA,"US00345936",NA,"Dicotyledonae","Scrophulariales","Chautems","Skog, L. E.","586","South America - Neotropics","MG - Carangola - Pedra Elefante","700","1","US00345936_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2014-09-23 10:47:40-03","G","G","G00164685","S","Plantae",NA,"Gesneriaceae","Sinningia","carangolensis","Sinningia carangolensis","Leoni, L.S. & A. Chautems","1991","01","13","Brazil","Minas Gerais","Andradas","-46.48","-22.12",NA,"G00164685",NA,NA,NA,"Chautems","Chautems, A.","1394","AMERIQUE DU SUD",NA,"600",NA,"G00164685","1993","01","01","ISOTYPUS of Sinningia carangolensis Chautems","-46.48","-22.12","600","Coordinate uncertainty: Approx. in a 1'000-3'500 m. radius Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=170421&base=img&lang=en"
