"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","yearIdentified","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","imagecode","monthIdentified","dayIdentified","fieldNumber","typeStatus","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","02736633","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","sampaioana","Lavoisiera sampaioana","Barreto","F. Almeda","9673","2009","03","02","South America","Brazil","Minas Gerais","Santo Antonio do Itambe","-43.34817","-18.39867","1367","2038","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244526' target='other'> <mi>dwc_moreinfo</mi></a>","NY02736633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:44:23-03","EAO","IAN","130466","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Lavoisiera","sampaioana","Lavoisiera sampaioana","Barreto","Irwin, HS; Maxwell, HS","20638","1968","02","22","Southern America","Brasil","Minas Gerais","Sandstones outcrops, Vacaria, summit of Serra do Cipó, km 145 (ca. 170km N. of Belo H.).",NA,NA,"1500","1500",NA,NA,"IAN130466","Wurdack, JJ","1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:13:21-03","ESALQ","ESA","132595","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Lavoisiera","sampaioana","Lavoisiera sampaioana",NA,"Semir, J.","8657.0","1978","11","03",NA,"Brasil","Minas Gerais",NA,"-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"ESA132595",NA,NA,"Jaboticatubas","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:34:07-03","UNICAMP","UEC","169566","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","sampaioana","Lavoisiera sampaioana","Barreto","Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9673","2009","03","02",NA,"Brazil","Minas Gerais","Parque Estadual do Pico do Itambé, from the Fazenda at 1367 m to the summit of Pico do Itambé at 2038 m, along the main trail.","-43.589333","-18.674111","1367","2038",NA,"Shrubs mostly 1-15 m tall. Flowers 8-merous. Petals pink. Androecium yellow. Common.; Campo rupestre and campo limpo vegetation interspersed with wooded areas around rock outcrops and gallery forests.","UEC010974",NA,NA,"Santo Antônio do Itambé",NA,NA,"-43.589333","-18.674111","UEC010974",NA,NA,NA,NA,NA
"5","2021-03-01 16:34:07-03","UNICAMP","UEC","176242","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","sampaioana","Lavoisiera sampaioana","Barreto","Souza, VC; Sampaio, D; Araújo, AO; Romão, GO; Elias, SI","28344","2002","02","25",NA,"Brazil","Minas Gerais","Estrada para Araçuaí, ca. 2km de Diamantina.","-43.593611","-18.216944","1300","1300",NA,"Subarbusto, até 1m alt. pétalas róseas.; Campo Rupestre.","UEC037963","Martins, AB","2013","Diamantina",NA,NA,"-43.593611","-18.216944","UEC037963",NA,NA,NA,NA,NA
"6","2021-03-01 16:34:07-03","UNICAMP","UEC","10422","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","sampaioana","Lavoisiera sampaioana","Barreto","Semir, J; Joly, AM","3789","1973","01","06",NA,"Brazil","Minas Gerais","km 139 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Altua 30 a 40 cm, flor lilás - roxo.","UEC022946","Martins, AB","2002","Jaboticatubas","31264","auto",NA,NA,"UEC022946",NA,NA,NA,NA,NA
"7","2021-03-01 16:34:07-03","UNICAMP","UEC","10386","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","sampaioana","Lavoisiera sampaioana","Barreto","Joly, AB; Semir, J","3192","1972","08","22",NA,"Brazil","Minas Gerais","km 142 ao longo da rodovia lagoa Santa - Conceição do mato Dentro.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Grupo, pectinata, flor lilás , altura 1,60m.","UEC022980","Martins, AB","2000","Jaboticatubas","31264","auto",NA,NA,"UEC022980",NA,NA,NA,NA,NA
"8","2021-03-01 16:34:07-03","UNICAMP","UEC","10385","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","sampaioana","Lavoisiera sampaioana","Barreto","Semir, J","8657","1978","11","03",NA,"Brazil","Minas Gerais","SERRA DO cIPÓ.","-43.7449989318848","-19.513599395752",NA,NA,NA,"arbusto até 1m, flores lilases.","UEC022944","Martins, AB","2000","Jaboticatubas","31264","auto",NA,NA,"UEC022944",NA,NA,NA,NA,NA
"9","2021-03-01 16:34:07-03","UNICAMP","UEC","111675","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","sampaioana","Lavoisiera sampaioana","Barreto","Barreto, M","309","1934","02","03",NA,"Brazil","Minas Gerais","Serra do Cipó, Estrada do Pilar.","-43.8513984680176","-19.7696990966797",NA,NA,NA,"Arbusto 1,00. Flor rubra.; CAMPO","UEC022950","Barreto, M",NA,"Santa Luzia","19939","auto",NA,NA,"UEC022950",NA,NA,NA,NA,NA
"10","2021-03-01 16:34:07-03","UNICAMP","UEC","111684","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","sampaioana","Lavoisiera sampaioana","Barreto","Barreto, M","8913","1938","02","02",NA,"Brazil","Minas Gerais","Serra do Cipó,km 138 - Estrada do Pilar.","-43.8513984680176","-19.7696990966797",NA,NA,NA,"ar4busto, flor rósea","UEC022956","Barreto, M",NA,"Santa Luzia","19939","auto",NA,NA,"UEC022956",NA,NA,NA,NA,NA
