"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","class","order","imagecode","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:39:33-03","E","E","373678","PreservedSpecimen","Plantae","Gramineae","Chusquea","anelythra","Chusquea anelythra","unspecified kind of","Sellow, Friedrich","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:434386","<a href=http://data.rbge.org.uk/herb/E00373678 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:53:12-03","EAO","IAN","103877","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"Brade, AK","Southern America","Brasil",NA,NA,NA,"IAN103877","Monocotiledônea","Nees","Clark, LG","2015","07","09","17393","1945","02","05","Rio de Janeiro","Itatiaia","<aromba nova picada na mata.","-44.5633010864258","-22.4960994720459","19648","1200","1200","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:16:50-03","NBC","NL-BOTANY","L.1233848","PreservedSpecimen","Plantae","Gramineae","Chusquea","anelythra","Chusquea anelythra",NA,"Reitz R; Klein RM","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1233848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1233848",NA,"Nees",NA,NA,NA,NA,NA,"1960","12","20",NA,NA,"SANTA CATARINA. MOnte Crista, Garuva, São Francisco de Sul.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Poales","NL-L1233848",NA,NA,NA,NA,NA
"4","2020-02-08 10:16:50-03","NBC","NL-BOTANY","L.1233849","PreservedSpecimen","Plantae","Gramineae","Chusquea","anelythra","Chusquea anelythra",NA,"Sellow F","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1233849 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1233849",NA,"Nees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Poales","NL-L1233849",NA,NA,NA,NA,NA
"5","2020-12-20 21:18:55-03","UFV","VIC","51280","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"Costa, C.J.",NA,"Brasil",NA,NA,"Bambu escandente a apoiante. Colmo rocheados a amarelos, com região infranodal com uma faixa de cera esbranquiçada.","VIC051280",NA,"Nees",NA,NA,NA,NA,"et al.","2016","04","21","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41","-20",NA,"1337","1337",NA,NA,NA,"VIC051280","-41","-20",NA,NA,NA
"6","2020-12-20 21:18:55-03","UFV","VIC","051125","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"Clark, L.G.",NA,"Brasil",NA,NA,"Em mata planta robusta.","VIC051125",NA,"Nees",NA,NA,NA,NA,"16061","1990","01","19","São Paulo","Campos do Jordão","São José dos Alpes, Parque Estadual.","-45.5900001525879","-22.7299995422363","21048",NA,NA,"auto",NA,NA,"VIC051125",NA,NA,NA,NA,NA
"7","2019-08-16 08:40:36-03","UTFPR","HCF","27947","S","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"G. Martinelli",NA,"Brasil",NA,NA,"bambú decumbente, semi-ciófilo, colmos arroxeados. Folhas concolores. Espigas verde-paleáceas. Alt.: 1000-1400 m.",NA,NA,"Nees","Lynn G. Clark","2018","03","14","13435","1989","05","25","RJ","Nova Friburgo","Macaé de Cima, nascente do Rio das","-42.5311012268066","-22.2819004058838","33190",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:40:11-03","MBM","MBM","425628","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"Martinelli, G.; Pessoa, S.V.A.; Correira, C.; Gomes, M.; Gomes, J.C.; Pessoa, S.V.A.; Correira, C.; Gomes, M.; Gomes, J.C.","Southern America","Brazil",NA,NA,"Bambú, decumbente, semi-heliófila; colmos arroxeados, folhas concolores, espigas verde-paleáceas.","MBM425628",NA,"Nees","Clark, L.G.","2018","03","14","13435","1989","05","25","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Nascente do Rio das Flores, Pedra Bicuda","-42.5311012268066","-22.2819004058838","33190","1000","1000","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-08 16:03:21-03","MNHN","RECOLNAT_MNHN_P","P00625465","PreservedSpecimen",NA,"Poaceae","Chusquea","anelythra","Chusquea anelythra","isotype","Sellow, F.",NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00625465' target='other'> <mi>dwc_moreinfo</mi></a>","P00625465",NA,"Nees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,"P00625465_01",NA,NA,NA,NA,NA
"10","2015-09-04 01:01:27-03","MNHN","RECOLNAT_MNHN_P","P02348014","PreservedSpecimen",NA,"Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"Smith, L.B.",NA,"Brasil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02348014' target='other'> <mi>dwc_moreinfo</mi></a>","P02348014",NA,"Nees",NA,NA,NA,NA,NA,"1929","1","7","Rio de Janeiro",NA,"Open summit, Mt. Itatiaya, Estação Biologica.","-44.68333","-22.41667",NA,NA,NA,NA,NA,NA,"P02348014_01",NA,NA,"1719",NA,NA
"11","2020-12-11 11:45:01-03","UFMG","BHCB","148516","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"Giacomin, LL; Viana, PL; Mota, NFO","Southern America","Brasil",NA,NA,"Colmos escandentes, anel seroso branco infranodal.","BHCB045604","Monocotyledon","Nees",NA,"2018","03","20","907","2009","04","19","Rio de Janeiro","Nova Friburgo","Macaé de Cima., RPPN Bacchus. Propriedade do Sr. David Muller. Trilha que leva para topo da serra, passando pela antena.","-42.5","-22.374444",NA,"1501","1501",NA,NA,NA,NA,"-42.5","-22.374444",NA,NA,NA
"12","2020-12-11 11:45:01-03","UFMG","BHCB","131199","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"Viana, PL; Mota, NFO; Giacomin, LL","Southern America","Brasil",NA,NA,"Bambu escandente. Frequente.; Em beira de riacho.","BHCB045603","Monocotyledon","Nees",NA,"2018","03","21","4186","2009","04","08","São Paulo","Bananal","Estação Ecológica de Bananal","-44.3199996948242","-22.6800003051758","26795",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
