"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","376510","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","triangulare","Canistrum triangulare","L.B.Sm. & Reitz","G. Martinelli","H. Q. B. Fernandes","2155","1987","06","08","South America","Brazil","Espírito Santo","Santa Teresa","Cabeceira do 25 de Julho","-40.6003","-19.9358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376510","NY00376510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:38-03","UFRJ","RFA","30929","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","triangulare","Canistrum triangulare","L.B.Sm. & Reitz","A.P.G. Faria","A.P.G. Faria; T. Wendt; D.M.C. Santos; L.F.G. Silva; G.K. Brown; R.A. Kautsky","96","2002","10","01",NA,"Brasil","Espírito Santo","Domingos Martins","Trilha da Floresta, propriedade de Roberto A. Kautsky","-40.6591987609863","-20.3633003234863",NA,"Folha com ápice roxo, bráctea escapal vermelha, pétalas brancas","RFA52112",NA,"2002","10","01","48150","auto",NA,NA,NA,NA,NA
"3","2020-12-21 16:19:23-03","MBM","MBM","172862","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","triangulare","Canistrum triangulare","L.B.Sm. & Reitz","Leme, E.M.C.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","61524","1995","01","15","Southern America","Brazil","Espírito Santo","Venda Nova do Imigrante","Alto Bananal","-41.1347007751465","-20.3397006988525",NA,NA,"MBM172862","MBM172862",NA,NA,NA,"15909","auto",NA,NA,NA,NA,NA
"4","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","10234",NA,"Plantae",NA,NA,"Bromeliaceae","Canistrum","triangulare","Canistrum triangulare","L.B.Smith & Reitz","I. G. Varassin","I. G. Varassin; et al","55","1998","12","18",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita,. Semi-sombra. Brácteas florais vermelhas.","MBML010234","MBML010234",NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA
"5","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","5336",NA,"Plantae",NA,NA,"Bromeliaceae","Canistrum","triangulare","Canistrum triangulare","L.B.Smith & Reitz","L. Kollmann/02-04-2002","M. F. dos Santos; D. Loss",NA,"1988","08","08",NA,"Brasil","Espírito Santo","Santa Teresa","Santa Lúcia","-40.5125","-19.971944",NA,"Epífita estéril. Em área desmatada, herborizada em 14/X1/1988. flores de cálice avermelhado, pétalas brancas, brácteas avermelhadas, herb/culta.","MBML005336","MBML005336",NA,NA,NA,NA,NA,"40W30'45","19S58'19",NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2423823","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Canistrum","triangulare","Canistrum triangulare","L.B. Sm. & Reitz",NA,"E. Pereira","2246","1956","12","6","South America - Neotropics","Brazil","Espírito Santo","Castelo","Forno Grande, Castelo.","-41.184700012207","-20.6035995483398",NA,NA,"US00091429","US00091429_01",NA,NA,NA,"23588","auto",NA,NA,"Monocotyledonae","Isotype","1"
"7","2019-11-21 10:02:34-03","IBt","SP","44741","S","Plantae",NA,NA,"Bromeliaceae","Canistrum","triangulare","Canistrum triangulare","L.B.Sm. & Reitz","Leme, EMC","Foster, M; Foster, R","832","1940","08","07",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"SP051467","SP051467","1991","04",NA,"23813","auto",NA,NA,NA,NA,NA
