"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","stateProvince","locality","imagecode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","infraspecificEpithet","individualCount"
"1","2020-09-23 10:40:18-03","E","E","156663","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velloziana","Ocotea velloziana","Harley, R.M.","21260","1980","04","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:165836","<a href=http://data.rbge.org.uk/herb/E00156663 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00156663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 21:41:00-03","NY","NYBG","00918184","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velloziana","Ocotea velloziana","J. B. E. Pohl","2649",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918184","Magnoliophyta","Laurales","J. G. Rohwer","Goiás","Brasilia, Cap. L. Goyaz.","NY00918184_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","538034","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velloziana","Ocotea velloziana","D. C. Daly","6073","1989","05","23","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538034","Magnoliophyta","Laurales",NA,"Antioquia","18 km E of Amalfi town center on winding roads to Monos and Portachuelo",NA,"(Meisn.) Mez","Amalfi","-75.05","6.92","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00918179","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velloziana","Ocotea velloziana","J. F. Ramos","6672","1966","07","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918179","Magnoliophyta","Laurales","J. G. Rohwer","Distrito Federal","Fazenda Vargem Bonita, ca. 10 km. south of Brasilia.","NY00918179_01","(Meisn.) Mez","Brasília","-47.9294","-15.7797","900","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 15:01:00-03","NY","NYBG","538033","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velloziana","Ocotea velloziana","H. H. van der Werff","10571","1989","02","13","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538033","Magnoliophyta","Laurales",NA,"Imbabura","Carretera Otavalo-Selva Alegre",NA,NA,NA,NA,NA,"2600","2600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","539595","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velloziana","Ocotea velloziana","A. Gehrt","s/n°","1936","04","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539595","Magnoliophyta","Laurales","J. G. Rohwer","São Paulo","Sao Paulo (Capital), Pinheiros","NY00539595_01","(Meisn.) Mez","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","539597","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velloziana","Ocotea velloziana","R. M. Harley","19635","1977","03","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539597","Magnoliophyta","Laurales","H. H. van der Werff","Bahia","Serra do Rio de Contas. Middle N.E. slopes of the Pico das Almas ca. 25 km. W.N.W. of the Vila do Rio de Contas","NY00539597_01","(Meisn.) Mez","Rio de Contas","-41.95","-13.55","1500","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","539592","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velloziana","Ocotea velloziana","P. K. H. Dusén","16883","1915","03","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539592","Magnoliophyta","Laurales","J. G. Rohwer","Paraná","Capao Bonito","NY00539592_01","(Meisn.) Mez","Lapa","-49.7156","-25.7697","790","790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","539598","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velloziana","Ocotea velloziana","S. A. Mori","10313","1978","07","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539598","Magnoliophyta","Laurales","H. H. van der Werff; J. G. Rohwer","Bahia","Estaçao Ecológica do Pau-Brasil e arredores, cerca de 16 km a W de Porto Seguro. Folha SE-24 (16-39c)","NY00539598_01","(Meisn.) Mez","Santa Cruz Cabrália","-39.1815805","-16.3721094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","680030","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velloziana","Ocotea velloziana","W. R. Anderson","10329","1973","05","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680030","Magnoliophyta","Laurales","J. G. Rohwer","Goiás","Serra dos Pirineus, ca. 15 km N of Corumbá de Goiás; north slope of ridge","NY00680030_01","(Meisn.) Mez","Cocalzinho de Goiás","-48.80861","-15.7880556","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
