"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","country","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","phylum","recordNumber","month","day","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","identifiedBy","coordinatePrecision","geoFlag","class"
"1","2015-09-18 10:03:18-03","MNHN","RECOLNAT_MNHN_P","P00542228","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.","holotype","Saint-Hilaire, A. de","1816","Brésil","Serra da Caraca","6000","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00542228' target='other'> <mi>dwc_moreinfo</mi></a>","P00542228","P00542228_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-18 10:03:33-03","MNHN","RECOLNAT_MNHN_P","P00542229","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.","isotype","Saint-Hilaire, A. de","1816","Brésil","Serra da Caraca","6000","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00542229' target='other'> <mi>dwc_moreinfo</mi></a>","P00542229","P00542229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-18 10:03:49-03","MNHN","RECOLNAT_MNHN_P","P00542230","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.","isotype","Saint-Hilaire, A. de","1816","Brésil","Serra da Caraca","6000","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00542230' target='other'> <mi>dwc_moreinfo</mi></a>","P00542230","P00542230_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:39:45-03","UFMG","BHCB","142112","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Oliveira, CT","2008","Brasil","RPPN Santuário do Caraça, subida para o Pico Cangerana","1791",NA,"arbusto de 1,5 m, flores amarelas, brácteas verdes, crescendo entre pedras.",NA,NA,"Plantae","Dicotyledon","206","10","27","Southern America","Minas Gerais","Catas Altas","-43.5125","-20.132222","-43.5125","-20.132222","1791",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:39:45-03","UFMG","BHCB","142184","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Oliveira, CT; Stehmann, JR","2008","Brasil","RPPN Santuário do Caraça, beira de riacho, próximo ao Pico do Inficionado","1848",NA,"arbusto de 1,0 m, flores amarelas, cálice verde.",NA,NA,"Plantae","Dicotyledon","278","12","09","Southern America","Minas Gerais","Catas Altas","-43.459167","-20.137778","-43.459167","-20.137778","1848",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:39:45-03","UFMG","BHCB","176698","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Pivari, MOD; Paiva, JAM; Tomich, S; Nascimento, L","2015","Brasil","RPPN Poço Fundo",NA,NA,"Arbusto; ca. 1,0m alt; frutos castanhos.; Campo Rupestre Quartzítico",NA,NA,"Plantae","Dicotyledon","2369","06","16","Southern America","Minas Gerais","Congonhas","-43.905833","-20.445833","-43.905833","-20.445833",NA,"2015","11",NA,NA,NA,NA,NA
"7","2020-12-11 11:39:45-03","UFMG","BHCB","178891","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Paiva, JAM; Pivari, MOD; Tomich, S; Nascimento, L","2015","Brasil","RPPN Capanema",NA,NA,"Arbusto; ca. 1,0m alt; flores amarelas.; Campo Rupestre Quartzítico",NA,NA,"Plantae","Dicotyledon","890","09","29","Southern America","Minas Gerais","Ouro Preto","-43.605","-20.197222","-43.605","-20.197222",NA,"2015","11",NA,NA,NA,NA,NA
"8","2020-12-11 11:39:45-03","UFMG","BHCB","183913","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Paiva, JAM; Souza, LS; Silva, E","2016","Brasil","RPPN Capivari II","1324",NA,"Arbustivo, 2m alt. Saxícola. Botões florais amarelos. Frutos imaturos verdes.; Campo Rupestre Quartizito. Sob rocha quartzítica.",NA,NA,"Plantae","Dicotyledon","1108","11","22","Southern America","Minas Gerais","Itabirito","-43.672222","-20.15","-43.672222","-20.15","1324","2016","12","15",NA,NA,NA,NA
"9","2020-12-11 11:39:45-03","UFMG","BHCB","183973","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Sousa, NL; Souza, JAM; Avelar, R","2016","Brasil","RPPN Córrego Seco","1200",NA,"Herbáceo, 0,35m alt. Terrestre. Botão floral amarelo. Frutos verdes. Folha cartácea, pecíolo e nervura central da folha vermelha.; Cerrado Sentido Restrito. Solo vermelho argiloso.",NA,NA,"Plantae","Dicotyledon","427","11","29","Southern America","Minas Gerais","Itabirito","-43.854444","-20.271944","-43.854444","-20.271944","1200","2016","12","15",NA,NA,NA,NA
"10","2020-12-11 11:39:45-03","UFMG","BHCB","184086","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Paiva, JAM; Souza, LS; Silva, E","2016","Brasil","RPPN Capivari I","1403",NA,"Arbustivo, 1m alt. Rupícola. Flores amarelas.; Campo Rupestre Quartizito. Área pós queimada.",NA,NA,"Plantae","Dicotyledon","1199","11","29","Southern America","Minas Gerais","Santa Bárbara","-43.633056","-20.148611","-43.633056","-20.148611","1403","2016","12","15",NA,NA,NA,NA
"11","2020-12-11 11:39:45-03","UFMG","BHCB","184248","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Paiva, JAM; Souza, LS; Silva, E; Tomich, S","2016","Brasil","RPPN Capivari I","1340",NA,"Arbustivo, 1m alt. Terrestre. Flores amarelas. Frutos imaturos verdes e quando maduros castanhos.; Campo Sujo/Campo Cerrado.",NA,NA,"Plantae","Dicotyledon","1285","12","08","Southern America","Minas Gerais","Santa Bárbara","-43.590833","-20.173889","-43.590833","-20.173889","1340","2016","12","15",NA,NA,NA,NA
"12","2020-12-11 11:39:45-03","UFMG","BHCB","188576","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Pereira, AFS; Souza, JAM; Silva, E","2017","Brasil","Fazenda Córrego das Almas","1538",NA,"Arbusto terrícola; frutos maduros castanhos.; Campo Rupestre Ferruginoso, Canga Laterítica couraçada","BHCB188576",NA,"Plantae","Dicotyledon","63","03","22","Southern America","Minas Gerais","Ouro Preto","-43.527778","-20.240278","-43.527778","-20.240278","1538",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:39:45-03","UFMG","BHCB","179124","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Pivari, MOD; Paiva, JAM; Tomich, S; Nascimento, L","2015","Brasil","RPPN Capivari II",NA,NA,"Arbuasto; ca. 1,0m alt; flores amarelas.; Campo Rupestre Quartzítico",NA,NA,"Plantae","Dicotyledon","2668","10","07","Southern America","Minas Gerais","Itabirito","-43.663056","-21.6425","-43.663056","-21.6425",NA,"2015","11",NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","3072063","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A. St.-Hil.",NA,"Howard S. Irwin","1968","Brazil","Outcrops. Low gallery woods and adjacent rocky campo with sandstone and quartz outcrops, Serra do Espinhaco at Lapinha, Minas Gerais, ca. 18 km N. of Sérra on road ( MG 2) to Diamantina.","1200.00000000",NA,NA,NA,NA,"Plantae",NA,"Irwin 20732","2","23","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Sastre",NA,NA,NA
"15","2018-10-09 16:31:58-03","UFLA","ESAL","11538","S","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Gavilanes, ML",NA,"Brasil","Serra do Campestre",NA,NA,"arbusto; 1,5; amarela;; campo rupestre",NA,NA,"Plantae",NA,"4.792",NA,NA,NA,"Minas Gerais","Lavras","-44.999444","-21.245278","-44.999444","-21.245278",NA,NA,NA,NA,"M. L. Gavilanes",NA,NA,NA
"16","2018-10-09 16:31:58-03","UFLA","ESAL","13350","S","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Marcos Antônio C. Menezes",NA,"Brasil",NA,"11",NA,"sub-arbusto; 1,0; amarela;; cerrado",NA,NA,"Plantae",NA,"s.n.",NA,NA,NA,"Minas Gerais","Lavras","-44.999444","-21.245278","-44.999444","-21.245278","11",NA,NA,NA,NA,NA,NA,NA
"17","2018-10-09 16:31:58-03","UFLA","ESAL","13587","S","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Lourenço, RA",NA,"Brasil","Parque Ecologico Quedas do Rio Bonito",NA,NA,"arbusto; 1,0; amarela;; campo rupestre",NA,NA,"Plantae",NA,"129",NA,NA,NA,"Minas Gerais","Lavras","-44.999444","-21.245278","-44.999444","-21.245278",NA,NA,NA,NA,NA,NA,NA,NA
"18","2018-10-09 16:31:58-03","UFLA","ESAL","6235","S","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Carvalho, DA; et al.",NA,"Brasil","Serra da Bocaina, Antena","12",NA,"arbusto; 1,0; amarela;; campo rupestre",NA,NA,"Plantae",NA,"s.n.",NA,NA,NA,"Minas Gerais","Lavras","-44.999444","-21.245278","-44.999444","-21.245278","12",NA,NA,NA,"J. Tamashiro",NA,NA,NA
"19","2018-10-09 16:31:58-03","UFLA","ESAL","8014","S","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Carvalho, DA; et al.",NA,"Brasil","Serra da Bocaina, Antena","12",NA,"sub-arbusto; 0,70; amarela;; campo rupestre",NA,NA,"Plantae",NA,"s.n.",NA,NA,NA,"Minas Gerais","Lavras","-44.999444","-21.245278","-44.999444","-21.245278","12",NA,NA,NA,"D. A. C.",NA,NA,NA
"20","2018-10-09 16:31:58-03","UFLA","ESAL","8645","S","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Carvalho, DA; et al.",NA,"Brasil","Serra da Bocaina, Antena","12",NA,"sub-arbusto; 0,50; amarela;; campo rupestre",NA,NA,"Plantae",NA,"s.n.",NA,NA,NA,"Minas Gerais","Lavras","-44.999444","-21.245278","-44.999444","-21.245278","12",NA,NA,NA,"D. A. C.",NA,NA,NA
"21","2019-06-10 10:11:17-03","FZB-BH","BHZB","10650","S","Ochnaceae","Luxemburgia","cf. corymbosa","Luxemburgia cf. corymbosa",NA,NA,"Ordones, J.","2014","Brasil","RPPN do Caraça, Serra do Caraça, Trillha para o Pico do Sol ( A 2, 1 km do Pico)",NA,NA,"Individuo isolado , unicata, em afloramento",NA,NA,"Plantae",NA,"2251","11","22",NA,"MG","Catas Altas","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,NA,NA,NA,"11966","auto",NA
"22","2019-06-10 10:11:17-03","FZB-BH","BHZB","10298","S","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa",NA,NA,"Ordones, J. et al.","2013","Brasil","RPPN Caraça, Gruta de Lourdes",NA,NA,"Coord: 065 8795 S / 7777228 W Outro coletor: Carlos A. Ferreira Junior.Anteriormente identificada como L. nobilis Eichler ex Engl.",NA,NA,"Plantae",NA,"2221","09","06",NA,"MG","Catas Altas","-43.481111","-20.095556","43W 28' 52","20S 05' 44",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-06-10 10:11:17-03","FZB-BH","BHZB","10552","S","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa",NA,NA,"Julio,J","2013","Brasil","RPPN do Caraça - Pico do Sol",NA,NA,"o coletor é guia da RPPN",NA,NA,"Plantae",NA,NA,"08",NA,NA,"MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-06-10 10:11:17-03","FZB-BH","BHZB","10394","S","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa",NA,NA,"Ordones, J.","2013","Brasil","RPPN - Gruta de Lourdes.",NA,NA,"Identificada por Domingos Cardoso por meio de fotos ( email ), material com frutos em 06/2013 Anteriormente identificada por L. cf. nobilis Eichler ex Engl. Doação de duplicata para HUEFS.",NA,NA,"Plantae",NA,"2225","12","05",NA,"MG","Catas Altas","-43.4075012207031","-20.0746994018555",NA,NA,NA,"2014","05",NA,"Domingos Cardoso","11966","auto",NA
"25","2019-06-10 10:11:18-03","FZB-BH","BHZB","10723","S","Ochnaceae","Luxemburgia Cf.","corymbosa","Luxemburgia Cf. corymbosa",NA,NA,"Ordones, J.","2015","Brasil","Próximo a Gruta de Lourdes",NA,NA,"com duplicata",NA,NA,"Plantae",NA,"2249","03","07",NA,"MG","Catas Altas","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,NA,NA,NA,"11966","auto",NA
"26","2019-06-10 10:11:18-03","FZB-BH","BHZB","10616","S","Ochnaceae","Luxemburgia Cf.","corymbosa","Luxemburgia Cf. corymbosa",NA,NA,"Ordones, J.","2014","Brasil","RPPN Caraça , prox. Gruta de Lourdes",NA,NA,NA,NA,NA,"Plantae",NA,"2254","11","05",NA,"MG","Catas Altas","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,NA,NA,NA,"11966","auto",NA
"27","2019-01-23 11:21:27-02","F","FMNH-SEEDPLANTS","V0066151F","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa",NA,"Isotype","A. Saint-Hilaire",NA,"Brazil",NA,NA,NA,NA,"V0066151F","V0066151F_01","Plantae","Spermatophyta","s.n.",NA,NA,"South America",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"28","2017-09-11 17:11:22-03","UnB","HBVIRTFLBRAS",NA,"O","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.",NA,"Saint-Hilaire, AFCP",NA,"Brazil","in jugis altioribus montium Serra da Caraça prov. Minas Geraes, alt 2000 m.",NA,NA,NA,NA,NA,"Plantae",NA,"s.n",NA,NA,"Southern America","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2015-09-19 14:08:21-03","UM","RECOLNAT_UM_MPU","MPU010817","PreservedSpecimen","Ochnaceae","Luxemburgia","corymbosa","Luxemburgia corymbosa","A.St.-Hil.","type","Saint-Hilaire, A. de",NA,"Brésil","Montagnes de Caraca Province de Mou",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu010817' target='other'> <mi>dwc_moreinfo</mi></a>","MPU010817","MPU010817_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint-Hilaire",NA,NA,NA
