"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:24:46-03","UNESC","CRI","999","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea","L.","Vanilde Citadini- Zanette","E. Beninca","1992","04","26","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46","CRI000206","CRI000206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","868305","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea","L.","L. C. Ming","L. C. Ming","1994","02","03","Brazil","Acre","Xapuri","-68.5042","-10.6519",NA,NA,NA,NA,"NY00868305","NY00868305_01","Magnoliophyta","Caryophyllales","380","South America","Reserva Extratavista Chico Mendes, Seringal Sibéria, Colocoçao Semitumba.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632542' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 15:32:00-03","NY","NYBG","493675","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea cristata","(L.) Schinz",NA,"R. Espinosa","1950","09",NA,"Colombia","Nariño",NA,NA,NA,NA,NA,"420","420","NY00493675",NA,"Magnoliophyta","Caryophyllales","E3039","South America","Canangucho (162 km. E. Pasto)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120158' target='other'> <mi>dwc_moreinfo</mi></a>","cristata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 15:32:00-03","NY","NYBG","493676","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea cristata","(L.) Schinz",NA,"C. H. Dodson","1987","03","15","Ecuador","Los Ríos",NA,"-79.37","-0.58",NA,NA,"150","220","NY00493676",NA,"Magnoliophyta","Caryophyllales","17105","South America","Rio Palenque Science Center km 56, Quevedo to Santo Domingo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120157' target='other'> <mi>dwc_moreinfo</mi></a>","cristata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","493646","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea cristata","(L.) Schinz","S. F. Smith","F. Soares","1991","06","25","Brazil","Rio Grande do Sul","Caxias do Sul","-51.1792","-29.1683",NA,NA,"700","700","NY00493646","NY00493646_01","Magnoliophyta","Caryophyllales","s.n.","South America","Horto Florestal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120156' target='other'> <mi>dwc_moreinfo</mi></a>","cristata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:28:30-03","UNESP-IBB","BOTU","6688","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea","L.","Siqueira, J.C.","Chagas, F.N.","1976","08","04","Brasil","Amazonas","Humaitá","-63.166667","-7.516667","63°10'w","7°31's",NA,NA,"BOTU006688",NA,NA,NA,"188040876",NA,"Às margens do rio Madeira.",NA,"Mata secundária. Arbusto, 1,5m de altura e 1cm de diâmetro, inflorescência com flores marrom-esverdeado na base, e vinho o ápice.",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:28:30-03","UNESP-IBB","BOTU","78","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","cristata","Celosia cristata","L.","Sartorato, A.","Sartorato, A.","1971","10","21","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999",NA,NA,"BOTU000078","BOTU000078",NA,NA,NA,NA,"Faculdade de Ciências Médicas e Biológicas, Rubião Junior, 900m de altitude.",NA,"Planta ornamental. Cor das flores avermelhadas. <ll>dwc_commonname:</ll> crista de galo",NA,"1971","10","28",NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:28:30-03","UNESP-IBB","BOTU","128","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","cristata","Celosia cristata","L.","Tajiri, N.S.","Tajiri, N.S.","1971","09","18","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999",NA,NA,"BOTU000128","BOTU000128",NA,NA,"2",NA,"F.C.M.B.B., Rubião Junior, 50m oeste da Faculdade (Hospital), 900m de altitude.",NA,"Planta ornamental. Cor das flores avermelhadas. <ll>dwc_commonname:</ll> crista de galo",NA,"1971","11","09",NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:28:30-03","UNESP-IBB","BOTU","132","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","cristata","Celosia cristata","L.","Sartorato, A.","Sartorato, A.","1971","10","21","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999",NA,NA,"BOTU000132",NA,NA,NA,"3",NA,"Faculdade de Ciências Médicas e Biológicas, Rubião Junior, 900m de altitude.",NA,"Planta ornamental. Cor das flores avermelhadas. <ll>dwc_commonname:</ll> crista de galo",NA,"1971","10","28",NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:28:30-03","UNESP-IBB","BOTU","135","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","cristata","Celosia cristata","L.","Daniel, J.","Daniel, J.","1971","11","10","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999",NA,NA,"BOTU000135","BOTU000135",NA,NA,"28",NA,"Rubião Junior, a 800m de altitude, adjacências do prédio F.C.M.",NA,"Cultura ornamental. Cor da inflorescência vermelha. <ll>dwc_commonname:</ll> crista de galo",NA,"1971","11","15",NA,NA,NA,NA,NA,NA
"11","2020-11-13 09:18:43-03","UFRJ","RFA","23","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea","L.",NA,"J.C. Ducommun","1869","08","31","França",NA,"França",NA,NA,NA,NA,NA,NA,"RFA18835",NA,NA,NA,"s.n.",NA,"Cultivada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-13 09:18:43-03","UFRJ","RFA","24","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea","L.","J. C. Siqueira","J.C. Ducommun","1869","09","13","Suíça",NA,"Suíça",NA,NA,NA,NA,NA,NA,"RFA19387",NA,NA,NA,NA,NA,"Jardim Botânico de Geneve",NA,NA,NA,"2004",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-13 09:18:43-03","UFRJ","RFA","22","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea argentea",NA,"Nahya Paola S. de Souza","Otavio Vianna","1913","06","22","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA18181",NA,NA,NA,"s.n.",NA,"Vila Isabel",NA,NA,"argentea","2004","01","12","57442","auto",NA,NA,NA,NA
"14","2020-06-29 11:28:43-03","UFRJ","RFA","20","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea cristata","( L. ) Kuntze","Nahya Paola S. de Souza","Hékla Guarany Fairnel","1913","05","10","Brasil","Bahia","Bahia",NA,NA,NA,NA,NA,NA,"RFA16779",NA,NA,NA,NA,NA,NA,NA,NA,"cristata","2004","01","12",NA,NA,NA,NA,NA,NA
"15","2020-11-24 17:10:24-03","UTFPR","DVPR","6600","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea","L.","Lima, LCP","Botelho, A","1988","07","04","Brasil","Paraná","Foz do Iguaçú","-54.3322","-25.2656","-54.3322","-25.2656",NA,NA,"DVPR006600",NA,"Magnoliophyta",NA,"968",NA,"Refúgio Biológico Bela Vista",NA,NA,NA,"2019","11","30",NA,NA,NA,NA,NA,NA
"16","2020-11-24 17:10:24-03","UTFPR","DVPR","2496","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea","L.","Bachi, A; Castro, TD; Silva, IC","Bachi, A; Castro, TD; Silva, IC","2015","01","21","Brasil","Paraná","Dois Vizinhos","-53.057201385498","-25.7336006164551",NA,NA,NA,NA,"DVPR002496",NA,"Magnoliophyta",NA,"s.n.",NA,"Sitio São Pedro dos Poloneses",NA,"Planta herbácea 50 cm, suas flores são em forma de crista e vermelha.",NA,"2015",NA,NA,"19637","auto",NA,NA,NA,NA
"17","2020-11-24 17:10:24-03","UTFPR","DVPR","1571","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea","L.","Caxambu, MG","Galli, IAS; et al.","2014","02","16","Brasil","Paraná","Paraiso do Norte","-52.6021995544434","-23.2807998657227",NA,NA,NA,NA,"DVPR001571","DVPR001571","Magnoliophyta",NA,"s.n.",NA,"Parque Ecológico de Paraiso do Norte",NA,"Erva heliófita, ca. 0,50 m.Flores rosas. Cultivada.; Vegetação ciliar do Rio Ivaí. Relevo: suave-ondulado. Solo: argissolo.",NA,"2014","06","06","15549","auto",NA,NA,NA,NA
"18","2020-11-24 17:10:24-03","UTFPR","DVPR","2398","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","argentea","Celosia argentea","L.",NA,"Alcântara, L","2015","01","03","Brasil","São Paulo","Tarabai","-51.5499992370605","-22.2999992370605",NA,NA,NA,NA,"DVPR002398",NA,"Magnoliophyta",NA,"s.n.",NA,"Estância Dois Irmãos",NA,"Arbusto 0,7 m, flor rosa.",NA,NA,NA,NA,"19552","auto",NA,NA,NA,NA
"19","2020-12-15 11:14:18-03","FUNED","FUNED-POL","2834","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","cristata","Celosia cristata",NA,NA,"Claudia Simeão","2004","11","09","Brasil","MG",NA,"-46.009444","-17.009722","46W 00' 34","17S 00' 35",NA,NA,"POL002834","POL002834_p01 POL002834_p02 POL002834_p03 POL002834_p04 POL002834_p05 POL002834_p06",NA,NA,NA,NA,"Brasilandia de Minas - MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-15 11:14:18-03","FUNED","FUNED-POL","2836","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","cristata","Celosia cristata",NA,NA,"Claudia Simeão","2004","11","09","Brasil","MG",NA,"-46.009444","-17.009722","46W 00' 34","17S 00' 35",NA,NA,"POL002836",NA,NA,NA,NA,NA,"Brasilandia de Minas - MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
