"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","typeStatus","previousCatalogNumber","preparationType","sex"
"1","2020-02-08 09:43:32-03","NBC","NL-BOTANY","U.1082713","PreservedSpecimen","Plantae","Magnoliopsidae","Magnoliales","Annonaceae","Unonopsis","riedeliana","Unonopsis riedeliana","R.E.Fr.","Maas PJM; Westra LYT","Oliveira PP de","1997","08","11","Southern America","Brazil","Rio de Janeiro","Reserva Biológica União, Rio das Ostras-RJ","U 0148342","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1082713 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1082713","NL-U1082713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:28-03","ESALQ","ESA","61773","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Unonopsis","riedeliana","Unonopsis riedeliana","R.E.Fr.","Mello-Silva, R.","Oliveira, P.P.","1997","08","11",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"ESA061773","ESA061773","Magnoliophyta","232.0","Rio das Ostras","-41.9449996948242","-22.5268993377686","17620","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:12:04-03","MBM","MBM","410172","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Unonopsis","riedeliana","Unonopsis riedeliana","R.E. Fr.","Moura, R.","Uller, H.F.; Terra, G.; Naves, R.P.; Guimarães, R.E.; Terra, G.; Naves, R.P.; Guimarães, R.E.","2013","12","17","Southern America","Brazil","Rio de Janeiro","Conglomerado 122-2-3-18. UTM do Ponto Central: E (732208.55) N (7559926.40m). Fuso do GPS (23K).",NA,"Árvore com 17 m de altura. DAP ca. 20 cm. Flor verde. Fruto verde.; Floresta Estacional Semidecidual. Subunidade locada em área declivosa, com grandes clareiras e presença de bambus. Cobertura espessa de serrapilheira (+- 30 cm).","MBM410172","MBM410172",NA,"600","Sapucaia","-42.9143981933594","-21.9950008392334","27567","auto","2016","06","16","679","679",NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:31:34-03","UFMG","BHCB","45014","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Unonopsis","riedeliana","Unonopsis riedeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2011-03-22 12:00:00-03","MO","MOBOT","3128726","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Unonopsis","riedeliana","Unonopsis riedeliana","R.E. Fr.","P.J.M.Maas & L.Y.Th.Westra (U)","Ludwig Riedel","1824",NA,NA,"South America","Brazil",NA,"Mandiocca",NA,NA,NA,NA,NA,"Riedel s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-09 10:12:03-03","UENF","HUENF","1753","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Unonopsis","riedeliana","Unonopsis riedeliana","R.E.Fr.","A. Lobão","Moreno, M.R.; Nascimento, M.T.","1997","08","29",NA,"Brasil","Rio de Janeiro","Imbé",NA,NA,"HUENF00001755",NA,NA,"672","Campos dos Goytacazes","-41.796944","-21.846944",NA,NA,"2018","09","14","38","38","41º47'49''W","21º50'49''S",NA,NA,NA,NA
"7","2021-02-09 10:12:03-03","UENF","HUENF","1860","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Unonopsis","riedeliana","Unonopsis riedeliana","R.E.Fr.","A. Lobão","Moreno, M.R.; Nascimento, M.T.","1997","10","25",NA,"Brasil","Rio de Janeiro","Imbé",NA,NA,"HUENF00001862",NA,NA,"897","Campos dos Goytacazes","-41.796944","-21.846944",NA,NA,"2018","09","14","38","38","41º47'49''W","21º50'49''S",NA,NA,NA,NA
"8","2021-02-09 10:12:03-03","UENF","HUENF","1534","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Unonopsis","riedeliana","Unonopsis riedeliana","R.E.Fr.","A. Lobão","Moreno, M.R.; Nascimento, M.T.","1997","11","19",NA,"Brasil","Rio de Janeiro","Imbé",NA,NA,"HUENF00001536",NA,NA,"297","Campos dos Goytacazes","-41.796944","-21.846944",NA,NA,"2018","09","14","38","38","41º47'49''W","21º50'49''S",NA,NA,NA,NA
"9","2020-07-23 11:57:10-03","CEPLAC","CEPEC","139458","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Unonopsis","riedeliana","Unonopsis riedeliana",NA,"R. Moura","H. F. Uller",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,"600","SAPUCAIA","-42.9143981933594","-21.9950008392334","27567","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-08-23 10:58:43-03","NHMLondon","NHM-LONDON-BOT","BM000554035","S","Plantae",NA,NA,"Annonaceae","Unonopsis","riedeliana","Unonopsis riedeliana","R.E.Fr.",NA,"Riedel",NA,NA,NA,NA,"Brasil",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/5cc43ff609d9421e38441358f7ab67c941243bc9/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"s.n.",NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","Isotype","NHMUK:ecatalogue:4978569",NA,NA
