"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","class","order","relatedCatalogItem","infraspecificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","preparationType","individualCount","sex"
"1","2021-03-30 12:50:06-03","EAO","IAN","15134","PreservedSpecimen","Plantae","Dicotiledônea","Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb. & Mart.","Oliveira, JE de","279","1941","04","03","Southern America","Brasil","Minas Gerais","Lagoa Santa","Em rochas calcareas, gruta da Lapinha, pouco frequente.","-43.8897018432617","-19.6271991729736","12338","Trepadeira; flores amarelas.","IAN015134","IAN015134","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:53:54-03","NBC","NL-BOTANY","U.1748675","PreservedSpecimen","Plantae",NA,"Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","Lindeman JC; Haas JH de",NA,"1966","11","06","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1748675 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1748675","NL-U1748675",NA,"Magnoliopsidae","Brassicales","U 0103109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:53:54-03","NBC","NL-BOTANY","U.1748676","PreservedSpecimen","Plantae",NA,"Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","Lindeman JC; Haas JH de",NA,"1966","12","25","Southern America","Brazil",NA,NA,"Brasiliae Australis. Est. Parana, Parque Nacional do Iguaçu, forest in line P 3 near Pinheirinho.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1748676 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1748676","NL-U1748676",NA,"Magnoliopsidae","Brassicales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:53:54-03","NBC","NL-BOTANY","U.1748677","PreservedSpecimen","Plantae",NA,"Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","Lindeman JC; Haas JH de",NA,"1966","12","25","Southern America","Brazil",NA,NA,"Brasiliae Australis. Est. Parana, Parque Nacional do Iguaçu, forest in line P 3 near Pinheirinho.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1748677 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1748677","NL-U1748677",NA,"Magnoliopsidae","Brassicales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:53:54-03","NBC","NL-BOTANY","WAG.1224646","PreservedSpecimen","Plantae",NA,"Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","Hatschbach GG",NA,"1975","10","26","Southern America","Brazil",NA,NA,"Jardinopolis (mun. Medianeira) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1224646 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1224646","NL-WAG1224646",NA,"Magnoliopsidae","Brassicales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:53:54-03","NBC","NL-BOTANY","U.1748636","PreservedSpecimen","Plantae",NA,"Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum warmingianum",NA,"Renvoize SA",NA,"1978","10","24","Southern America","Argentina","Misiones",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1748636 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1748636","NL-U1748636",NA,"Magnoliopsidae","Brassicales",NA,"warmingianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:20:11-03","ESALQ","ESA","67361","PreservedSpecimen","Plantae","Magnoliophyta","Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum",NA,"Freitas, L.A.",NA,"1999","12","30",NA,"Brasil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484","30784",NA,"ESA067361",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:20:11-03","ESALQ","ESA","89053","PreservedSpecimen","Plantae","Magnoliophyta","Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","Melo, P.H.A. Assunção, L.N.","1019.0","2003","12","28",NA,"Brasil","Minas Gerais","Pains",NA,"-45.6613998413086","-20.3705997467041","18263",NA,"ESA089053",NA,"auto",NA,NA,NA,NA,"Lombardi, J.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:34:20-03","IAP","PACA-AGP","51175","PreservedSpecimen","Plantae","Magnoliophyta","Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","Hatschbach, G.","1498","1949","10","03",NA,"Brasil","PR","Cerro Azul",NA,"-49.261100769043","-24.823600769043","32006","fl.; volúvel, flor amarela, das matas juxta-pluviaes. Habitat: in silva scandens Fenofase: flor","PACA051175",NA,"auto","Magnoliopsida","Geraniales",NA,NA,"Benkt Sparre","1961","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:42:25-03","UNICAMP","UEC","110318","S","Plantae","Magnoliopsida","Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","Freitas, L","799a","1999","07","30",NA,"Brazil","São Paulo","São José do Barreiro","SP 221, km 14","-44.5699996948242","-22.6399993896484","30784","Trepadeira, ca. de 6m. Corola vermelho e amarelo.; Floresta Ombrófila Densa Montana",NA,NA,"auto",NA,NA,NA,NA,"Souza, JP","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-16 08:41:21-03","UTFPR","HCF","22230","S","Plantae",NA,"Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","M.G. Caxambu","7728","2016","12","16",NA,"Brasil","PR","Foz do Iguaçu","Parque Nacional do Iguaçu, Nova trilha","-54.475306","-25.617111",NA,"trepadeira com gavinhas, semi-ciófila. Flores com cálice verde e corola amarela. Frutos imaturos verdes.",NA,NA,NA,NA,NA,NA,NA,"M.G. Caxambu","2017","01","09","54°28'31,1 W","25°37'01,6 S","199","199",NA,NA,NA,NA,NA
"12","2015-10-28 19:40:01-02","MNHN","RECOLNAT_MNHN_P","P00835291","PreservedSpecimen",NA,NA,"Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum glaziovii","(Buchenau) Sparre","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00835291' target='other'> <mi>dwc_moreinfo</mi></a>","P00835291","P00835291_01",NA,NA,NA,NA,"glaziovii","Sparre",NA,NA,NA,NA,NA,NA,NA,"isotype","14581","hb",NA,NA
"13","2011-11-14 11:58:37-02","MNHN","RECOLNAT_MNHN_P","P00835292","PreservedSpecimen",NA,NA,"Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum glaziovii","(Buchenau) Sparre","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00835292' target='other'> <mi>dwc_moreinfo</mi></a>","P00835292","P00835292_01",NA,NA,NA,NA,"glaziovii","Sparre",NA,NA,NA,NA,NA,NA,NA,"isotype","14581","hb",NA,NA
"14","2021-01-29 17:16:16-03","UFMG","BHCB","199635","PreservedSpecimen","Plantae","Dicotyledon","Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","Ferreira, VL; Stehmann, JR; Santos, GVA","283","2019","04","18","Southern America","Brasil","Minas Gerais","Pedro Leopoldo","Lapa do Baú","-43.949444","-19.928056",NA,"Afloramento de calcário.;Fenda no maciço.","BHCB199635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.949444","-19.928056","751","751",NA,NA,NA,NA,NA
"15","2020-12-11 11:42:36-03","UFMG","BHCB","194372","PreservedSpecimen","Plantae","Dicotyledon","Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","Ferreira, VL; Stehmann, JR; Santos, GVA","156","2019","01","24","Southern America","Brasil","Minas Gerais","Lagoa Santa","Gruta da Lapinha","-43.958889","-19.560833",NA,"Trepadeira. Flor amarela.; Afloramento de calcário, maciço.","BHCB194372",NA,NA,NA,NA,NA,NA,NA,"2019","01",NA,"-43.958889","-19.560833","734","734",NA,NA,NA,NA,NA
"16","2020-12-11 11:42:36-03","UFMG","BHCB","194394","PreservedSpecimen","Plantae","Dicotyledon","Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","Ferreira, VL; Stehmann, JR; Santos, GVA","110","2018","12","11","Southern America","Brasil","Minas Gerais","Pedro Leopoldo","Lapa do Baú","-43.989444","-19.548333",NA,"Trepadeira. Flor amarela.; Afloramento de calcáreo. Maciço.","BHCB194394",NA,NA,NA,NA,NA,NA,NA,"2018","12",NA,"-43.989444","-19.548333","705","705",NA,NA,NA,NA,NA
"17","2020-12-11 11:42:36-03","UFMG","BHCB","65594","PreservedSpecimen","Plantae","Dicotyledon","Tropaeolaceae","Tropaeolum","warmingianum","Tropaeolum warmingianum","Rohrb.","Oliveira, JE","279",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Lagoa Santa",NA,"-43.8897018432617","-19.6271991729736","12338",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
