"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem","infraspecificEpithet"
"1","2020-09-23 10:41:17-03","E","E","100024","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassa","Byrsonima crassa","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1999","04","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109295","<a href=http://data.rbge.org.uk/herb/E00100024 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:17-03","E","E","104524","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassa","Byrsonima crassa","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113814","<a href=http://data.rbge.org.uk/herb/E00104524 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:17-03","E","E","202832","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassa","Byrsonima crassa","Barboza, M.A.; Farias, R.; Fonseca Filho, J.; Gonçalves, E.G.","1999","01","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217207","<a href=http://data.rbge.org.uk/herb/E00202832 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202832","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:17-03","E","E","100030","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassa","Byrsonima crassa","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109312","<a href=http://data.rbge.org.uk/herb/E00100030 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02282386","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassa","Byrsonima crassa","W. R. Anderson","1973","03","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2264121' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282386","6645","Magnoliophyta","Malpighiales","Nied.","E. P. Queiroz","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 16-17 km by road N of Alto Paraíso","-47.4118","-14.0122","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1018638","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassa","Byrsonima crassa","D. Sasaki","2003","10","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1261450' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018638","766","Magnoliophyta","Malpighiales","Nied.","D. Sasaki","São Paulo","Pedregulho","Parque Estadual das Furnas do Bom Jesus.","-47.4603","-20.2478","1000","1000","NY01018638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02282434","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassa","Byrsonima crassa","W. R. Anderson","1973","04","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2263924' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282434","9520","Magnoliophyta","Malpighiales","Nied.","E. P. Queiroz","Goiás","Caiapônia","Serra do Caiapó, ca. 12 km (straight line) S of Caiapônia.","-51.81666667","-17.0566","860","860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02282382","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassa","Byrsonima crassa","G. T. Prance","1964","08","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281483' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282382","58530","Magnoliophyta","Malpighiales","Nied.","E. P. Queiroz","Tocantins",NA,"West of Filadélfia in Serra de Jaccouba.","-47.601571","-7.340931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02282411","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassa","Byrsonima crassa","H. S. Irwin","1966","02","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288586' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282411","12634","Magnoliophyta","Malpighiales","Nied.","E. P. Queiroz","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1182105","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassa","Byrsonima crassa","P. G. Delprete","2004","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397206' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182105","9016","Magnoliophyta","Malpighiales","Nied.","A. Francener","Goiás","Iporá","Parque Ecológico da Cachoeirinha, Junção do Córrego Tamanduá.","-51.1342","-16.4428","460","460","NY01182105_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
