"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","197671","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","P. L. R. de Moraes","G. G. Hatschbach","14374","1966","05","19","South America","Brazil","Paraná","Morretes","Estr. Graciosa, Vista Cavalcanti","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00197671","NY00197671_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1015932","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","P. L. Rodrigues de Moraes","P. L. Rodrigues de Moraes","902","1994","03","18","South America","Brazil","São Paulo","Sao Miguel Arcanjo","Parque Estadual Carlos Boletlho","-47.99","-23.8703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115416' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015932","NY01015932_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","197664","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","P. L. R. de Moraes","J. C. Lindeman","1856","1966","07","16","South America","Brazil","Santa Catarina",NA,"Bank of Rio São João N. of Garuva, 30 N of Joinville.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00197664","NY00197664_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","197667","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","P. L. R. de Moraes","P. K. H. Dusén","s.n.","1911","08","14","South America","Brazil","Paraná","Morretes","Morretes (Marumbyo Casal region)","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00197667","NY00197667_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","197673","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","P. L. R. de Moraes","F. C. Hoehne","s.n.","1931","12","20","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00197673","NY00197673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1039653","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","M. L. Brotto","M. L. Brotto","299","2009","02","17","South America","Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato.","-48.2975","-25.1686","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488695' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039653","NY01039653_01","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","197668","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","P. L. R. de Moraes","P. K. H. Dusén","s.n.","1911","07","26","South America","Brazil","Paraná",NA,"Alexandra","-48.631716","-25.548936","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00197668","NY00197668_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02423591","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.",NA,"M. L. Brotto","735","2011","07","16","South America","Brazil","Paraná","Guaratuba","Área da COPEL, rio Cubatão","-48.807092","-25.828092","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669234' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423591","NY02423591_01","158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","197672","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","P. L. R. de Moraes","G. G. Hatschbach","24027","1970","03","16","South America","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=817284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00197672","NY00197672_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1015981","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","P. L. Rodrigues de Moraes","P. L. Rodrigues de Moraes","2452","2001","06","11","South America","Brazil","Rio de Janeiro",NA,"Serra da Estrela, Magé/Petrópolis","-43.1961","-22.5694","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115763' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015981","NY01015981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1015936","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","P. L. Rodrigues de Moraes","P. L. Rodrigues de Moraes","1012","1994","06","29","South America","Brazil","São Paulo","Sao Miguel Arcanjo","Parque Estadual Carlos Boletlho.","-47.99","-23.8703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115423' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015936","NY01015936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
