"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","886273","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Hippeastrum","angustifolium","Hippeastrum angustifolium","Pax","J. H. A. Dutilh","W. A. Archer","4435","1936","11","13","South America","Brazil","Rio Grande do Sul","12 km north of Sant'Ana.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886273","NY00886273_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:45:37-03","NBC","NL-BOTANY","U.1065423","PreservedSpecimen","Plantae",NA,"Asparagales","Amaryllidaceae","Amaryllis","angustifolia","Amaryllis angustifolia","(Pax) Traub & Uphof",NA,"Woolston AL",NA,"1956","09","12","Southern America","Paraguay",NA,"Depto. San Pedro, Alto Paraguay: Primavera. n.v.: Lirio del campo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1065423 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1065423","NL-U1065423","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 10:59:02-03","ESALQ","ESA","39648","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaryllidaceae","Hippeastrum","angustifolium","Hippeastrum angustifolium","Pax",NA,"Stehmann, J.R. et al.","2024.0","1995","11","03",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,"ESA039648",NA,NA,"Santana do Livramento","-55.5327987670898","-30.8908004760742","79795","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-07 11:40:39-03","UFMS","CGMS","57124","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","angustifolium","Hippeastrum angustifolium","Pax","B. Bueno","Berinaldo Bueno","1","2016","10","07",NA,"Brasil","Mato Grosso do Sul","Brejo marginal à Rodovia MS-379 e próximo à Usina São Fernando Açúcar e Álcool.",NA,"Flor vermelha. Fruto maduro rosa claro. Escapo de cerca de 1 m. Presença de abelhas nasFlores. Sementes pretas. Presença de néctar nasFlores e secreções nosFrutos. Habitat: Campo úmido rodeado por plantações de cana-de-açúcar e gramín","CGMS001099",NA,NA,"Dourados","-54.9375","-22.3283334",NA,NA,"2016","10","07","-54,9375","-22,3283334","364","364",NA,NA,NA
"5","2019-08-20 09:58:56-03","UNICAMP","UEC","77238","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Hippeastrum","angustifolium","Hippeastrum angustifolium",NA,NA,"Stehmann, JR; Semir, J; Dutilh, JHA","1987","1995","11","05",NA,"Brazil","Rio Grande do Sul","BR293, km 546",NA,"flor, Erva de banhado, flor vermelha, com tépalas retorcidas.","UEC090423","UEC090423",NA,"Livramento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 09:58:56-03","UNICAMP","UEC","77762","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Hippeastrum","angustifolium","Hippeastrum angustifolium",NA,NA,"Stehmann, JR; Semir, J; Dutilh, JHA","1986","1995","11","05",NA,"Brazil","Rio Grande do Sul","BR293, km430",NA,"flor, Erva em banhado, flor vermelha, com tépalas retorcidas. Visitada por beija-flores.","UEC090425","UEC090425",NA,"Quaraí","-56.4514007568359","-30.3875007629395","74636","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 09:58:56-03","UNICAMP","UEC","77752","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Hippeastrum","angustifolium","Hippeastrum angustifolium",NA,NA,"Stehmann, JR; Semir, J; Dutilh, JHA","2024","1995","11","03",NA,"Brazil","Rio Grande do Sul","BR293, km 543, Entrada para Vila Palomas.",NA,"flor, Erva em banhado, flor vermelha, com tépalas retorcidas.","UEC090426","UEC090426",NA,"Santana Do Livramento","-55.5327987670898","-30.8908004760742","79795","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 09:58:56-03","UNICAMP","UEC","170541","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Hippeastrum","angustifolium","Hippeastrum angustifolium",NA,NA,"Dutilh, JHA","s.n.","2001","10","23",NA,"Brazil","São Paulo",NA,NA,NA,"UEC010196","UEC010196",NA,"Avaré","-48.9199981689453","-23.0900001525879","29856","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:44:15-03","UFMG","BHCB","31329","PreservedSpecimen","Plantae","Monocotyledon",NA,"Liliaceae","Amaryllis","angustifolia","Amaryllis angustifolia","Traub & Uphof",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Rio Grande do Sul","BR 293, Km 543, entrada para Vila Palomas",NA,NA,NA,NA,NA,"Santana do Livramento","-55.5327987670898","-30.8908004760742","79795","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:43:19-03","UFMG","BHCB","31158","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Hippeastrum","angustifolium","Hippeastrum angustifolium",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Rio Grande do Sul","BR 293, Km 430",NA,NA,NA,NA,NA,"Queraí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
