"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","county","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:47-03","E","E","285734","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mooniana","Eugenia mooniana","isotype","Gardner, George","416","E. Tropical South America","BR","Rio de Janeiro","Organ Mts.","herbarium specimen of unspecif","BGBASE:297018","<a href=http://data.rbge.org.uk/herb/E00285734 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","285733","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mooniana","Eugenia mooniana","isotype","Gardner, George","416","E. Tropical South America","BR","Rio de Janeiro","Organ Mts.","herbarium specimen of unspecif","BGBASE:297017","<a href=http://data.rbge.org.uk/herb/E00285733 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285733","1905","01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","404962","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mooniana","Eugenia mooniana","probable type","G. Gardner","II416","South America","Brazil","Rio de Janeiro","Serra dos Orgaos. Brasil. trop.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709288' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404962","1837",NA,NA,"Magnoliophyta","Myrtales","Gardner","-43.073169","-22.496706","NY00404962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","404961","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mooniana","Eugenia mooniana","probable type","G. Gardner","416","South America","Brazil","Rio de Janeiro","Serra dos Orgaos. Brasil. trop.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404961","1837",NA,NA,"Magnoliophyta","Myrtales","Gardner","-43.073169","-22.496706","NY00404961_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","557760","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subundulata","Eugenia subundulata",NA,"A. F. M. Glaziou","17681","South America","Brazil","Rio de Janeiro","Nova Friburgo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557760","1888","03","28","Magnoliophyta","Myrtales","Kiaersk.","-42.5308","-22.2819","NY00557760_01","Nova Friburgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","405029","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subundulata","Eugenia subundulata","isotype","A. F. M. Glaziou","12722","South America","Brazil","Rio de Janeiro",NA,"sheet",NA,"donnépar Mme Simard, sa fille en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405029",NA,NA,NA,"Magnoliophyta","Myrtales","Kiaersk.",NA,NA,"NY00405029_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","557761","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subundulata","Eugenia subundulata",NA,"J. P. P. Carauta","383","South America","Brazil","Rio de Janeiro","Macaé","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557761","1967","07","22","Magnoliophyta","Myrtales","Kiaersk.","-41.7867","-22.3708","NY00557761_01","Macaé","J. R. Mattos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:23-03","UFRJ","RFA","27182","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mooniana","Eugenia mooniana",NA,"A. Quinet","34/76",NA,"Brasil","Rio de Janeiro","Distrito de Piabetá, Estrada do Matão.",NA,NA,"Árvore, 6 m de altura, 92 cm de DAP, folha verde discolor, flor com botões verdes, comum no local.","RFA42044","2001","03","05",NA,NA,"Gardner","-43.117222","-22.567222",NA,"Magé","G.M. Barroso","2001","12","21","43º7'2''W","22º34'2''S","250","250",NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:23-03","UFRJ","RFA","9423","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","mooniana","Eugenia mooniana",NA,"G.G. Hatschbach","18654",NA,"Brasil","Paraná","Serra de Araraquara",NA,NA,"Arvoreta 6 m, tronco base 15 cm. Fruto quase preto, imaturo vermelho, sabor adstringente","RFA46510","1968","02","27",NA,NA,"Gardner","-48.5746994018555","-25.8827991485596",NA,"Guaratuba","D. Legrand","1969",NA,NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA
"10","2020-11-13 09:20:23-03","UFRJ","RFA","26477","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subundulata","Eugenia subundulata",NA,"Flávio Brito Pereira","26/63",NA,"Brasil","Rio de Janeiro","Sítio Serra do Capim",NA,NA,"Arbusto, 5 m de altura, 9 cm de DAP, flores amarelas, comum no local","RFA42065","2001","01","13",NA,NA,"Kiaersk.","-42.8725","-22.151944",NA,"São José do Vale do Rio Preto","G.M. Barroso","2001","12","20","42º52'21''W","22º9'7''S",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-13 09:20:23-03","UFRJ","RFA","26508","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subundulata","Eugenia subundulata",NA,"Flávio Brito Pereira","57/63",NA,"Brasil","Rio de Janeiro","Sítio Serra Capim.",NA,NA,"Árvore, 12 m de altura, 12 cm de DAP, frutos verdes, rara no local","RFA42062","2001","01","16",NA,NA,"Kiaersk.","-42.8775","-22.168056",NA,"São José do Vale do Rio Preto","G.M. Barroso","2001","12","20","42º52'39''W","22º10'5''S","940","940",NA,NA,NA,NA,NA,NA
