"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","maximumElevationInMeters","geoFlag","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","01777926","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","A. Schäfer-Verwimp","A. Schäfer-Verwimp","11047","1989","04","15","South America","Brazil","São Paulo","Botucatu","ca. 250 km westlich von São Paulo","-48.45","-22.88","800","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2026765' target='other'> <mi>dwc_moreinfo</mi></a>","NY01777926","NY01777926_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01777925","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","A. Schäfer-Verwimp","A. Schäfer-Verwimp","11047","1989","04","15","South America","Brazil","São Paulo","Botucatu","ca. 250 km westlich von São Paulo","-48.45","-22.88","800","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2026761' target='other'> <mi>dwc_moreinfo</mi></a>","NY01777925","NY01777925_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-16 17:55:58-03","UCS","HUCS","27289","PreservedSpecimen","Plantae","Bryophyta","Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Evans","Bordin, J.; Yano, O.","Bordin, J.","198","2005","12","22",NA,"Brasil","Rio Grande do Sul","Caxias do Sul","UCS - mata em frente ao MUCS","-51.1794013977051","-29.1681003570557","780",NA,"sobre tronco",NA,NA,"Metzgeriales","2006","05","05","49662","780","auto",NA,NA
"4","2021-03-16 17:55:58-03","UCS","HUCS","29510","PreservedSpecimen","Plantae","Bryophyta","Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Evans","Yano, O.","Yano, O.","29104","2006","10","04",NA,"Brasil","Rio Grande do Sul","Caxias do Sul","Vila Oliva","-51.1794013977051","-29.1681003570557","780",NA,"sobre tronco",NA,NA,"Metzgeriales","2006","11",NA,"49662","780","auto",NA,NA
"5","2019-05-02 10:54:47-03","IBt","SP-BRYOPHYTA","181197","S","Plantae",NA,"Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.",NA,"Yano, O.; Santos, D.P.; Pirani, J.R.","5501","1983","01","16","Southern America","BRASIL","Santa Catarina","São Miguel d#?#Oeste","Perimetro urbano","-53.518056","-26.725278","650",NA,"Sobre tronco vivo de Citrus sp.","SP082579",NA,NA,NA,NA,NA,NA,"650",NA,"-53.518056","-26.725278"
"6","2019-05-02 10:54:47-03","IBt","SP-BRYOPHYTA","086391","S","Plantae",NA,"Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.",NA,"Vital, D.M.","51","1962","03","09","Southern America","BRASIL","Rio de Janeiro","Itatiaia",NA,"-44.563333","-22.496111","1120",NA,NA,"SP060863",NA,NA,NA,NA,NA,NA,"1120",NA,"-44.563333","-22.496111"
"7","2019-05-02 10:54:47-03","IBt","SP-BRYOPHYTA","121970","S","Plantae",NA,"Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","Giancotti, C.","Vital, D.M.","3099","1974","04","30","Southern America","BRASIL","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga","-46.636111","-23.5475","760",NA,NA,"SP065579",NA,NA,"1990","04","25",NA,"760",NA,"-46.636111","-23.5475"
"8","2019-05-02 10:54:47-03","IBt","SP-BRYOPHYTA","189260","S","Plantae",NA,"Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","Costa, D.P.","Yano, O.; Porto, K.C.; Pirani, J.R.","7800","1983","07","25","Southern America","BRASIL","São Paulo","Moji das Cruzes","Praça da Matriz","-46.188333","-23.522778","840",NA,"Sobre tronco vivo de Ligustrum sp.","SP084104",NA,NA,"1998","03",NA,NA,"840",NA,"-46.188333","-23.522778"
"9","2019-05-02 10:54:47-03","IBt","SP-BRYOPHYTA","189690","S","Plantae",NA,"Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","Costa, D.P.","Yano, O.; Compagnoli, R.C.","8252","1983","08","24","Southern America","BRASIL","Paraná","Arapongas","Praça Dr. Júlio Junqueira","-51.424444","-23.419444","730",NA,"Sobre o tronco vivo de Caesalpinea geltophoroides Benth.","SP084688",NA,NA,"1998","03",NA,NA,"730",NA,"-51.424444","-23.419444"
"10","2010-05-09 06:27:00-03","MO","MOBOT","90179383","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","S.-V","Alfons Schäfer-Verwimp|Inge Verwimp","Schäfer-Verwimp 11047","1989","4","15","South America","Brazil","São Paulo",NA,"Botucatu, ca. 250 km westlich von São Paulo.","-48.33333","-23","800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2008-05-27 22:02:00-03","MO","MOBOT","90243171","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","O. Yano & J. Bordin","J. Bordin","Bordin 198","2005","12","22","South America","Brazil","Rio Grande do Sul",NA,"Mun. de Caxias do Sul, Universidade de Caxias do Sul, Mata em frente ao MUCS.","-51.16666","-29.16666","780.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-01 15:12:33-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.",NA,"Yano, O; Santos, DP; Pirani, JR","5501","1983","01","16","Southern America","Brasil","Santa Catarina","São Miguel do Oeste","Perimetro urbano","-53.3105","-26.4331","650",NA,"Sobre tronco vivo de Citrus sp.",NA,NA,NA,NA,NA,NA,NA,"650",NA,"-53.3105","-26.4331"
"13","2021-02-08 12:50:24-03","UFRGS","ICN","058079","S","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","Peralta, DF","Ferrari, F","s.n.","1983","08","27","América do Sul","Brasil","RS","Pinto Bandeira",NA,NA,NA,NA,NA,"sobre casca de árvore derrubada",NA,NA,NA,"2014","11",NA,NA,NA,NA,NA,NA
"14","2021-02-08 12:50:24-03","UFRGS","ICN","010418a","S","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","Peralta, DF","Vianna, EC","418a","1969","12","17","América do Sul","Brasil","RS","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,"mato",NA,NA,NA,"2014","11",NA,"30776",NA,"auto",NA,NA
"15","2021-02-08 12:50:24-03","UFRGS","ICN","039558","S","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","Peralta, DF","Bueno, RM","1565","1982","04","30","América do Sul","Brasil","RS","Santo Ângelo","entre Santo Ângelo e São Miguel","-54.2630996704102","-28.2992000579834",NA,NA,"Material misturado com Frullania glomerata; mato na beira da estrada, epífito",NA,NA,NA,"2014","11",NA,"25915",NA,"auto",NA,NA
"16","2021-02-08 12:50:24-03","UFRGS","ICN","010793","S","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","Peralta, DF","Vianna, EC","793","1969","12","20","América do Sul","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,NA,NA,"2014","11",NA,"76715",NA,"auto",NA,NA
"17","2021-02-08 12:50:24-03","UFRGS","ICN","036921","S","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","Peralta, DF","Vianna, EC","3921","1973","12","09","América do Sul","Brasil","RS","São Francisco de Paula","parque do Hotel Hampel","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,NA,NA,"2014","11",NA,"76715",NA,"auto",NA,NA
"18","2021-02-08 12:50:24-03","UFRGS","ICN","036929","S","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","psilocraspeda","Metzgeria psilocraspeda","Schiffn.","Peralta, DF","Vianna, EC","3929","1973","12","09","América do Sul","Brasil","RS","São Francisco de Paula","parque do Hotel Hampel","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,NA,NA,"2014","11",NA,"76715",NA,"auto",NA,NA
