"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","644253","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner","J. E. Simonis","J. E. Simonis","26","1983","02","01","South America","Brazil","Rio de Janeiro","Teresópolis","Serra dos Orgaos, Teresópolis, Campo das Antas","-42.9656","-22.4122","1950","1950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644253","NY00644253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","644251","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner","M. A. Nadruz Coelho","C. Farney","795","1985","08","31","South America","Brazil","Rio de Janeiro","Petrópolis","Correias, Picada pra o Açú, Campos de Altitude em direçao ao Morro da Bandeira","-43.1783","-22.505","2000","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644251","NY00644251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1015443","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner","O. A. Guimarães","P. H. Labiak E.","4209","2007","07","18","South America","Brazil","Espírito Santo","Castelo","Parque Estadual do Forno Grande.","-41.0972","-20.5211","1100","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105673' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015443","NY01015443_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","297790","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner",NA,"G. Gardner","5823","1836",NA,NA,"South America","Brazil",NA,NA,"[Serra dos Orgaos, elev. 6857, see NY 297789]","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297790","NY00297790_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","644252","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner","M. Emmerich","J. H. Kirkbride Jr.","1723","1972","05","03","South America","Brazil","Rio de Janeiro",NA,"Edge of Campos do Antas, Serra dos Prgaos, E do Rio de Janeiro",NA,NA,"2140","2140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644252","NY00644252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","297789","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner",NA,"G. Gardner","5823","1841","03",NA,"South America","Brazil",NA,NA,"Serra dos Orgaos","-43.055882","-22.471337","2699.6","2699.6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297789","NY00297789_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02707646","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner",NA,"C. Baez","271","2015","04","04","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Estadual dos Três Picos. Cume Pico Médio. Proteção Integral","-42.725833","-22.342778",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2991551' target='other'> <mi>dwc_moreinfo</mi></a>","NY02707646","NY02707646_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","644254","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner",NA,"P. von Luetzelburg","s.n.","1910",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644254","NY00644254_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:21:11-03","NBC","NL-BOTANY","U 0090686","PreservedSpecimen","Plantae",NA,"Gentianales","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner","Struwe L","Gardner G",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200090686 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0090686",NA,"isotype","Magnoliopsidae","2010","05","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:21:11-03","NBC","NL-BOTANY","U 0100012","PreservedSpecimen","Plantae",NA,"Gentianales","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner","Thiv M","Simonis JE; Martinelli G",NA,"1983","02","01","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200100012 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0100012",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:21:11-03","NBC","NL-BOTANY","U.1346188","PreservedSpecimen","Plantae",NA,"Gentianales","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner","Thiv M","Simonis JE; Martinelli G",NA,"1983","02","01","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1346188 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1346188","NL-U1346188",NA,"Magnoliopsidae",NA,NA,NA,"U 0136495",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:11:08-03","ESALQ","ESA","129598","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner","Calió, M.F.","Souza, V.C.; Randle, C; Morawetz, J.; Santos, P.M.L.A.; Servidone, G.B.","38149.0","2014","03","21",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional Serra dos Órgãos. Trilha para a Pedra do Sino, após o Abrigo 4.","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Erva, até 80 cm alt.; caule e folhas vinho. Cálice róseo a vináceo; corola creme. Campo de altitude.","ESA129598","ESA129598",NA,NA,"2016","07","01",NA,"38539","auto",NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:31:10-03","MN","R","11674","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner",NA,"Glaziou, A.F.M.","16263","1888","03","15",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000011674","R000011674_001 R000011674_002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:31:42-03","UNICAMP","UEC","157811","S","Plantae","Magnoliopsida",NA,"Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gard","Calió, MFA","Matsumoto, K; Gonçalves, APS; Belinello, R","790","2002","03","12",NA,"Brazil","Rio de Janeiro","Teresópolis","Serra dos Orgãos. Trilha da Pedra do Sino.","-43.035611","-22.466167","2163","2163",NA,"Erva, flores com cálice arroxeado e pétalas brancas, em campo de altiude.","UEC015757","UEC015757",NA,NA,"2017","03",NA,NA,NA,NA,"-43.035611","-22.466167",NA,NA,NA,NA
"15","2020-02-10 17:53:25-03","UNICAMP","UEC","5337","S","Plantae","Magnoliopsida",NA,"Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gard","Calió, MFA","Shepherd, GJ; Kirszenzaft, SL","9958","1978","04","13",NA,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Perto do ab","-44.5633010864258","-22.4960994720459","2700","2700",NA,"flor, Erva de 40 cm . Corola rosa-lilás. Pétalas cremes em brejo.","UEC054956","UEC054956 UEC054956_01",NA,NA,"2008","01",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:31:42-03","UNICAMP","UEC","174209","S","Plantae","Magnoliopsida",NA,"Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gard","Scatigna, AV","Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9776","2009","03","10",NA,"Brazil","Rio de Janeiro","Teresópolis","2000 - 2079m&nf;-22.45943º , -43.02779º&nf;Grassland and low forest on the plateau.&nf;Growing in seepage areas.","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Rhizomatous succulente herbs with purplish pink stem and braddery calyx. Corolla 6- lobed, white, the tube flushed purplish pink.&nf;Ovary and stigma green. Style and filaments white. Anthers brack.&nf;Locally common.; Grassland and low fo","UEC093080","UEC093080",NA,NA,"2018","10","16",NA,"38539","auto",NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:31:42-03","UNICAMP","UEC","11259","S","Plantae","Magnoliopsida",NA,"Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gard","Calió, MFA","San Martin-Gajardo, I; Sazima, M","003","2000","03","17",NA,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Pedra do Sino","-42.9655990600586","-22.4122009277344","2000","2000",NA,"Herbácea com até 0,5m de altura. Flores: sépalas fundidas em forma de balão vinho igual ao pedunculo; corola creme.","UEC060023","UEC060023",NA,NA,"2008","01",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA
"18","2019-08-20 10:15:38-03","UNICAMP","UEC","111259","S","Plantae","Magnoliopsida",NA,"Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gard",NA,"San Martin-Gajardo, I; Sazima, M","1003","2000","03","17",NA,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional das Serra dos Órgãos. Pe","-42.9655990600586","-22.4122009277344","2000","2000",NA,"flor, Herbácea de até 0,5 m de altura. Flores com sépalas fundidas em forma de balão vinho igual a pedúnculo. Corola creme.","UEC060023","UEC060023",NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:28:57-03","MBM","MBM","410266","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner","Guimarães, E.F.; Baez, C.","Baez, C.; Fernandez, E.; Lima, T.; Fernandez, E.; Lima, T.","224","2015","02","03","Southern America","Brazil","Rio de Janeiro","Teresópolis","Proteção Integral. Parque Estadual dos Três Picos. Trilha para o cume da Branca de Neve.","-42.760556","-22.354167","1780","2040",NA,"Erva. Saxícola, heliófila. Pouco frequente. Folhas verdes levemente discolores. Pedúnculo e pedicelo vináceo-escuro. Cálice róseo-vináceo. Pétalas brancas com a base púrpura. Altura: 60 cm.; Campo de altitude.","MBM410266","MBM410266",NA,NA,"2015","05",NA,NA,NA,NA,"-42.760556","-22.354167",NA,NA,NA,NA
"20","2019-11-01 15:28:19-03","PUC-RIO","FCAB","1314","PreservedSpecimen","Plantae",NA,"Angiospermae","Gentianaceae","Prepusa","hookeriana","Prepusa hookeriana","Gardner","Dr. Brade","P. Capell S.J.","s.n.","1951","05","13",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Pico da Caledônia","-42.5311012268066","-22.2819004058838",NA,NA,NA,"A partir do topo da montanha Caledônia.","001314",NA,NA,NA,NA,NA,NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA
