"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00925400","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","sclerophylla","Miconia sclerophylla","Triana","R. Goldenberg","H. S. Irwin","22490","1969","01","23","South America","Brazil","Minas Gerais","Ca. 12 km SW of Diamantina. Serra do Espinhaço.","-43.7","-18.27","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925400","NY00925400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00925247","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","sclerophylla","Miconia sclerophylla","Triana","R. Goldenberg","G. F. J. Pabst","8391","1965","01","16","South America","Brazil","Minas Gerais","956 km. de BR-4, próxima Limeira.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925247","NY00925247_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00925404","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","sclerophylla","Miconia sclerophylla","Triana","R. Goldenberg","W. R. Anderson","35365","1972","02","04","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 8 km N of Gouveia on road to Diamantina","-43.6836","-18.41575","1220","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997939' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925404","NY00925404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","522192","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","sclerophylla","Miconia sclerophylla","Triana","J. J. Wurdack","R. M. Harley","19545","1977","02","17","South America","Brazil","Bahia","Serra das Almas; Lower NE slopes of the Pico das Almas, ca. 25 km WNW of the Vila do Rio de Contas","-41.95","-13.55","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522192","NY00522192_01","Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 03:12:00-03","NY","NYBG","1654049","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","sclerophylla","Miconia sclerophylla",NA,NA,"F. L. Herrera y Garmendia","3221","1931","10",NA,"South America","Peru","Cusco","Machupicchu",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1941671' target='other'> <mi>dwc_moreinfo</mi></a>","NY01654049","NY01654049_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00925244","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","sclerophylla","Miconia sclerophylla","Triana","R. Goldenberg","H. S. Irwin","28182","1970","03","23","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 4 km N. of São João da Chapada","-43.7833","-18.0833","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925244","NY00925244_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00925245","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","sclerophylla","Miconia sclerophylla","Triana","J. J. Wurdack","H. S. Irwin","30463","1971","01","16","South America","Brazil","Minas Gerais","Serra do Espinhaço, middle slopes of Serra da Piedade, ca. 40 km E. of Belo Horizonte, BR-31","-43.67613","-19.82237","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925245","NY00925245_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00925240","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","sclerophylla","Miconia sclerophylla","Triana","J. J. Wurdack","H. S. Irwin","21844","1969","01","13","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 30 km S.W. of Diamantina on road to Gouveia","-43.7215","-18.4293","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996083' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925240","NY00925240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","522191","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","sclerophylla","Miconia sclerophylla","Triana","J. J. Wurdack","R. M. Harley","22809","1980","05","30","South America","Brazil","Bahia","Morro do Chapeu. Summit of Morro do Chapeu, ca. 8 km. SW of the town of Morro do Chapeu to the west of the road to Utinga","-41.2","-11.58","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522191","NY00522191_01","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00925239","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","sclerophylla","Miconia sclerophylla","Triana","J. J. Wurdack","H. S. Irwin","20156","1968","02","15","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925239","NY00925239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
