"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","continentOcean","country","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","verbatimLongitude","verbatimLatitude"
"1","2020-02-08 09:21:17-03","NBC","NL-BOTANY","U 0090690","PreservedSpecimen","Plantae","Magnoliopsidae","Gentianales","Gentianaceae","Senaea","coerulea","Senaea coerulea","Taub.","isotype","Glaziou AFM","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200090690 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0090690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:21:17-03","NBC","NL-BOTANY","L.1065267","PreservedSpecimen","Plantae","Magnoliopsidae","Gentianales","Gentianaceae","Senaea","coerulea","Senaea coerulea","Taub.","isotype","Glaziou AFM","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1065267 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1065267","NL-L1065267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-06 09:55:45-03","UFOP","OUPR","11259","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Senaea","coerulea","Senaea coerulea","Taub.",NA,"Schwacke, C.A.W.",NA,"Brasil","Suffrutex, flores pulchre coerulei. In ripa rivulosum. Ex Herb. Magalhães Gomes n. 1144",NA,NA,"Schwacke, C.A.W.","8089","1892","04","04","Minas Gerais","Diamantina","Serra dos Cristaes","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA
"4","2020-12-11 11:36:40-03","UFMG","BHCB","665","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Senaea","coerulea","Senaea coerulea","Taub.",NA,"Schwacke, CAW","Southern America","Brasil","Herbáceo.; Campo.","BHCB047825",NA,NA,"s.n.","1904",NA,NA,"Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807","101169","auto","Dicotyledon",NA,NA
"5","2019-11-13 11:20:17-03","USP","SPF","39230","PreservedSpecimen","Plantae",NA,NA,"Gentianaceae","Senaea","coerulea","Senaea coerulea","Taub.",NA,"Amaral, MCE",NA,"Brasil",NA,"SPF00039230",NA,"Cordeiro, I","CFSC8476","1982","04","23","Minas Gerais","Congonhas do Norte","Serra da Mangabeira","-43.816667","-18.833333",NA,NA,NA,"-43.816667","-18.833333"
"6","2019-01-23 10:13:28-02","F","FMNH-SEEDPLANTS","V0360851F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Gentianaceae","Senaea","coerulea","Senaea coerulea",NA,"Isotype","A. Glaziou","South America","Brazil",NA,"V0360851F","V0360851F_01",NA,"19739",NA,NA,NA,"Minas Gerais",NA,"prope Biribiry",NA,NA,NA,NA,"Spermatophyta",NA,NA
