"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","class","relatedCatalogItem","imagecode","verbatimLongitude","verbatimLatitude","previousCatalogNumber","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","infraspecificEpithet","minimumElevationInMeters","individualCount","typeStatus","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","431925","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Adesmia","paranensis","Adesmia paranensis","Burkart","S. T. S. Miotto","G. G. Hatschbach","28229","1971","12","04","South America","Brazil","Paraná","Palmas","Rio Chopim","-51.9906","-26.4844","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00431925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","431926","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Adesmia","paranensis","Adesmia paranensis","Burkart","S. T. S. Miotto","G. G. Hatschbach","39174","1976","12","08","South America","Brazil","Paraná","Balsa Nova","Campina da Cascavel","-49.6356","-25.5842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00431926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","431924","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Adesmia","paranensis","Adesmia paranensis","Burkart","S. T. S. Miotto","G. G. Hatschbach","30860","1972","11","29","South America","Brazil","Paraná","Palmeira","Invernada Rincao de Cima","-50.0064","-25.4294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00431924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","431923","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Adesmia","paranensis","Adesmia paranensis","Burkart","S. T. S. Miotto","P. K. H. Dusén","7322","1908","12","08","South America","Brazil","Paraná","Lapa","Serrinha","-49.57","-25.68","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00431923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:11:13-03","NBC","NL-BOTANY","U.1245769","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Adesmia","paranensis","Adesmia paranensis","Burkart",NA,"Lindeman JC; Haas JH de",NA,"1967","03","12","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1245769 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1245769","Magnoliopsidae","U 0017524","NL-U1245769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:11:13-03","NBC","NL-BOTANY","U.1245770","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Adesmia","paranensis","Adesmia paranensis","Burkart",NA,"Lindeman JC; Haas JH de",NA,"1967","03","12","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1245770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1245770","Magnoliopsidae","U 0017525","NL-U1245770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:11:13-03","NBC","NL-BOTANY","WAG.1000616","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Adesmia","paranensis","Adesmia paranensis","Burkart",NA,"Hatschbach GG",NA,"1976","11","08","Southern America","Brazil",NA,NA,"Campina da Cascavel (mun. Balsa Nova) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1000616 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1000616","Magnoliopsidae","WAG0385474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-10 14:35:05-03","UFSC","CTBS","171","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Adesmia","paranensis","Adesmia paranensis","Burkart","Iganci, J.R.V.","Iganci, João Ricardo Vieira & Heiden, Gustavo","777","2011","01","11",NA,"Brasil","Santa Catarina","Água Doce","Estrada para a BR 152. Na margem da estrada","-51.553381","-26.999261",NA,"Planta sublenhosa, procumbente, com folhas amarelas. Pouco frequente , em vegetação alterada",NA,NA,NA,NA,"51°33'12.17W","26°59'57.34S","ICN: 172364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-10 14:35:05-03","UFSC","CTBS","174","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Adesmia","paranensis","Adesmia paranensis","Burkart","Iganci, J.R.V.","Iganci, João Ricardo Vieira & Heiden, Gustavo","781","2011","01","11",NA,"Brasil","Santa Catarina","Água Doce","Estrada para a BR 152. Na margem da estrada","-51.553381","-26.999261",NA,"Planta sublenhosa,procumbente, com folhas amarelas. Pouco frequente, em vegetação alterada",NA,NA,NA,NA,"51°33'12.17W","26°59'57.34S","ICN: 172368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:35:54-03","UFJF","CESJ","47546","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Adesmia","paranensis","Adesmia paranensis","Burkart","G. Hatschbach","J.M. Silva; E. Barbosa; C.B. Poliquesi","4484","2005","11","10","América do Sul","Brasil","Paraná","Palmeira","Capela Nossa Senhora das Pedras","-50.0064010620117","-25.4293994903564",NA,"Ascendente, flor amarela. Campo limpo, seco.","CESJ047546",NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
