"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","day","coordinatePrecision","geoFlag","fieldNumber","preparationType","previousCatalogNumber"
"1","2019-10-09 11:28:46-03","UFBA","ALCB","00632","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.","Queiroz, LP de","1984","07","Pinto, GCP","s/n","1971","10","Southern America","Brasil","Bahia","Jequié","Sudoeste, Fazenda Serra Nevada","-40.083333","-13.85","-40.083333","-13.85","600","600","terrestre. Em campo agreste.","ALCB007082","ALCB007082",NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:14-03","MN","R","35801","PreservedSpecimen","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb. f.","Brade, A.C.",NA,NA,NA,NA,"1896",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:01:01-03","UNICAMP","UEC","86408","S","Plantae","Liliopsida","Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.","Borba, EL",NA,NA,"Leitão Filho, HF; et al.; Rezende, RR","33250","1995","02",NA,"Brazil","Rio de Janeiro","Macaé de Cima","Estrada de terra Sete Barras-Juquiá",NA,NA,NA,NA,NA,NA,"Epífita, flores com sépalas branco-rosadas, pétalas e labelo branco-rosados com a base e veias lilases na face adoxial.","UEC027165","UEC027165","13",NA,NA,NA,NA,NA
"4","2021-02-12 18:12:25-03","UFES","VIES","3188","S","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Silva, C.S.; Vargas, L.C.","s.n.","1984","02",NA,"Brasil","Espírito Santo","Vila Velha","Barra do Jucu.","-40.2924995422363","-20.3297004699707",NA,NA,NA,NA,NA,"VIES003188","VIES003188","12","27156","auto",NA,NA,NA
"5","2015-09-04 12:04:28-03","MNHN","RECOLNAT_MNHN_P","P00455945","PreservedSpecimen",NA,NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","Rchb.f.",NA,NA,NA,"Gardner, G.",NA,"1836",NA,NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00455945' target='other'> <mi>dwc_moreinfo</mi></a>","P00455945","P00455945_01",NA,NA,NA,"125","hb",NA
"6","2021-03-01 11:50:10-03","UFPE","UFP","75346","PreservedSpecimen","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","Lindl.","Pessoa, E","2012","10","Pessoa, E; Melo, A; Alves, M","1038","2012","08",NA,"Brasil","Bahia","Boa Nova",NA,"-40.210278","-14.331111","-40.210278","-14.331111",NA,NA,"Epífita com flores alvas.; Mata Seca.","UFP075346",NA,"28",NA,NA,NA,NA,NA
"7","2019-11-13 16:04:59-03","UNISANTA","HUSC","10170","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.","Kayasima, M.","2007","03","Boldin, A.H.L.; et al.","502","2007","03",NA,"Brasil","São Paulo","Santos","Sítio Sandi","-46.3300018310547","-23.9599990844727",NA,NA,NA,NA,"Epífita crescendo no tronco de uma árvore.; Floresta Baixa de Restinga",NA,NA,NA,"26836","auto",NA,NA,NA
"8","2016-08-23 09:45:46-03","NHMLondon","NHM-LONDON-BOT","BM000533784","S","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Collaboration; Sir Joseph Banks & Daniel Solander","s.n.",NA,NA,NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4651094"
"9","2015-02-26 09:30:08-03","NHMLondon","NHM-LONDON-BOT","BM000533785","S","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"George Gardner; b.1812; d.1849; Gardner","125","1836","10",NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4651095"
"10","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Sellow, F","B1281?",NA,NA,"Southern America","Brazil",NA,NA,"ad Serra da Canaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Gardner, G","125?",NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","IBB/Rio Comprido, Rio de Janeiro, RJ, in truncis Crescentiae Cujete ad Rio Comprido prov. Rio de Janeiro","-43.208333","-22.938889","-43.208333","-22.938889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Weir, J","55?",NA,NA,"Southern America","Brazil",NA,NA,"in prov. S. Paulo vel Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Sellow, F","C241",NA,NA,"Southern America","Brazil",NA,NA,"ad Serra da Canaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Sellow, F","C241?",NA,NA,"Southern America","Brazil",NA,NA,"ad Serra da Canaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Sellow, F","B1281",NA,NA,"Southern America","Brazil",NA,NA,"ad Serra da Canaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Gardner, G","125",NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","IBB/Rio Comprido, Rio de Janeiro, RJ, in truncis Crescentiae Cujete ad Rio Comprido prov. Rio de Janeiro","-43.208333","-22.938889","-43.208333","-22.938889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Weir, JR","55",NA,NA,"Southern America","Brazil",NA,NA,"in prov. S. Paulo vel Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Wied-Neuwied, MAP Prince","s.n.",NA,NA,"Southern America","Brazil","Bahia",NA,"Habitat ad Villa Nova de Almeida prov. Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Wied-Neuwied, MAP Prince","s.n.",NA,NA,"Southern America","Brazil","Bahia",NA,"Habitat ad Villa Nova de Almeida prov. Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Comm. Geogr.Geol. S. Paulo","2690?",NA,NA,"Southern America","Brazil","São Paulo",NA,"in prov. S. Paulo",NA,NA,NA,NA,NA,NA,"Floret Septembri ad Aprilem",NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Comm. Geogr.Geol. S. Paulo","2690",NA,NA,"Southern America","Brazil","São Paulo",NA,"in prov. S. Paulo",NA,NA,NA,NA,NA,NA,"Floret Septembri ad Aprilem",NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Riedel, L","63?",NA,NA,"Southern America","Brazil","Rio de Janeiro","Magé","in truncis arborum locis inundatis palustribsque prope Majé","-43.0406","-22.6528",NA,NA,NA,NA,NA,NA,NA,NA,"20531","auto",NA,NA,NA
"23","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.",NA,NA,NA,"Riedel, L","63",NA,NA,"Southern America","Brazil","Rio de Janeiro","Magé","in truncis arborum locis inundatis palustribsque prope Majé","-43.0406","-22.6528",NA,NA,NA,NA,NA,NA,NA,NA,"20531","auto",NA,NA,NA
"24","2019-11-21 10:13:48-03","IBt","SP","45007","S","Plantae",NA,"Orchidaceae","Rodriguezia","rigida","Rodriguezia rigida","(Lindl.) Rchb.f.","Hoehne, FC",NA,NA,"Heringer, EP","493","1941","01",NA,"Brasil","Minas Gerais","Coronel Pacheco","Estação Experimental do Café","-43.2655982971191","-21.5877990722656",NA,NA,NA,NA,"Já mandamos material vivo ao dr. Frederico Carlos Hoehne",NA,NA,"05","10350","auto",NA,NA,NA
