"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","locality","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:33:55-03","UNESC","CRI","5254","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","australis","Plantago australis","Lam.","Candida M. Savaris Frello.","2001","12","20","C. M. S. Frello","1996","09","20","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habito: herbácea","CRI006183","CRI006183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:55-03","UNESC","CRI","7624","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","australis","Plantago australis","Lam.","S. M. Hefler","2001","10","29","S. M. Hefler","2000","10","22","Brasil","Paraná","Jaguariaíva","-49.725","-24.254722","49º43'30''W","24º15'17''S",NA,NA,NA,"CRI006185","CRI006185","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:47-03","UNESC","CRI","4714","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","australis","Plantago australis","Lam.","Zoê Gomes","2001","12","20","L. C. dos Santos","1991","10","26","Brasil","Santa Catarina","Urussanga","-49.321111","-28.518333","49º19'16''W","28º31'6''S","300","300",NA,"CRI006184","CRI006184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:55-03","UNESC","CRI","149","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","australis","Plantago australis","Lam.","S. M. Hefler","2001","12","20","V. Citadini-Zanette; V. P. Boff","1982","09","23","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI006191","CRI006191","587","Alto Rio Fiorita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:55-03","UNESC","CRI","5225","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","australis","Plantago australis","Lam.","Denise P. Cesconeto","2001","12","20","D. P. Cesconeto","1996","05","27","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habito: herbácea perene","CRI006190","CRI006190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:55-03","UNESC","CRI","915","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","australis","Plantago australis","Lam.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini Zanette","1992","11","10","Brasil","Santa Catarina","Garopaba","-48.613611","-28.021111","48º36'49''W","28º1'16''S","10","10","Habitat: orla marítima","CRI006180","CRI006180","806","Praia do Ouvidor.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:55-03","UNESC","CRI","4552","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","australis","Plantago australis","Lam.","Elisianne A. Cachoeira","2001","12","20","M. Dagostim; S. M. Hefler","1995","10","29","Brasil","Santa Catarina","Içara","-49.308889","-28.713611","49º18'32''W","28º42'49''S",NA,NA,NA,"CRI006188","CRI006188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:55-03","UNESC","CRI","7623","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","australis","Plantago australis","Lam.","S. M. Hefler","2001","10","29","S. M. Hefler","2001","02","14","Brasil","Paraná","Curitiba","-49.273333","-25.428333","49º16'24''W","25º25'42''S","947","947",NA,"CRI006181","CRI006181","46","Boa vista.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:47-03","UNESC","CRI","12825","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","australis","Plantago australis","Lam.","Vanilde Citadini-Zanette","2017","09","27","Maria Eduarda Ferreira","2017","09","27","Brasil","Santa Catarina","Criciúma","-49.412778","-28.705278","49º24'46''W","28º42'19''S","34","34","Habito: Herbácea","CRI011090","CRI011090",NA,"Horto Medicinal UNESC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:55-03","UNESC","CRI","7813","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","australis","Plantago australis","Lam.","T. B. Guimarães",NA,NA,NA,"T. B. Guimarães; Daniel de Barcelos Falkenberg","2004","09","30","Brasil","Santa Catarina","Florianópolis","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: baixada seca entre dunas, na restinga Habito: herbácea","CRI006179","CRI006179","662","Parque Municipal da Lagoa da Conceição.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
