"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","infraspecificEpithet","typeStatus","class","coordinatePrecision","geoFlag","individualCount"
"1","2021-04-05 14:33:55-03","UNESC","CRI","4744","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C.DC.","Daniel Ruschel","2003","08","28","Vanilde Citadini-Zanette; J. C. Caetano","1996","03","02","Brasil","Santa Catarina","Governador Celso Ramos","-48.559722","-27.315833","48º33'35''W","27º18'57''S","CRI006161","CRI006161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","557293","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C.DC.","E. G. Gonçalves",NA,NA,NA,"C. F. Rozindo Cardoso","1997","05","15","Brazil","Bahia","Baianópolis","-44.6139","-12.2128",NA,NA,"NY00557293","NY00557293_01","Magnoliophyta","Piperales","46","South America","Rodovia BA-242 entre Baianópolis e Barreiras NORDESTE","690","690","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=140581' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","283772","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum parvifolium","Yunck.",NA,NA,NA,NA,"A. Gehrt","1936","08","16","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00283772","NY00283772_01","Magnoliophyta","Piperales","s.n.","South America","Capital, Pirajussara",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636111' target='other'> <mi>dwc_moreinfo</mi></a>","parvifolium","isotype",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","557292","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum parvifolium","Yunck.","R. Callejas Posada",NA,NA,NA,"L. R. Landrum","1982","01","13","Brazil","Rio de Janeiro","Rio de Janeiro","-43.278116","-22.956929",NA,NA,"NY00557292","NY00557292_01","Magnoliophyta","Piperales","4119","South America","Rio de Janeiro, Floresta da Tijuca, near chapel",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636109' target='other'> <mi>dwc_moreinfo</mi></a>","parvifolium",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","557291","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum parvifolium","Yunck.","T. G. Yuncker",NA,NA,NA,"A. C. Brade","1913","11","23","Brazil","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,"NY00557291","NY00557291_01","Magnoliophyta","Piperales","6933","South America","Santo Amaro. Buschwald",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636110' target='other'> <mi>dwc_moreinfo</mi></a>","parvifolium",NA,NA,NA,NA,NA
"6","2019-08-27 13:31:49-03","IAP","PACA-AGP","70821","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","Daniel Ruschel","2003","10","15","R. Callejas","1983","12","01","Brasil","PR","Paranaguá","-48.5092010498047","-25.5200004577637",NA,NA,"PACA070821",NA,"Magnoliophyta","Piperales","1839",NA,"Rio Caranguaçú",NA,NA,NA,"The New York Botanical Garden Flora of Brasil. Habitat: Mata pluvial de planície litorânea",NA,NA,"Magnoliatae","24916","auto",NA
"7","2019-08-27 13:31:49-03","IAP","PACA-AGP","3290","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","Daniel Ruschel","2003","10","15","Rambo, B.","1938","06",NA,"Brasil","SC","Florianópolis","-48.5491981506348","-27.596700668335",NA,NA,"PACA003290",NA,"Magnoliophyta","Piperales",NA,NA,"NovoTrento",NA,NA,NA,"Habitat: In silva",NA,NA,"Magnoliatae","27000","auto",NA
"8","2019-01-17 11:26:53-02","PUCRS","MPUC","9300","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C.DC.","Equipe do Projeto",NA,NA,NA,"M.R. Reis","1986","11","20","Brasil","SC","Tubarão","-49.0072222","-28.4644444","-49.0072222000","-28.4644444000",NA,NA,NA,"Piperales",NA,"South America",".",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,"1"
"9","2020-10-14 10:04:49-03","FURB","FURB","8558","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C.DC.","Guimarães, E","2009","08",NA,"Rebelo, R.A.; Santos, T.G. & Lourenço, L.","2008","10","10","Brasil","Santa Catarina","Atalanta","-49.7516667","-27.4125","-49.7516667","-27.4125000","FURB03032","FURB03032",NA,NA,"1",NA,"Viveiro da APREMAVI - Associação Preservação Meio Ambiente Alto Vale.","536","536",NA,"Estrada geral s/n / Alto Dona Luiz",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:39:48-03","MBM","MBM","230026","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum subcinereum","C. DC.",NA,NA,NA,NA,"Ratter, J.A.; et al.; et al.",NA,NA,NA,"Brazil","Distrito Federal",NA,NA,NA,NA,NA,"MBM230026","MBM230026",NA,NA,"3709","Southern America","Fazenda Água Limpa, 18km SSW de Brasília",NA,NA,NA,NA,"subcinereum",NA,NA,NA,NA,NA
