"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","county","coordinatePrecision","geoFlag","class","order","imagecode","fieldNumber","minimumElevationInMeters","preparationType","individualCount","maximumElevationInMeters","typeStatus"
"1","2021-03-30 12:45:22-03","EAO","IAN","109839","PreservedSpecimen","Plantae","Dicotiledônea","Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, CC","1984","02","Pires, JM; Westra, LYT","48879","1960","10","16","Southern America","Brasil","Amapá","On thin soil overlying rock. Large and undulated granitic outcrop surrounded by forest, near Mt. Carupina.","-51.616667","3.55","-51.616667","3.55","Tree about 4m. tall and 20cm. in diam.; with white látex. Synconia greenish. Rare.","IAN109839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:45:22-03","EAO","IAN","115689","PreservedSpecimen","Plantae","Dicotiledônea","Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, CC","1984","03","Oliveira, E","2906","1963","11","08","Southern America","Brasil","Amazonas","Km. 21 da Rod. Itacoatiára-Manáus. Beira do Rio Urubú.",NA,NA,NA,NA,"Árvore de 12m. de altura, frutos.","IAN115689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:45:22-03","EAO","IAN","154813","PreservedSpecimen","Plantae","Dicotiledônea","Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, CC","1970","12","Maguire, B; Steyermark, JA","46995","1962","08","29","Southern America","Venezuela","Bolivar","Along riverside at El Foco.",NA,NA,NA,NA,"Small tree, copius látex, pubescences tawny.","IAN154813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:45:22-03","EAO","IAN","81994","PreservedSpecimen","Plantae","Dicotiledônea","Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, CC","1984","03","Pires, JM; Silva, NT da","4628","1953","07",NA,"Southern America","Brasil","Pará","Rio Guamá, acima de Ourém, perto de Porto Indígena Tembé. À margem de rio.",NA,NA,NA,NA,"Árvore grande.","IAN081994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:45:22-03","EAO","IAN","124238","PreservedSpecimen","Plantae","Dicotiledônea","Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, CC","1984","03","Oliveira, E","3999","1968","01","26","Southern America","Brasil","Pará","Monte Dourado, Rio jarí, Planalto de M. Dourado.","-52.5816993713379","-1.52332997322083",NA,NA,"Planta sobre árvore.","IAN124238","Almeirim","564600","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:23:51-03","NBC","NL-BOTANY","L.3977317","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"Angel G",NA,"1993","06","15","Southern America","French Guiana",NA,"Paracou.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3977317 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3977317",NA,NA,NA,"Magnoliopsidae","Rosales","NL-L3977317",NA,NA,NA,NA,NA,NA
"7","2015-09-05 11:27:03-03","MNHN","RECOLNAT_MNHN_P","P06752048","PreservedSpecimen",NA,NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"Pipoly, J.J.|Gharbarran, G.|Samuels, G.",NA,"1987","2","18",NA,"Guiana",NA,"Guyana. Cuyuni-Mazaruni Region: Chi-Chi Mountains, 4 Km W of Chi-Chi Falls, on tributary leading N from Mazaruni. Guiana , América do Sul","-60.25","5.56667",NA,NA,"Plants of the Guianas. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06752048' target='other'> <mi>dwc_moreinfo</mi></a>","P06752048",NA,NA,NA,NA,NA,"P06752048_01","10296","450","hb",NA,NA,NA
"8","2015-09-05 11:44:43-03","MNHN","RECOLNAT_MNHN_P","P06753493","PreservedSpecimen",NA,NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"Oldeman",NA,"1970","1","10",NA,"Guyane française",NA,"Basse crique Courouale, affluent basee Approuague à environl, 500km en amont des deux Fourches, dé fouca. Guiana Francesa",NA,NA,NA,NA,"Office de la Recherche Scientifique et Technique Outre-Mer. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06753493' target='other'> <mi>dwc_moreinfo</mi></a>","P06753493",NA,NA,NA,NA,NA,"P06753493_01","2687",NA,"hb",NA,NA,NA
"9","2015-09-05 11:44:43-03","MNHN","RECOLNAT_MNHN_P","P06753494","PreservedSpecimen",NA,NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"Prevost, M.F.",NA,"1979","8","28",NA,"Guyane française",NA,"Bord de la piste de St. Elie, km 19, bas-fon sableux de lisière. Guiana Francesa",NA,NA,NA,NA,". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06753494' target='other'> <mi>dwc_moreinfo</mi></a>","P06753494",NA,NA,NA,NA,NA,"P06753494_01","739",NA,"hb",NA,NA,NA
"10","2015-09-05 11:44:43-03","MNHN","RECOLNAT_MNHN_P","P06753495","PreservedSpecimen",NA,NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"Fanshawe, D.B.",NA,NA,NA,NA,NA,"British guiana",NA,"British Guiana. Mabaruma, Aruba River, N.W. District. Guiana Inglesa",NA,NA,NA,NA,"Flora of British Guiana. . In Forest Dept. n° 5122 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06753495' target='other'> <mi>dwc_moreinfo</mi></a>","P06753495",NA,NA,NA,NA,NA,"P06753495_01","2386",NA,"hb",NA,NA,NA
