"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","locality","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","860259","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","polycephalus","Eremanthus polycephalus","(DC.) MacLeish","G. G. Hatschbach","41485","1978","07","23","South America","Brazil","Minas Gerais","Cristália","-42.8619","-16.8006","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860259","NY00860259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 21:01:00-03","NY","NYBG","860262","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","polycephalus","Eremanthus polycephalus",NA,"N. F. F. MacLeish","702","1980","10","04","South America","Brazil","Minas Gerais","Diamantina","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860262","NY00860262_01","N. F. F. MacLeish","14 km northest of Diamantina towards Mendanha on Estrada 367.","1370","1370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 16:31:00-03","NY","NYBG","791788","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","polycephalus","Eremanthus polycephalus",NA,"G. L. Smith","811","1979","12","14","South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=640093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791788","NY00791788_01","B. Loeuille","Off MG-2 along a rocky road to mountaintop plateau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 21:01:00-03","NY","NYBG","860261","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","polycephalus","Eremanthus polycephalus",NA,"H. Schumacher","1094","1981","09","06","South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860261","NY00860261_01","N. F. F. MacLeish","Between BR 116 and Diamantina, 46 km from Novo Cruzeiro, shortly after intersection to Setubinha.","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 21:01:00-03","NY","NYBG","860260","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","polycephalus","Eremanthus polycephalus",NA,"G. Gardner","4818","1836",NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860260","NY00860260_01","N. F. F. MacLeish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-15 11:14:30-03","FUNED","FUNED-POL","652","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vanillosmopsis","polycephalla","Vanillosmopsis polycephalla",NA,NA,NA,"1991","12","01",NA,"Brasil","MG",NA,NA,NA,NA,"Atualmente, o gênero é Eremanthus","POL000652",NA,NA,"Apiário Pio/Funed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-15 11:14:30-03","FUNED","FUNED-POL","653","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vanillosmopsis","polycephalla","Vanillosmopsis polycephalla",NA,NA,NA,"1991","12","01",NA,"Brasil","MG",NA,NA,NA,NA,"Atualmente, o gênero é Eremanthus","POL000653",NA,NA,"Apiário Pio/Funed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:35:11-03","EAO","IAN","119925","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vanillosmopsis","polycephala","Vanillosmopsis polycephala","Sch.Bip.","Belém, RP","1634","1965","08","15","Southern America","Brasil","Bahia",NA,NA,NA,NA,"Árvore de 4m x 8cm de diâmetro; flores roseas.","IAN119925",NA,"Barroso, GM","Rodovia BR-4, divisa dos Estados de Minas gerais e Bahia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:35:11-03","EAO","IAN","119953","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vanillosmopsis","polycephala","Vanillosmopsis polycephala","Sch.Bip.","Belém, RP","1677","1965","09","08","Southern America","Brasil","Bahia",NA,NA,NA,NA,"Arvorezinha de 3m x 8cm de di6ametro; flores arroxeadas.","IAN119953",NA,"Barroso, GM","Margem da Rodovia Camacan-Canavieiras, 32km W de Canavieiras. Restinga.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:35:11-03","EAO","IAN","120011","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vanillosmopsis","polycephala","Vanillosmopsis polycephala","Sch.Bip.","Belém, RP","1748","1965","09","08","Southern America","Brasil","Bahia",NA,NA,NA,NA,"Arbusto e 2-3m de altura; flores roseas.","IAN120011",NA,"Barroso, GM","Margem da Rodovia Camacan-Canavieiras, 32km W de canavieiras. Restinga.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
