"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:08-03","UNESC","CRI","1","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Vanilde C. Zanette; Adão Zanette","395","1981","03","19","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","CRI006651","CRI006651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:08-03","UNESC","CRI","7464","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Cristiane Krug",NA,"2006","01","11","Brasil","Santa Catarina","Porto União","-51.078611","-26.238611","51º4'43''W","26º14'19''S","CRI006647","CRI006647","P.P.A. Ferreira","2010","10","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:25-03","UNESC","CRI","8392","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Mainara F. Cascaes",NA,"2007","04","23","Brasil","Santa Catarina","Maracajá","-49.453056","-28.847222","49º27'11''W","28º50'50''S","CRI006638","CRI006638","Vanilde Citadini- Zanette","2007",NA,NA,"Parque Ecológico Municipal de Maracajá.","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:08-03","UNESC","CRI","9310","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Mainara F. Cascaes; Birgit Harter Marques",NA,"2008","07","01","Brasil","Santa Catarina","Maracajá","-49.466389","-28.880833","49º27'59''W","28º52'51''S","CRI006637","CRI006637","Vanilde C. Zanette",NA,NA,NA,"Parque Ecológico do Maracajá.","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:25-03","UNESC","CRI","12869","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba","L.","Alexandre Medeiros",NA,"2017","09","03","Brasil","Santa Catarina","Balneário Camboriú","-48.637778","-27.001389","48º38'16''W","27º0'5''S","CRI011477","CRI011477","Renato Colares","2018","03","12","Quilombola.",NA,NA,"Coleta 674. Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:25-03","UNESC","CRI","15255","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba","L.","Alexandre Medeiros","369","2017","05","12","Brasil","Santa Catarina","Balneário Camboriú","-48.599722","-27.042222","48º35'59''W","27º2'32''S","CRI014673",NA,"José Teixeira","2020","08","18","Quilombola APA Costa Brava","70","70","Habito: Trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","572004","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","L. Scur","616","2000","03","11","Brazil","Rio Grande do Sul","Caxias do Sul","-51.1792","-29.1683",NA,NA,"NY00572004","NY00572004_01","S. F. Smith",NA,NA,NA,"Sao Luiz - 3° Légua","780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484281' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","494060","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","G. Eiten","4330","1962","04","19","Brazil","Maranhão","Loreto","-45.07","-7.38",NA,NA,"NY00494060","NY00494060_01",NA,NA,NA,NA,"Ilha de Balsas region, between the Rios Balsas and Parnaíba. 200 m NE of main house of Fazenda Morros, about 35 km south of Lorêto","300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484288' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","486453","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","A. C. Cervi","6484","1998","03","24","Brazil","Paraná","Ponta Grossa","-49.97","-25.42",NA,NA,"NY00486453","NY00486453_01","P. P. A. Ferreira",NA,NA,NA,"Parque Estadual de Vila Velha",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=550439' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1013937","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","A. F. M. Glaziou","13003",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY01013937","NY01013937_01","D. F. Austin",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106750' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
