"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","continentOcean","relatedCatalogItem","barcode","imagecode","fieldNumber","preparationType","typeStatus","previousCatalogNumber"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2604","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Grandiphyllum","auricula","Grandiphyllum auricula","(Vell.) Docha Neto","Carlos A. Ferreira Jr.","2013","06","18","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","18","Brasil","Minas Gerais","Catas Altas","Tanque Grande, Caraça.","-43.4075012207031","-20.0746994018555","20º 06' 05S","43º 29' 33W","11966","1258","1258","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2781","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Grandiphyllum","auricula","Grandiphyllum auricula","(Vell.) Docha Neto","Carlos A. Ferreira Jr.","2013","09","10","Carlos Alberto F. Jr. ; Juliana Ordones","CAF1187","2013","09","06","Brasil","Minas Gerais","Catas Altas","Capela Sagrado Coração (Capelinha), Serra do Caraça","-43.4075012207031","-20.0746994018555","20º 05' 44S","43º 28' 53W","11966","1384","1384",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2656","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Grandiphyllum","auricula","Grandiphyllum auricula","(Vell.) Docha Neto","Carlos A. Ferreira Jr.","2013","06","20","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","20","Brasil","Minas Gerais","Catas Altas","Serra da Caraça, Mata entre a Caplinha e a Gruta de Lourdes","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,"1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:46:37-03","NBC","NL-BOTANY","WAG.1138336","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Asparagales","Orchidaceae","Oncidium","ramiferum","Oncidium ramiferum","Klotzsch",NA,NA,NA,NA,"Soels K",NA,"1959","01","21","Brazil","Santa Catharina",NA,"in National Araucaria angustifolia forest, in uplands, ± 250 km S of Curitiba. in the state Santa Catharina, named 'Jamandua'.","-50.583333","-26.583333","-50.583333","-26.583333",NA,NA,NA,NA,"Plant op 'cataia' en 'carne de vaca' stam groeiend.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1138336 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America","WAG0338705","NL-WAG1138336","NL-WAG1138336",NA,NA,NA,NA
"5","2021-03-31 13:41:09-03","MN","R","86497","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Oncidium","harrisonianum","Oncidium harrisonianum","Lindl.","Pabst, G.F.J.","1962","04","29","Vidal, J.","1957","1948","10",NA,"Brasil","Minas Gerais","Passa Quatro",NA,"-44.9667015075684","-22.3903007507324",NA,NA,"17293","1000","1000",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:09-03","MN","R","86487","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Oncidium","harrisonianum","Oncidium harrisonianum","Lindl.","Pabst, G.F.J.","1962","04","29","Vidal, J.","II - 5272","1953","01","24","Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,"38539","970","970",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:09-03","MN","R","107347","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Oncidium","harrisonianum","Oncidium harrisonianum","Lindl.","Pabst, G.F.J.","1962","04","29","Vidal, J.","II - 5125","1952",NA,NA,NA,"Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,"38539","900","900",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:18:46-03","UFV","VIC","005171","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Oncidium","harrisonianum","Oncidium harrisonianum","Lindl.",NA,NA,NA,NA,"Pabst","s.n.","1978","05","03","Brasil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,NA,NA,NA,"auto",NA,NA,"VIC005171","VIC005171",NA,NA,NA,NA
"9","2016-07-05 11:14:19-03","FFCLRP","LBMBP","717","S","Plantae",NA,NA,NA,"Orchidaceae","Oncidium","schunkeanum","Oncidium schunkeanum","Campacci & Cath.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:00:49-03","UNICAMP","UEC","135283","S","Plantae","Liliopsida",NA,NA,"Orchidaceae","Grandiphyllum","auricula","Grandiphyllum auricula","(Vell.) Docha Neto","Meneguzzo, TEC","2015",NA,NA,"Simões, AO; Belinello, R; Koehler, S; Singer, RB","959","1999","11","05","Brazil","Minas Gerais","Minduri","Mata Triste","-44.6039009094238","-21.6819000244141",NA,NA,"15713",NA,NA,NA,"Epífita, flores amarelas, sépalas salpicadas de manchas marrons, labelo totalmente amarelo. Abundante no local. Foi notada variação de tamanho entre os indivíduos.","auto",NA,NA,"UEC001847","UEC001847",NA,NA,NA,NA
