"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:33:57-03","UNESC","CRI","2557","PreservedSpecimen","Plantae","Poaceae","Erianthus","clandestinus","Erianthus clandestinus","Swallen","L. B. Smith","L. B. Smith; R. M. Klein","16043","1975","02","10","Brasil","Santa Catarina","Lages","Serra dos Ilhéus.","-50.326111","-27.816111","50º19'34''W","27º48'58''S","918","918","Habitat: campo","CRI006817","CRI006817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:57-03","UNESC","CRI","2530","PreservedSpecimen","Plantae","Poaceae","Erianthus","trinii","Erianthus trinii","(Hack.) Hack.","L. B. Smith","Reitz; Klein","12755","1962","04","22","Brasil","Santa Catarina","Porto União",NA,"-51.078611","-26.238611","51º4'43''W","26º14'19''S","750","750","Habitat: banhado","CRI006818","CRI006818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:00-03","UNESC","CRI","2475","PreservedSpecimen","Plantae","Poaceae","Saccharum","villosum","Saccharum villosum","Steud.","L. B. Smith","R. M. Klein; L. B. Smith",NA,"1972","11","10","Brasil","São Paulo","São Paulo","Cidade Universitária.","-46.630278","-23.540556","46º37'49''W","23º32'26''S","730","730",NA,"CRI006815","CRI006815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 15:16:32-03","UNESC","CRI","2066","PreservedSpecimen","Plantae","Poaceae","Saccharum","villosum","Saccharum villosum","Steud.","L. B. Smith","R. M. Klein",NA,"1964","02","27","Brasil","Santa Catarina","Irani",NA,"-51.915556","-27.043889","51º54'56''W","27º2'38''S","1000","1000","Habito: Herbácea","CRI013788","CRI013788","1977","04","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:41-03","E","E","420929","PreservedSpecimen","Plantae","Gramineae","Saccharum","villosum","Saccharum villosum",NA,NA,"Arroyo, S; Correa, M.N.; Molina, A.M. & Quarín C.","6843","1976","11","08","AR","Provincia de Corrientes",NA,"Dept. Santo Tomé, Arroyo Chirimay",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00420929 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00420929",NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:518609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 03:17:00-03","NY","NYBG","381018","PreservedSpecimen","Plantae","Poaceae","Erianthus","trinii","Erianthus trinii",NA,NA,"E. Pittier","1471","1906",NA,NA,"Colombia","Cauca",NA,"Loam de Bichiqui, near Toribio, Róo Palo basin, Tierra Adentro",NA,NA,NA,NA,"2000","2000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00381018","NY00381018_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales","possible type",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","381019","PreservedSpecimen","Plantae","Poaceae","Erianthus","trinii","Erianthus trinii","Hack.",NA,"Collector unspecified","s.n.",NA,NA,NA,"Brazil",NA,NA,"[Brazil ?]: Orillao de Canados",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00381019","NY00381019_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales","possible type",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","381020","PreservedSpecimen","Plantae","Poaceae","Erianthus","trinii","Erianthus trinii","Hack.",NA,"Gerdis","58",NA,NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00381020","NY00381020_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales","possible type",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00862636","PreservedSpecimen","Plantae","Poaceae","Saccharum","giganteum","Saccharum giganteum","(Walter) Pers.",NA,"F. Sellow","s.n.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862636","NY00862636_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 11:47:00-02","NY","NYBG","783882","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"W. D. Clayton","4626","1965","02","10","Brazil","São Paulo",NA,"Estaçao Florestal de Paraguaçu Paulista (6 km N of city)","-50.57","-22.28",NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783882","NY00783882_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-11-01 11:47:00-02","NY","NYBG","783884","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"W. D. Clayton","4622","1965","02","10","Brazil","São Paulo",NA,"Estaçao Florestal de Paraguaçu Paulista (6 km N of city)","-50.57","-22.28",NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783884","NY00783884_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 15:16:00-03","NY","NYBG","783898","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"F. W. Pennell","8137","1922","07","03","Colombia","Cauca",NA,"El Ramal to Rio Sucio, West of Popayan. Cauca Valley.",NA,NA,NA,NA,"1600","1900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783898",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-11-01 11:47:00-02","NY","NYBG","783888","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"W. D. Clayton","4261","1965","01","22","Brazil","Paraná",NA,"Bocaiuva do Sul","-48.888796","-25.118389",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783888","NY00783888_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-11-01 11:47:00-02","NY","NYBG","783895","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"W. D. Clayton","4677","1965","02","15","Brazil","São Paulo","Jacupiranga","6 km S of Jucupiranga on road to Cananeia","-48","-24.43",NA,NA,"50","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783895","NY00783895_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-11-01 11:47:00-02","NY","NYBG","783883","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"W. D. Clayton","4676","1965","02","14","Brazil","São Paulo","Registro","Sete Barras","-47.84","-24.48",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568054' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783883","NY00783883_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 15:16:00-03","NY","NYBG","783900","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"S. S. Tillett","45340","1960","09","08","Guyana",NA,NA,"Village of Ma King, just above Tusining R mouth. Upper Mazaruni River Basin. Kukui River",NA,NA,NA,NA,"490","490","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783900",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 15:16:00-03","NY","NYBG","783889","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"J. C. Lindeman","4609","1967","02","23","Brazil","Paraná",NA,"Serra do Mar; road side near Rio do Corvo, near old road to Morretes",NA,NA,NA,NA,"800","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783889","NY00783889_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-11-01 11:47:00-02","NY","NYBG","783934","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"L. B. Smith","10722","1957","02","03","Brazil","Santa Catarina","Pôrto Uniao","East of Valoes (Irineópolis) on the road to Canoinhas","-51.0781","-26.2383",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783934","NY00783934_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-11-01 11:47:00-02","NY","NYBG","783933","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"L. B. Smith","12170","1957","03","15","Brazil","Santa Catarina","Pôrto Uniao","21 km south of Matos Costa","-51.0781","-26.2383",NA,NA,"900","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783933","NY00783933_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-11-01 11:47:00-02","NY","NYBG","784179","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"L. B. Smith","11188","1957","02","10","Brazil","Santa Catarina","Campos Novos","21 km south-east of Campos Novos on the road to Sao José do Cerrito (Carú)","-51.2247","-27.4019",NA,NA,"700","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784179","NY00784179_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-11-01 11:47:00-02","NY","NYBG","783897","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"W. D. Clayton","4547","1965","02","06","Brazil","São Paulo","Paraguaçú Paulista","Estaçao Florestal de Paraguaçu ( 6 km N of city on road to Bora)","-50.57","-22.28",NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783897","NY00783897_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-11-01 11:47:00-02","NY","NYBG","783887","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"G. Davidse","11322","1976","03","15","Brazil","Paraná",NA,"41 km E of Guarapuava along Highway BR-277 to Curitiba",NA,NA,NA,NA,"720","720","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783887","NY00783887_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-11-01 11:47:00-02","NY","NYBG","783890","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"R. Reitz","3233","1950","01","04","Brazil","Santa Catarina",NA,"Brusque",NA,NA,NA,NA,"40","40","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783890","NY00783890_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-11-01 11:47:00-02","NY","NYBG","783896","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"W. D. Clayton","4677","1965","02","15","Brazil","São Paulo","Jacupiranga","6 km S of Jucupiranga on road to Cananeia","-48","-24.43",NA,NA,"50","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783896","NY00783896_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","783891","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii","(Hack.) Renvoize","S. F. Smith","A. Kegler","626","2000","02","13","Brazil","Rio Grande do Sul","Caxias do Sul","Vila Oliva","-50.890537","-29.219297",NA,NA,"780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783891","NY00783891_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","783893","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii","(Hack.) Renvoize",NA,"M. A. Chase","8228","1925","01","13","Brazil","Rio de Janeiro",NA,"Dois Irmaos","-43.241306","-22.991674",NA,NA,"25","30","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783893","NY00783893_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-11-01 11:47:00-02","NY","NYBG","783885","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"G. Davidse","11322","1976","03","15","Brazil","Paraná",NA,"41 km E of Guarapuava along Highway BR-277 to Curitiba",NA,NA,NA,NA,"720","720","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783885","NY00783885_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-09-29 15:16:00-03","NY","NYBG","783899","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"T. M. Pedersen","1921","1953","01","14","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783899",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","783892","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii","(Hack.) Renvoize",NA,"L. Riedel","996",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783892","NY00783892_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","783894","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii","(Hack.) Renvoize",NA,"P. von Luetzelburg","9","1910",NA,NA,"Brazil","Rio de Janeiro",NA,"Leme",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783894","NY00783894_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","783886","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii","(Hack.) Renvoize",NA,"P. K. H. Dusén","13603","1912","02","01","Brazil","Paraná",NA,"Serrinha",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783886","NY00783886_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-11-01 11:47:00-02","NY","NYBG","784178","PreservedSpecimen","Plantae","Poaceae","Saccharum","trinii","Saccharum trinii",NA,NA,"L. B. Smith","11627","1957","02","20","Brazil","Santa Catarina","Chapecó","Fazenda Campo Sao Vicente 24 km west of Campo Erê","-53.18","-26.37",NA,NA,"900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784178","NY00784178_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00862610","PreservedSpecimen","Plantae","Poaceae","Saccharum","villosum","Saccharum villosum","Steud.",NA,"H. S. Irwin","9080","1965","10","09","Brazil","Distrito Federal","Brasília","Confluence of Rio Torto with Lagoa Paranoá, Brasília","-47.88","-15.73",NA,NA,"975","975","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862610","NY00862610_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00862631","PreservedSpecimen","Plantae","Poaceae","Saccharum","villosum","Saccharum villosum","Steud.",NA,"H. S. Irwin","9049","1965","10","07","Brazil","Distrito Federal","Brasília","Ca. 2 km E. of Sobradinho","-47.79805","-15.6333",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862631","NY00862631_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00862634","PreservedSpecimen","Plantae","Poaceae","Saccharum","villosum","Saccharum villosum","Steud.",NA,"W. D. Clayton","4938","1965","03","04","Brazil","Distrito Federal","Brasília","Rib. Sobradinho","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862634","NY00862634_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00862606","PreservedSpecimen","Plantae","Poaceae","Saccharum","villosum","Saccharum villosum","Steud.",NA,"W. R. Anderson","35228","1972","02","03","Brazil","Minas Gerais",NA,"Ca. 10km SW of Diamantina.","-43.68585","-18.2801",NA,NA,"1250","1250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862606","NY00862606_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00862635","PreservedSpecimen","Plantae","Poaceae","Saccharum","villosum","Saccharum villosum","Steud.",NA,"H. S. Irwin","8688","1965","09","26","Brazil","Distrito Federal","Brasília","Córrego Gama, between Gama and Brasília, near road to Anápolis","-47.8","-15.95",NA,NA,"1175","1175","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862635","NY00862635_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00862607","PreservedSpecimen","Plantae","Poaceae","Saccharum","villosum","Saccharum villosum","Steud.",NA,"H. S. Irwin","12948","1966","02","16","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 30 km N.W. of Veadeiros","-47.71316","-13.92497",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862607","NY00862607_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
