"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","typeStatus","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","10257","PreservedSpecimen","Plantae","Commelinaceae","Tripogandra","diuretica","Tripogandra diuretica","(Mart.) Handlos","M. G. Caxambu","2009","02","26","E.L. Siqueira; A.S. dos Santos","147","2009","02","13","Brasil","Paraná","Luiziana","RPPN Depositozinho - Propriedade da COAMO - Agroindustrial Cooperativa.","-52.320278","-24.2025","52º19'13''W","24º12'9''S","659","659","Habito: erva","CRI006703","CRI006703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:08-03","UNESC","CRI","13223","PreservedSpecimen","Plantae","Commelinaceae","Tripogandra","diuretica","Tripogandra diuretica","(Mart.) Handlos","Pellegrini, M.O.O.","2017","01","17","Schwirkowski, P.","1669","2016","03","26","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. No riacho próximo à entrada da rua em direção ao Morro da Igreja. Rio Natal. No riacho próximo à entrada da rua em direção ao Morro da Igreja.","-49.274444","-26.357222","49º16'28''W","26º21'26''S","250","250",NA,"CRI011888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:08-03","UNESC","CRI","9257","PreservedSpecimen","Plantae","Commelinaceae","Tripogandra","diuretica","Tripogandra diuretica","(Mart.) Handlos",NA,NA,NA,NA,"Mainara F. Cascaes; Birgit Harter Marques",NA,"2007","09","01","Brasil","Santa Catarina","Maracajá","Parque Ecológico do Maracajá.","-49.466389","-28.880833","49º27'59''W","28º52'51''S","30","30",NA,"CRI006702","CRI006702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:08-03","UNESC","CRI","12682","PreservedSpecimen","Plantae","Commelinaceae","Tripogandra","diuretica","Tripogandra diuretica","(Mart.) Handlos","Marco Pellegrini","2017","07","07","Alexandre Medeiros",NA,"2017","07","07","Brasil","Santa Catarina","Balneário Camboriú","Taquarinhas.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 543.","CRI010896",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:08-03","UNESC","CRI","12295","PreservedSpecimen","Plantae","Commelinaceae","Tripogandra","diuretica","Tripogandra diuretica","(Mart.) Handlos","Alexandre Medeiros","2017","04","22","Alexandre Medeiros",NA,"2017","04","22","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 187","CRI010479",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:37:17-03","E","E","165309","PreservedSpecimen","Plantae","Commelinaceae","Tripogandra","diuretica","Tripogandra diuretica",NA,NA,NA,NA,NA,"Harley, R.M.; Nic Lughadha, E.; Queiroz, R.F.",NA,"1991","12","28","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00165309 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165309",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:203324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","679925","PreservedSpecimen","Plantae","Commelinaceae","Tinantia","erecta","Tinantia erecta","(Jacq.) Schltdl.","D. R. Hunt",NA,NA,NA,"H. S. Irwin","11269","1965","12","14","Brazil","Distrito Federal","Brasília","25 km N. of Brasília","-47.9167","-15.55738",NA,NA,"950","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=854188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679925","NY00679925_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02450213","PreservedSpecimen","Plantae","Commelinaceae","Tinantia","erecta","Tinantia erecta","(Jacq.) Schltdl.",NA,NA,NA,NA,"H. S. Irwin","19154","1968","01","25","Brazil","Goiás","Cocalzinho de Goiás","75 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.7757987976074","-15.7944002151489",NA,NA,"800",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2641921' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450213","NY02450213_01","56114","auto","South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02450214","PreservedSpecimen","Plantae","Commelinaceae","Tinantia","fugax","Tinantia fugax","Scheidw.",NA,NA,NA,NA,"Collector unspecified","s.n.","1844","09",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2641924' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450214","NY02450214_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 11:05:00-03","NY","NYBG","498271","PreservedSpecimen","Plantae","Commelinaceae","Tripogandra","diuretica","Tripogandra diuretica",NA,"W. L. Handlos",NA,NA,NA,"R. Reitz","6618","1958","03","26","Brazil","Santa Catarina","Garuva","Mina Velha, Garuva, Sao Francisco do Sul","-48.8547","-26.0269",NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498271","NY00498271_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-29 11:05:00-03","NY","NYBG","498359","PreservedSpecimen","Plantae","Commelinaceae","Tripogandra","diuretica","Tripogandra diuretica",NA,"W. L. Handlos",NA,NA,NA,"E. Schwindt","1535","1949","04","08","Argentina","Misiones","San Pedro","Avellaneda",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324031' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498359",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Commelinales",NA,NA,NA,NA,NA,NA,NA,NA
