"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","occurrenceRemarks","infraspecificEpithet","typeStatus","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:14-03","UNESC","CRI","2760","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","tricoccum","Chiropetalum tricoccum","(Vell.) Chodat & Hassl.","L. B. Smith","R. M. Klein","1963","11","02","Brasil","Santa Catarina","São Joaquim","Urupema.","-49.931944","-28.294444","49º55'55''W","28º17'40''S","CRI002412","CRI002412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:14-03","UNESC","CRI","2761","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","tricoccum","Chiropetalum tricoccum","(Vell.) Chodat & Hassl.","L. B. Smith","Reitz; Klein","1962","01","09","Brasil","Santa Catarina","Caçador","Rio Castelhanos.","-51.015278","-26.775833","51º0'55''W","26º46'33''S","CRI002323","CRI002323","11871","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:14-03","UNESC","CRI","2762","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","tricoccum","Chiropetalum tricoccum","(Vell.) Chodat & Hassl.","L. B. Smith","Reitz; Klein","1962","12","24","Brasil","Santa Catarina","Urupema","São Joaquim.","-49.873333","-27.953333","49º52'24''W","27º57'12''S","CRI002321","CRI002321","14574","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","593237","PreservedSpecimen","Plantae","Euphorbiaceae","Argythamnia","tricocca","Argythamnia tricocca","(Vell.) Müll.Arg.","L. B. Smith","T. M. Pedersen","1982","11","01","Argentina","Corrientes","Concepción","Estancia San Justo del Palmar",NA,NA,NA,NA,"NY00593237","NY00593237_01","13446",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260903' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","593235","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","gymnadenium","Chiropetalum gymnadenium","(Müll.Arg.) Pax & K.Hoffm.","Y. Ramírez-Amezcua","V. A. de O. Dittrich","1996","10","02","Brazil","Paraná","Curitiba","Parque Barigui","-49.22","-25.37",NA,NA,"NY00593235",NA,"193",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260904' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","593227","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","tricoccum","Chiropetalum tricoccum","(Vell.) Chodat & Hassl.","J. Külkamp","Y. E. J. Mexia","1930","09","25","Brazil","Minas Gerais","Viçosa","Fazenda do Deserto","-42.8817","-20.7542",NA,NA,"NY00593227","NY00593227_01","5103","720","720","Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50613' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","629664","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","tricoccum","Chiropetalum tricoccum","(Vell.) Chodat & Hassl.","J. Külkamp","A. M. Amorim","1998","11","07","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7,5 km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso","-39.5286","-15.1581",NA,NA,"NY00629664","NY00629664_01","2593",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260901' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","593226","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","tricoccum","Chiropetalum tricoccum","(Vell.) Chodat & Hassl.","J. Külkamp","W. Hoehne","1944","04","23","Brazil","São Paulo","Serra Negra","Serra Negra","-46.700581","-22.588987",NA,NA,"NY00593226","NY00593226_01","s.n.",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50612' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","629663","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","tricoccum","Chiropetalum tricoccum","(Vell.) Chodat & Hassl.","J. Külkamp","A. M. Amorim","1998","08","13","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7,5 km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso","-39.5286","-15.1581",NA,NA,"NY00629663","NY00629663_01","2456",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260900' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1065349","PreservedSpecimen","Plantae","Euphorbiaceae","Chiropetalum","tricoccum","Chiropetalum tricoccum","(Vell.) Chodat & Hassl.","J. Külkamp","Y. E. J. Mexia","1930","12","18","Brazil","Minas Gerais","Viçosa","Fazenda do Deserto.","-42.8817","-20.7542",NA,NA,"NY01065349","NY01065349_01","5418","700","700","Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230673' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
