"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","fieldNumber","relatedCatalogItem","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00375033","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","decrescens","Manilkara decrescens","T.D.Penn.","S. F. Smith","G. G. Hatschbach","62052","1995","03","19","South America","Brazil","Minas Gerais","Buritizeiro","Rod. BA-365, próximo ao km 204. Borda da Chapada dos Gerais","-44.9619","-17.3511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=68032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375033","NY00375033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","375034","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","decrescens","Manilkara decrescens","T.D.Penn.","T. D. Pennington","S. A. Mori","14169","1981","05","28","South America","Brazil","Bahia","Entre Rios","Road W of Subaúma, 2-5 km W of Subaúma. Disturbed vegetation on white sand","-38.08","-11.94","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=68031' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375034","NY00375034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:49:12-03","EAO","IAN","119999","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Manilkara","decrescens","Manilkara decrescens","T.D. Penn.","Guedes, MLS","Belém, RP","1735","1965","09","08","Southern America","Brasil","Bahia",NA,"Margem da Rodovia Camacan-Canavieira, 32km W de Canavieiras. Restinga.",NA,NA,NA,"Árvore de 10m x 15cm de diâmetro; flores brancas. Cálice marron.","IAN119999",NA,"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:49:12-03","EAO","IAN","119996","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Manilkara","decrescens","Manilkara decrescens","T.D. Penn.","Guedes, MLS","Belém, RP","1732","1965","09","08","Southern America","Brasil","Bahia",NA,"Margem da Rodovia Camacan-Canavieiras; 32km W de canavieiras. Restinga.",NA,NA,NA,"Árvore de 8m x 15cm de diâmetro; flores marrons. Ovário verde.","IAN119996",NA,"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 21:33:08-03","UFBA","ALCB","028749","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Manilkara","decrescens","Manilkara decrescens","T.D. Penn.","Santos, EB dos; Almeida Júnior, EB","Guedes, ML; Alunos de Botânica III","3889","1996","09","01","Southern America","Brasil","Bahia","Camaçari","Praia do Flamengo","-38.383333","-12.933333",NA,"ca. 4 m alt. Folhas coriáceas, discolores. Flores axilares, pétalas creme.; substrato arenoso.",NA,NA,"2008","10","-38.383333","-12.933333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-08 21:33:08-03","UFBA","ALCB","19612","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Manilkara","decrescens","Manilkara decrescens","T.D. Penn.","Santos, EB dos; Almeida Júnior, EB","Costa, AL","s/n","1975","01","02","Southern America","Brasil","Bahia","Salvador","Dunas de Itapõa.","-38.5","-12.966667",NA,NA,NA,NA,"2008","06","-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 21:33:08-03","UFBA","ALCB","029840","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Manilkara","decrescens","Manilkara decrescens","T.D. Penn.","Santos, EB dos; Almeida Júnior, EB","Guedes, ML; Alunos de Botânica III","4956","1997","06","01","Southern America","Brasil","Bahia","Camaçari","Dunas de Jauá.","-38.316667","-12.683333",NA,"Folhas discolores. Frequência: Ocasional.; Dunas.",NA,NA,"2008","06","-38.316667","-12.683333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 21:33:08-03","UFBA","ALCB","043494","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Manilkara","decrescens","Manilkara decrescens","T.D. Penn.","Santos, EB dos; Almeida Júnior, EB","Guedes, ML; Almeida, AMR","6552","1999","10","23","Southern America","Brasil","Bahia","Camaçari","Guarajuba","-38.383333","-12.933333",NA,"ca. 5,0 m alt., látex alvo. Folhas coriáceas, discolores. Inflorescência axilar, flores amarelas, sépalas persistentes.",NA,NA,"2008","08","-38.383333","-12.933333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-08 21:33:08-03","UFBA","ALCB","034956","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Manilkara","decrescens","Manilkara decrescens","T.D. Penn.","Santos, EB dos; Almeida Júnior, EB","Ferrucci, MS; Carvalho, AM de; Harley, RM","PCD1109","1996","08","18","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Dunas do Abaeté","-38.5","-12.966667",NA,"ca. 1,50 m alt., látex branco. Folhas discolores, verde-escuro, en la haz, verdeclaro en el envés.",NA,NA,"2008","08","-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 21:33:08-03","UFBA","ALCB","04662","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Manilkara","decrescens","Manilkara decrescens","T.D. Penn.","Santos, EB dos; Almeida Júnior, EB","Costa, AL","486","1959","07","19","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Armação","-38.5","-12.966667",NA,NA,NA,NA,"2008","08","-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
