"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","eventTime"
"1","2021-04-05 14:34:14-03","UNESC","CRI","9164","PreservedSpecimen","Plantae","Verbenaceae","Duranta","vestita","Duranta vestita","Cham.","Daniel B. Falkenberg","Daniel B. Falkenberg","5755","1992","04","11","Brasil","Santa Catarina","Três Barras","Floresta Nacional (FLONA) de Três Barras.","-50.3225","-26.106944","50º19'21''W","26º6'25''S","750","750","Habito: arvoreta","CRI007923","CRI007923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","137506","PreservedSpecimen","Plantae","Verbenaceae","Duranta","parvifolia","Duranta parvifolia","Moldenke","H. N. Moldenke","H. L. de M. Barreto","11057","1940","11","06","Brazil","Minas Gerais","Poços de Caldas","Poços de Caldas; Campo do Faco","-46.5614","-21.7881",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00137506","NY00137506_01","Magnoliophyta","Lamiales","holotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","564117","PreservedSpecimen","Plantae","Verbenaceae","Duranta","vestita","Duranta vestita","Cham.","H. N. Moldenke","L. B. Smith","10695","1957","02","03","Brazil","Santa Catarina","Canoinhas","E. of C 17 km. 13-19 km east of Canoinhas on the road to Mafra","-50.3897","-26.1772",NA,NA,"750","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564117","NY00564117_01","Magnoliophyta","Lamiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","564107","PreservedSpecimen","Plantae","Verbenaceae","Duranta","vestita","Duranta vestita","Cham.","L. Acra","A. Bidá","598","1984","11","15","Brazil","Paraná","Colombo","Santa Mônica Clube de Campo","-49.2242","-25.2919",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564107","NY00564107_01","Magnoliophyta","Lamiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","564113","PreservedSpecimen","Plantae","Verbenaceae","Duranta","vestita","Duranta vestita","Cham.","H. N. Moldenke","G. Tessmann","2773","1947","12","05","Brazil","Paraná","Piraquara","Florestal, 29 km para leste de Curitiba Estrada Curitiba-Paranagua","-49.0631","-25.4419",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564113","NY00564113_01","Magnoliophyta","Lamiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","564114","PreservedSpecimen","Plantae","Verbenaceae","Duranta","vestita","Duranta vestita","Cham.","C. Stellfeld","C. Stellfeld","1200","1946","11","22","Brazil","Paraná","Curitiba","Curitiba","-49.2731","-25.4281",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564114","NY00564114_01","Magnoliophyta","Lamiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","564110","PreservedSpecimen","Plantae","Verbenaceae","Duranta","vestita","Duranta vestita","Cham.","G. G. Hatschbach","P. I. Oliveira","351","1982","02","03","Brazil","Paraná","Lapa","Lapa, arredores","-49.7156","-25.7697",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564110","NY00564110_01","Magnoliophyta","Lamiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","564118","PreservedSpecimen","Plantae","Verbenaceae","Duranta","vestita","Duranta vestita","Cham.","H. N. Moldenke","P. K. H. Dusén","15810","1914","11","03","Brazil","Paraná","Curitiba","Curityba opp.","-49.2731","-25.4281",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564118","NY00564118_01","Magnoliophyta","Lamiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","564119","PreservedSpecimen","Plantae","Verbenaceae","Duranta","vestita","Duranta vestita","Cham.","N. S. Troncoso","G. G. Hatschbach","22976","1969","11","21","Brazil","Paraná","Curitiba","Rio Atuba","-49.205854","-25.379421",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00564119","NY00564119_01","Magnoliophyta","Lamiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","573598","PreservedSpecimen","Plantae","Verbenaceae","Duranta","vestita","Duranta vestita glabrescens","Moldenke","H. N. Moldenke","B. Rambo","52164","1952","02","07","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Morrinhos","-50.5833","-29.4483",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=573632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573598",NA,"Magnoliophyta","Lamiales",NA,"South America","sheet","glabrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
