"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","day","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","628755","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.","E. J. Judziewicz","P. von Luetzelburg","6524","1916","01","South America","Brazil","Rio de Janeiro","Serra dos Orgaos, Morro Assu. Grota da Liberia","-43.065577","-22.483289","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=170515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628755","NY00628755_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:17:37-03","NBC","NL-BOTANY","L.1266161","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"Glaziou AFM",NA,NA,NA,"Southern America","Brazil",NA,"Euvirous de Rio-de janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1266161 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1266161","NL-L1266161","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:17:37-03","NBC","NL-BOTANY","U.1512024","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"Martinelli G; Simonis JE",NA,"1983","01","Southern America","Brazil",NA,"Proced Brasil, Estado do Rio de Janeiro, Municipio de Petrópolos, Morro do Cuca, entre Vale das Videiras e Araras, campo de altitude.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1512024 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1512024","NL-U1512024","Magnoliopsidae","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:33:00-03","MN","R","225715","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.","Clarke, L.","Alves, R.J.V.","4600","1994","07",NA,"Brasil","Rio de Janeiro","Morro do Cuca",NA,NA,"1650","1650",NA,NA,"R010003287","R010003287",NA,"29","1994","07","29","Araras",NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:33:00-03","MN","R","228283","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"Alves, R.J.V.","4390","1994","03",NA,"Brasil","Rio de Janeiro","Morro do Cuca.",NA,NA,NA,NA,NA,NA,"R010010611",NA,NA,"02",NA,NA,NA,"Araras",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:40:25-03","MBM","MBM","410055","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"Lima, H.C.; Silva Neto, S.J.; Silva, W. da; Silva Neto, S.J.; Silva, W. da","6000","2002","01","Southern America","Brazil","Rio de Janeiro","Reserva Biológica do Tinguá. Pico do Tinguá, Trilha do Rala, Sapé.","-43.484167","-22.589444","1600","1600",NA,"Arbusto cespitoso com ramos variando entre 1,5 - 3 m de altura. Rizomas alvo-rosados.; Campos de altitude.","MBM410055","MBM410055",NA,"30",NA,NA,NA,"Nova Iguaçu","-43.484167","-22.589444",NA,NA,NA,NA,NA
"7","2015-09-23 02:24:00-03","MNHN","RECOLNAT_MNHN_P","P00625422","PreservedSpecimen",NA,NA,NA,"Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.","Clarke","Glaziou, A.",NA,"1877","6",NA,"Brésil",NA,"Sommet du Tingua, Rio de janeiro",NA,NA,"1800",NA,"hb","Reçu en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00625422' target='other'> <mi>dwc_moreinfo</mi></a>","P00625422","P00625422_01",NA,"1",NA,NA,NA,NA,NA,NA,"isotype","8999",NA,NA,NA
"8","2021-01-27 15:43:31-03","MNHN","RECOLNAT_MNHN_P","P00625423","PreservedSpecimen",NA,NA,NA,"Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.","Clarke","Glaziou, A.",NA,"1877","6",NA,"Brésil",NA,"Sommet du Tingua, Rio de janeiro",NA,NA,"1800",NA,"hb","Reçu en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00625423' target='other'> <mi>dwc_moreinfo</mi></a>","P00625423","P00625423_01",NA,"1",NA,NA,NA,NA,NA,NA,"isotype","8999",NA,NA,NA
"9","2017-12-11 15:24:28-02","MNHN","RECOLNAT_MNHN_P","P00625424","PreservedSpecimen",NA,NA,NA,"Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.","Clarke","Glaziou, A.",NA,"1877","6",NA,"Brésil",NA,"Sommet du Tingua, Rio de janeiro",NA,NA,"1800",NA,"hb","Reçu en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00625424' target='other'> <mi>dwc_moreinfo</mi></a>","P00625424","P00625424_01",NA,"1",NA,NA,NA,NA,NA,NA,"type","8999",NA,NA,NA
"10","2009-07-27 09:38:00-03","MO","MOBOT","232236","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"Auguste F.M. Glaziou","Glaziou 14383","1861",NA,"South America","Brazil","Rio de Janeiro","Near Petropolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
