"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","285210","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","erythrocarpa","Gustavia erythrocarpa","S.A.Mori","isotype","G. T. Prance","P25419","1977","11","15","South America","Brazil","Pará","BR 163; Km 1131, vicinity of Igarapé Natal","-55.4792619","-6.7316953","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=629238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00285210","NY00285210_01 NY00285210_02",NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","810035","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","erythrocarpa","Gustavia erythrocarpa","S.A.Mori","paratype","G. T. Prance","p25517","1977","11","16","South America","Brazil","Pará","BR 163, Cuiabá-Santarém Highway, km 1135; vicinity of Igarapé Natal.","-55.485608","-6.6963784","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813087' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810035","NY00810035_01","S. A. Mori",NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","858","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","erythrocarpa","Gustavia erythrocarpa","S.A.Mori","holotype","G. T. Prance","P25419","1977","11","15","South America","Brazil","Pará","BR 163; Km 1131, vicinity of Igarapé Natal","-55.4792619","-6.7316953","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=629240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000858","NY00000858_01",NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","810036","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","erythrocarpa","Gustavia erythrocarpa","S.A.Mori","paratype","G. T. Prance","p25517","1977","11","16","South America","Brazil","Pará","BR 163, Cuiabá-Santarém Highway, km 1135; vicinity of Igarapé Natal.","-55.485608","-6.6963784","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810036","NY00810036_01","S. A. Mori",NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","285211","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","erythrocarpa","Gustavia erythrocarpa","S.A.Mori","isotype","G. T. Prance","P25419","1977","11","15","South America","Brazil","Pará","BR 163; Km 1131, vicinity of Igarapé Natal","-55.4792619","-6.7316953","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=629239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00285211","NY00285211_01 NY00285211_02",NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","810034","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","erythrocarpa","Gustavia erythrocarpa","S.A.Mori","paratype","G. T. Prance","p25517","1977","11","16","South America","Brazil","Pará","BR 163, Cuiabá-Santarém Highway, km 1135; vicinity of Igarapé Natal.","-55.485608","-6.6963784","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810034","NY00810034_01","S. A. Mori",NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","860","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","erythrocarpa","Gustavia erythrocarpa","S.A.Mori","isotype","G. T. Prance","P25419","1977","11","15","South America","Brazil","Pará","BR 163; Km 1131, vicinity of Igarapé Natal","-55.4792619","-6.7316953","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=629242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000860","NY00000860_01",NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","810037","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","erythrocarpa","Gustavia erythrocarpa","S.A.Mori","paratype","G. T. Prance","p25517","1977","11","16","South America","Brazil","Pará","BR 163, Cuiabá-Santarém Highway, km 1135; vicinity of Igarapé Natal.","-55.485608","-6.6963784","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810037","NY00810037_01","S. A. Mori",NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","810038","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","erythrocarpa","Gustavia erythrocarpa","S.A.Mori","paratype","G. T. Prance","p25517","1977","11","16","South America","Brazil","Pará","BR 163, Cuiabá-Santarém Highway, km 1135; vicinity of Igarapé Natal.","-55.485608","-6.6963784","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810038","NY00810038_01","S. A. Mori",NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","859","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Gustavia","erythrocarpa","Gustavia erythrocarpa","S.A.Mori","isotype","G. T. Prance","P25419","1977","11","15","South America","Brazil","Pará","BR 163; Km 1131, vicinity of Igarapé Natal","-55.4792619","-6.7316953","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=629241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000859","NY00000859_01",NA,NA,NA
