"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","individualCount","continentOcean","preparationType","previousCatalogNumber","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","infraspecificEpithet","relationshipType","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:25:05-03","UNESC","CRI","7546","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides","(L.) L.","Telma Elyta V. Azeredo","2007","08","01","Telma Elyta V. Azeredo","2007","07","28","Brasil","Santa Catarina","Nova Veneza","Fazenda Vaje do Paraíso - Rio Cedro Alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","CRI001941","CRI001941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:05-03","UNESC","CRI","7547","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides","(L.) L.","Telma Elyta V. Azeredo","2008","01","28","Telma Elyta V. Azeredo","2008","01","28","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","CRI001944","CRI001944","45","Habitat: mata de subida de morro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:05-03","UNESC","CRI","12612","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides","(L.) L.","Peterson T. Padilha","2017","09","18","Alexandre Medeiros","2017","06","23","Brasil","Santa Catarina","Balneário Camboriú","Praia da Barra.","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010826",NA,NA,"Coleta 463. Flor verde. Habito: Epífita","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","1769","S","Plantae","Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides","(L.) L.","Leandro L. Giacomin","2005","09",NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2005","07","07","Brasil","Minas Gerais","Marliéria","Lagoa Preta","-42.7322006225586","-19.7122001647949",NA,NA,NA,NA,NA,"254","28215","auto","Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:36:45-03","E","E","298902","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides",NA,NA,NA,NA,NA,"Gillies, John",NA,NA,NA,"AR","Provincia de Mendoza",NA,"Mendoza",NA,NA,NA,NA,"E00298902",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00298902 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:325128",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:45-03","E","E","298903","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,NA,"UY",NA,NA,"Old trees on the Uruguay",NA,NA,NA,NA,"E00298903",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00298903 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:325129",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:36:45-03","E","E","420642","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides",NA,NA,NA,NA,NA,"Elliott, Clarence",NA,NA,NA,"CL","Región IX [Araucanía]",NA,"Temuco",NA,NA,NA,NA,"E00420642",NA,"193","Botanical specimen only<a href=http://data.rbge.org.uk/herb/E00420642 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:470992","244","244",NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:36:45-03","E","E","298904","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides",NA,NA,NA,NA,NA,"Gillies, John",NA,NA,NA,"CL",NA,NA,"On trees in Chile",NA,NA,NA,NA,"E00298904",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00298904 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:325130",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:36:45-03","E","E","298906","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides",NA,NA,NA,NA,NA,"Cuming, Hugh",NA,NA,NA,"CL",NA,NA,"South America",NA,NA,NA,NA,"E00298906",NA,"696","<a href=http://data.rbge.org.uk/herb/E00298906 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:325135",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:36:45-03","E","E","298900","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides",NA,NA,NA,NA,NA,"Hieronymus, G.",NA,NA,NA,"AR","Provincia de Córdoba",NA,"Sierra Achala; Las Encenoides",NA,NA,NA,NA,"E00298900",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00298900 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:325124",NA,NA,NA,NA,NA,NA,NA,NA,NA
