"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber"
"1","2020-09-23 10:39:25-03","E","E","1601","PreservedSpecimen","Plantae","Gentianaceae","Zygostigma","australe","Zygostigma australe","isotype","Sellow, Friedrich","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:13472","<a href=http://data.rbge.org.uk/herb/E00001601 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00001601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","644323","PreservedSpecimen","Plantae","Gentianaceae","Zygostigma","australe","Zygostigma australe",NA,"B. Rambo","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224847' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644323","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Griseb.","J. E. Simonis","34994","1947","01","04","Rio Grande do Sul","Bom Jesus","Fazenda Bernardo Velho, Bom Jesus","-50.388347","-28.558459","NY00644323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 05:52:00-03","NY","NYBG","1281275","PreservedSpecimen","Plantae","Gentianaceae","Zygostigma","australe","Zygostigma australe",NA,"J. R. Grant","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685077' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281275","Magnoliophyta","Gentianales",NA,NA,"09-4596","2009","11","13","Paraná","Palmeira","Palmeira, rodovia federal BR 277, km 167, perto do Rio Capivara.","-49.98022","-25.43497","NY01281275_01","856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 16:42:00-03","NY","NYBG","644320","PreservedSpecimen","Plantae","Gentianaceae","Zygostigma","australe","Zygostigma australe",NA,"R. Reitz","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224848' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644320","Magnoliophyta","Gentianales",NA,"L. B. Smith","8150","1959","01","13","Santa Catarina","Sao Joaquim","Curral Falso, Bom Jardim, Sao Joaquim","-49.9317","-28.2942","NY00644320_01","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 16:42:00-03","NY","NYBG","644318","PreservedSpecimen","Plantae","Gentianaceae","Zygostigma","australe","Zygostigma australe",NA,"L. B. Smith","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644318","Magnoliophyta","Gentianales",NA,"L. B. Smith","8103","1956","12","02","Santa Catarina","Lajes","Between Palmeiras and Lajes","-50.3258","-27.8161","NY00644318_01","800","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-28 16:42:00-03","NY","NYBG","644324","PreservedSpecimen","Plantae","Gentianaceae","Zygostigma","australe","Zygostigma australe",NA,"J. P. Gallinal H.","South America","Uruguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224852' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644324","Magnoliophyta","Gentianales",NA,NA,"PE2967","1937","12",NA,"Florida",NA,"Timote, Sta. Clara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-28 16:42:00-03","NY","NYBG","644319","PreservedSpecimen","Plantae","Gentianaceae","Zygostigma","australe","Zygostigma australe",NA,"L. B. Smith","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224850' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644319","Magnoliophyta","Gentianales",NA,"L. B. Smith","9150","1956","12","24","Santa Catarina","Joaçaba","Campos of Palmas, 52 km west of Caçador","-51.5044","-27.1783","NY00644319_01","1000","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","644322","PreservedSpecimen","Plantae","Gentianaceae","Zygostigma","australe","Zygostigma australe",NA,"A. C. Cervi","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644322","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Griseb.","O. A. Guimarães","6368","1997","10","29","Paraná","Jaguariaíva","Rio das Mortes","-49.65","-24.2","NY00644322_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 16:42:00-03","NY","NYBG","644321","PreservedSpecimen","Plantae","Gentianaceae","Zygostigma","australe","Zygostigma australe",NA,"L. B. Smith","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224851' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644321","Magnoliophyta","Gentianales",NA,"L. B. Smith","14200","1965","01","03","Santa Catarina","Sao Joaquim","Santa Barbara","-49.5","-28.12","NY00644321_01","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:21:35-03","NBC","NL-BOTANY","L.2693811","PreservedSpecimen","Plantae","Gentianaceae","Zygostigma","australe","Zygostigma australe",NA,"Herzog T","Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2693811 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2693811",NA,"Gentianales","(Cham. & Schltdl.) Griseb.",NA,NA,"1911","03","01",NA,NA,"Plantae in itinere secundo per Boliviam lectae, auf Bergtissen um Samaipata.",NA,NA,"NL-L2693811",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
