"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","monthIdentified","dayIdentified","recordNumber","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-04-05 14:33:47-03","UNESC","CRI","8461","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","glabra","Myrcia glabra","(O.Berg) D.Legrand","Vanilde C. Zanette","2009","Régis Cardoso da Silva","2009","01","01","Brasil","Rio Grande do Sul","Torres","Parque Estadual de Itapeva.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","36","36","CRI005350","CRI005350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","9024","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","glabra","Myrcia glabra","(O.Berg) D.Legrand","Marcos Sobral","2009","M. Verdi; R.P. Hasckel & G. Klemz","2009","04","06","Brasil","Santa Catarina","Anitápolis","Rio do Meio.","-49.128056","-27.906944","49º7'41''W","27º54'25''S","457","457","CRI005346","CRI005346","07","17","2393","Campos naturais e turfosos Habitat: margem do rio Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:39-03","UNESC","CRI","9041","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","glabra","Myrcia glabra","(O.Berg) D.Legrand","A. A. de Oliveira","2010","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","2010","04","14","Brasil","Santa Catarina","Grão Pará","Barra do Rio do Meio.","-49.322222","-28.17","49º19'20''W","28º10'12''S","332","332","CRI005349","CRI005349","09","17","4444","Floresta Ombrófila Densa Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:39-03","UNESC","CRI","14486","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","glabra","Myrcia glabra","(O.Berg) D.Legrand","Sobral, M","2010","Stival-Santos, A.; Legal, E. & Silveira, S.","2010","03","30","Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta. Reserva Biológica Canela Preta.","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","CRI013606","CRI013606","08","15","2175","Florística IFFSC 467 (Arvoreta) Habitat: Floresta Ombrófila Densa; Estágio Avançado; entorno do fragmento, pastagem Habito: arvoreta; Fruto verde;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:47-03","UNESC","CRI","10069","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","glabra","Myrcia glabra","(O.Berg) D.Legrand","A. Stival-Santos",NA,"A. Stival-Santos; L. Mancino","2012","02","28","Brasil","Santa Catarina","Içara","Fazenda Esperança, às margens da rodovia BR - 101, km 376.","-49.225","-28.740833","49º13'30''W","28º44'27''S","17","17","CRI005351","CRI005351",NA,NA,"3373","Floresta Ombrófila Densa Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","6471","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","glabra","Myrcia glabra","(O.Berg) D.Legrand","J. A. Jarenkow",NA,"J. A. Jarenkow","1999","03","15","Brasil","Rio Grande do Sul","São Lourenço do Sul",NA,"-51.981667","-31.361944","51º58'54''W","31º21'43''S",NA,NA,"CRI005352","CRI005352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:47-03","UNESC","CRI","8030","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","glabra","Myrcia glabra","(O.Berg) D.Legrand","Rafael Martins","2008","Beatriz Wessler; Bruna Alberton","2008","06","25","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","CRI005353","CRI005353","06","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:39-03","UNESC","CRI","1138","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","glabra","Myrcia glabra","(O.Berg) D.Legrand","Marcos Sobral",NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1992","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI005345","CRI005345",NA,NA,"1388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:39-03","UNESC","CRI","1140","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","glabra","Myrcia glabra","(O.Berg) D.Legrand","Vanilde Citadini- Zanette",NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1992","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI005347","CRI005347",NA,NA,"1390","Habitat: beira de mata atlântica secundária de encosta Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:39-03","UNESC","CRI","14487","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","glabra","Myrcia glabra","(O.Berg) D.Legrand","Sobral, M","2010","Stival-Santos, A.; Meyer, D. & Silveira, S.","2010","07","06","Brasil","Santa Catarina","Biguaçu",NA,"-48.759722","-27.367778","48º45'35''W","27º22'4''S","252","252","CRI013605",NA,"10","29","3178","Coleta Extra IFFSC (Arvoreta) Habitat: Floresta Ombrófila Densa; beira da estrada Habito: arvoreta; Fruto roxo;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
