"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","individualCount","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02714698","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","M. C. H. Mamede","A. M. V. de Carvalho","6843","1999","11","06","South America","Brazil","Bahia","Una","Reserva Biológica (IBAMA). Entrada ca. 46 km da BR-001 IlhéusUna.","-39.1326088","-15.1730243","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763725' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714698","NY02714698_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","472458","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","W. R. Anderson","A. M. Amorim","1262","1993","04","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-Leao (Ibama). Estrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas efetuadas na estrada que leva a sede da reserva","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=634017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472458","NY00472458_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01806238","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","W. R. Anderson","W. W. Thomas","9082","1992","05","03","South America","Brazil","Bahia","Aurelino Leal","11.2 km W of BR 101 & Aurelino Leal on rd to Lage do Banco. Rocky, somewhat disturbed slope forest","-39.38","-14.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763790' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806238","NY01806238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","472459","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Anderson","A. M. Amorim","A. M. Amorim","1568","1993","11","28","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-Leao (Ibama). Estrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=634018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472459","NY00472459_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:18:48-03","UFBA","ALCB","116695","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","R.W.Anderson","Alves, M; Almeida, RF; Alves, R","Guedes, ML; Kelmo, F; Alunos de Ecologia","21997a","2014","04","15","Southern America","Brasil","Bahia","Maraú","Litoral Sul, Ponto 20.","-38.947222","-13.965",NA,"Folhas coriáceas, discolores, com longo pecíolo. Inflorescência terminal, frutos drupa.","ALCB039381",NA,"2014","11","-38.947222","-13.965",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:18:48-03","UFBA","ALCB","121283","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","R.W.Anderson","Gomes, FS","Gomes, FS","1502","2013","03","27","Southern America","Brasil","Bahia","Una",NA,"-39.195833","-15.349444",NA,"Folhas cartáceas, discolores, face abaxial com tomentos ferrugíneos. 33.2, parcela 04.","ALCB049636","ALCB049636","2013","11","-39.195833","-15.349444",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:12:34-03","ESALQ","ESA","94716","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Andersson","Almeida, R.F.","Kollmann, L. et al.","3476.0","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.8908004760742","-18.7549991607666",NA,NA,"ESA094716","ESA094716","2013",NA,NA,NA,"36480","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:12:34-03","ESALQ","ESA","94728","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","Anderson, W.R.","Elias, S.I.","Kollmann, L. et al.","708.0","1998","10","07",NA,"Brasil","Espírito Santo","Santa Tereza",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"ESA094728","ESA094728",NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:12:34-03","ESALQ","ESA","94722","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Andersson","Almeida, R.F.","Kollmann, L. et al.","1256.0","1998","12","08",NA,"Brasil","Espírito Santo","Santa Tereza",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"ESA094722","ESA094722","2013",NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:12:34-03","ESALQ","ESA","94706","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Andersson","Almeida, R.F.","Thomaz, L.D.","982.0","1993","07","27",NA,"Brasil","Espírito Santo","Santa Tereza",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"ESA094706",NA,"2013",NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
