"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:34:03-03","UNESC","CRI","7920","PreservedSpecimen","Plantae","Proteaceae","Roupala","montana","Roupala montana","Aubl.","Vanilde Citadini- Zanette","2007","10","13","Jaqueline Bonazza Rodrigues","2007","11","12","Brasil","Santa Catarina","Siderópolis","Sítio Sete Lombas.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI008948","CRI008948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:57-03","UNESC","CRI","3358","PreservedSpecimen","Plantae","Proteaceae","Roupala","montana","Roupala montana","Aubl.",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar","1994","03","16","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI008943","CRI008943","1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:03-03","UNESC","CRI","8164","PreservedSpecimen","Plantae","Proteaceae","Roupala","montana","Roupala montana","Aubl.","M. Verdi","2009","03","09","G. Klemz; M. Verdi & R. P. Hasckel","2009","03","09","Brasil","Santa Catarina","Anita Garibaldi","Centro.","-51.136667","-27.690833","51º8'12''W","27º41'27''S",NA,NA,"CRI008945","CRI008945","1514","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:03-03","UNESC","CRI","5117","PreservedSpecimen","Plantae","Proteaceae","Roupala","montana","Roupala montana","Aubl.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; V. P. Boff","1996","11","19","Brasil","Santa Catarina","Lauro Muller","Rio Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"CRI008941","CRI008941",NA,"Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:57-03","UNESC","CRI","812","PreservedSpecimen","Plantae","Proteaceae","Roupala","montana","Roupala montana","Aubl.","Marcos Sobral",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdemar Piazza Boff","1991","09","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI008946","CRI008946","1175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:48-03","E","E","176421","PreservedSpecimen","Plantae","Proteaceae","Roupala","montana","Roupala montana",NA,NA,NA,NA,NA,"Davis, P.H. & Shepherd, G.J.","1976","07","08","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00176421",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00176421 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:185117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:42:48-03","E","E","196363","PreservedSpecimen","Plantae","Proteaceae","Roupala","montana","Roupala montana",NA,NA,NA,NA,NA,"Carvalho, A.M.","2001","08","17","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00196363",NA,"6961","<a href=http://data.rbge.org.uk/herb/E00196363 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:207167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:42:48-03","E","E","176412","PreservedSpecimen","Plantae","Proteaceae","Roupala","montana","Roupala montana",NA,NA,NA,NA,NA,"Davis, P., Gibbs, P., Kinoshita, L.S., Semir, J. & Andrade, J.B.","1976","07","27","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00176412",NA,"2342","<a href=http://data.rbge.org.uk/herb/E00176412 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:185072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:42:48-03","E","E","176409","PreservedSpecimen","Plantae","Proteaceae","Roupala","montana","Roupala montana",NA,NA,NA,NA,NA,"Ratter, J.A.; Gouvêa, L.K.; Semir, J.; Shepherd, G.; Ribeiro, F. & Sousa Silva, J.C.","1978","11","13","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00176409",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00176409 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:185064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:42:48-03","E","E","176413","PreservedSpecimen","Plantae","Proteaceae","Roupala","montana","Roupala montana",NA,NA,NA,NA,NA,"Belshaw, Charles M.","1937","09","01","PE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00176413",NA,"3351","<a href=http://data.rbge.org.uk/herb/E00176413 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:185073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
