"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2020-09-23 10:43:50-03","E","E","196781","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","variabilis","Symplocos variabilis","Bohrer, C.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:228523","<a href=http://data.rbge.org.uk/herb/E00196781 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:50-03","E","E","196793","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","variabilis","Symplocos variabilis","Bohrer, C.","E. Tropical South America","BR","fruit collection/cone collecti","BGBASE:228532","<a href=http://data.rbge.org.uk/herb/E00196793 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1016812","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","variabilis","Symplocos variabilis","J. Cordeiro","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193455' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016812","Magnoliophyta","Ericales","Mart. ex Miq.","J. Cordeiro","1625","1999","11","17","Paraná","Sao José dos Pinhais","Guaricana.","-49.2064","-25.5347","NY01016812_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","486947","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","variabilis","Symplocos variabilis","H. C. de Lima","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486947","Magnoliophyta","Ericales","Mart. ex Miq.",NA,"3751","1990","05","29","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Sítio Fazenda Velha","-42.5311","-22.2819","NY00486947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1183859","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","variabilis","Symplocos variabilis","S. de V. A. Pessôa","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457534' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183859","Magnoliophyta","Ericales","Mart. ex Miq.",NA,"1049","2001","08","22","Rio de Janeiro","Silva Jardim","Reserva Biológica Poço das Antas, trilhas entre a sede do Proj. Mico-leao e a pedreira na Barragem de Juturnaiba.","-42.28333","-22.525","NY01183859_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","486940","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","variabilis","Symplocos variabilis","G. Schmeda","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486940","Magnoliophyta","Ericales","Mart. ex Miq.","S. F. Smith","920","1987","05","13","Guairá",NA,"Vega Cué",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","968671","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","variabilis","Symplocos variabilis","A. F. M. Glaziou","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968671","Magnoliophyta","Ericales","Mart. ex Miq.",NA,"21712","1894","08","16","Goiás",NA,"Guariroba.",NA,NA,"NY00968671_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","486941","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","variabilis","Symplocos variabilis","J. A. Ratter","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486941","Magnoliophyta","Ericales","Mart. ex Miq.",NA,"3139","1976","06","09","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV Tower","-47.9294","-15.7797","NY00486941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","486943","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","variabilis","Symplocos variabilis","Liene","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486943","Magnoliophyta","Ericales","Mart. ex Miq.","A. P. Duarte","3882","1958","06","17","Rio de Janeiro","Rio de Janeiro","Mata da Tijuca, Açude da Solidao","-43.289299","-22.962139","NY00486943_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","486944","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","variabilis","Symplocos variabilis","R. R. Guedes","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486944","Magnoliophyta","Ericales","Mart. ex Miq.",NA,"2207","1990","05","07","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Sítio Fazenda Velha","-42.5311","-22.2819","NY00486944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
