"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","year","month","day","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","sex"
"1","2020-09-23 10:42:41-03","E","E","420974","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Cuming, Hugh","587","Temperate South America","CL","Región V [Valparaíso]","Provincia de Valparaíso","Valparaíso","herbarium specimen of unspecif","BGBASE:518964","<a href=http://data.rbge.org.uk/herb/E00420974 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00420974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:41-03","E","E","420974","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","Cuming, Hugh","587","Temperate South America","CL","Región V [Valparaíso]","Provincia de Valparaíso","Valparaíso","herbarium specimen of unspecif","BGBASE:518966","<a href=http://data.rbge.org.uk/herb/E00420974 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00420974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","634205","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus pusillus","F. E. Drouet","2583","South America","Brazil","Ceará","Maranguape","Açude Cluminjuba","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634205","Magnoliophyta","Alismatales","pusillus","L.","R. R. Haynes","1935","10","09","-38.6856","-3.8908","NY00634205_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","519476","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus pusillus","L. A. Mattos Silva","3064","South America","Brazil","Bahia","Camacan","Fazenda Jerusalém. Entrada à Diereita no km 15 da estrada Camacan/Faz. Ventania (BR 101). Sede da Faz. no final do ramal à esquerda","fluid-preserved",NA,"[Snail shells found with specimen] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00519476","Magnoliophyta","Alismatales","pusillus","L.","R. R. Haynes","1994","08","25","-39.49","-15.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","634206","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus pusillus","A. C. Scala",NA,"South America","Argentina","Buenos Aires",NA,"Arroyo y serranias de Bravard, cerca camino a Pigue","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634206","Magnoliophyta","Alismatales","pusillus","L.","R. R. Haynes","1928","11","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","634204","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus pusillus","B. J. Pickel","2155","South America","Brazil","Pernambuco",NA,"Tapera, River Tapera","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634204","Magnoliophyta","Alismatales","pusillus","L.","R. R. Haynes","1933","11","05","-35.211969","-8.08398","NY00634204_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","519456","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus pusillus","L. A. Mattos Silva","3064","South America","Brazil","Bahia","Camacan","Fazenda Jerusalém. Entrada à Diereita no km 15 da estrada Camacan/Faz. Ventania (BR 101). Sede da Faz. no final do ramal à esquerda","sheet",NA,"[Snail shells found with specimen] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00519456","Magnoliophyta","Alismatales","pusillus","L.","R. R. Haynes","1994","08","25","-39.49","-15.41","NY00519456_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","634203","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus pusillus","G. Eiten","5990","South America","Brazil","São Paulo","Iepê","Fazenda C.A.P.I. 2 km due N of Rio Paranapanema & 7 km E of Porto Alvorada. Near Lagoa da Cima (also called Lagoa Seca); in atificial canal about 3 m wide","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634203","Magnoliophyta","Alismatales","pusillus","L.","R. R. Haynes","1965","02","09","-51.12","-22.7333","NY00634203_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","634207","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus pusillus","W. H. Camp","E2050","South America","Ecuador","Azuay","Cuenca","Along the rio Tarqui, 4-18 km South of Cuenca","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634207","Magnoliophyta","Alismatales","pusillus","L.","R. R. Haynes","1945","03","07",NA,NA,NA,"2529.8","2743.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:32:08-03","UFRJ","RFA","20701","PreservedSpecimen","Plantae","Potamogetonaceae","Potamogeton","pusillus","Potamogeton pusillus","S. A. Cain",NA,NA,"E.U.A.","Michigan","Michigan","Sodom Lake, Oakland Co.",NA,NA,NA,"RFA31968",NA,NA,NA,"L.",NA,"1948","07","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
