"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","imagecode","identifiedBy","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:49-03","E","E","202553","PreservedSpecimen","Plantae","Leguminosae","Stryphnodendron","discolor","Stryphnodendron discolor","isotype","Gardner, George","1945","E. Tropical South America","BR","Piauí","Piauhy","herbarium specimen of unspecif","BGBASE:214353","<a href=http://data.rbge.org.uk/herb/E00202553 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3360","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","discolor","Stryphnodendron discolor","isotype","G. Gardner","1945","South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003360","Magnoliophyta","Fabales","Benth.","1836","NY00003360_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3362","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","discolor","Stryphnodendron discolor","possible type","J. S. Blanchet","3408","South America","Brazil","Bahia","Igreja Velha","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003362","Magnoliophyta","Fabales","Benth.",NA,"NY00003362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3361","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","discolor","Stryphnodendron discolor","possible type","J. S. Blanchet","3408","South America","Brazil","Bahia","Jacobina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003361","Magnoliophyta","Fabales","Benth.",NA,"NY00003361_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00934973","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","obovatum","Stryphnodendron obovatum",NA,"R. Goodland","722","South America","Brazil","Minas Gerais","Triángulo region.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934973","Magnoliophyta","Fabales","Benth.","1967","NY00934973_01","V. R. Scalon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00934992","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","obovatum","Stryphnodendron obovatum",NA,"E. P. Heringer","18416","South America","Brazil","Goiás","Ao lado da cidade","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968789' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934992","Magnoliophyta","Fabales","Benth.","1982","NY00934992_01","V. R. Scalon","11","04","Jaraguá","-49.3342","-15.7569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00934967","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","obovatum","Stryphnodendron obovatum",NA,"R. M. Harley","11266","South America","Brazil","Mato Grosso","Near Base Camp","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934967","Magnoliophyta","Fabales","Benth.","1968","NY00934967_01","V. R. Scalon","12","01",NA,"-51.77","-12.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00934971","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","obovatum","Stryphnodendron obovatum",NA,"C. H. Franciscon","s.n.","South America","Brazil","Minas Gerais","Estaçao Ecológica do Panga, Uberlândia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934971","Magnoliophyta","Fabales","Benth.","1986","NY00934971_01","V. R. Scalon","12","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 12:30:00-02","NY","NYBG","459592","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","obovatum","Stryphnodendron obovatum",NA,"A. Krapovickas","32991","South America","Brazil","São Paulo","Ruta SP 425, 25km S de Rio Tieté","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459592",NA,"Fabales",NA,"1978","NY00459592_01","V. R. Scalon","01","18","Penápolis","-50.0697","-21.4203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1181608","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","obovatum","Stryphnodendron obovatum",NA,"Disciplina Princípios e Métodos em Taxonomia Vegetal","236","South America","Brazil","São Paulo","Estação Ecologica de Itirapina.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386861' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181608","Magnoliophyta","Fabales","Benth.","2003",NA,NA,"09","18","Brotas","-47.9239","-22.2161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
