"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:41:32-03","E","E","270712","PreservedSpecimen","Plantae","Melastomataceae","Leandra","hatschbachii","Leandra hatschbachii","Cordeiro, J.","1286","1995","12","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:282538","<a href=http://data.rbge.org.uk/herb/E00270712 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00270712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","685363","PreservedSpecimen","Plantae","Melastomataceae","Leandra","hatschbachii","Leandra hatschbachii","R. Goldenberg","796","2005","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685363","Magnoliophyta","Myrtales","Brade","R. Goldenberg","Paraná","Campina Grande do Sul","Subida para o Pico Paraná","-49.0553","-25.3058","1550","1550","NY00685363_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","478399","PreservedSpecimen","Plantae","Melastomataceae","Leandra","hatschbachii","Leandra hatschbachii","J. Cordeiro","1286","1995","12","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478399","Magnoliophyta","Myrtales","Brade","J. J. Wurdack","Paraná","Piraquara","Serra Piramirim, estrada Itupava","-49.0631","-25.4419",NA,NA,"NY00478399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","478400","PreservedSpecimen","Plantae","Melastomataceae","Leandra","hatschbachii","Leandra hatschbachii","G. G. Hatschbach","17663","1967","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478400","Magnoliophyta","Myrtales","Brade","J. J. Wurdack","Paraná","Piraquara","Novo Tirol","-49.048057","-25.507775",NA,NA,"NY00478400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01874801","PreservedSpecimen","Plantae","Melastomataceae","Leandra","hatschbachii","Leandra hatschbachii","M. Reginato","1466","2014","01","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2705219' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874801","Magnoliophyta","Myrtales","Brade","M. Reginato","Paraná","Campina Grande do Sul","Subida para o Itapiroca. Comum ao longo da trilha.","-49.0553016662598","-25.3055992126465",NA,NA,"NY01874801_01","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:16-03","UFRJ","RFA","9765","PreservedSpecimen","Plantae","Melastomataceae","Leandra","hatschbachii","Leandra hatschbachii","G.G. Hatschbach","17663","1967","10","30",NA,"Brasil",NA,NA,"Arbusto, flor alva Habitat: Interior sombrio da mata Habito: Arbusto","RFA28481",NA,NA,"Brade","J.J. Wurdack","Paraná","Piraquara","Novo Tirol","-49.0633010864258","-25.4416999816895",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-20 14:40:35-03","UPM","MACK","1341","PreservedSpecimen","Plantae","Melastomataceae","Leandra","hatschbachii","Leandra hatschbachii","A. Korte; A. Kniess","2185","2010","03","17",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Brade","F. S. Meyer","SC","Apiúna","Faxinalzinho, floresta ombrófila densa.","-49.3897018432617","-27.0356006622314",NA,NA,NA,"24893","auto","2010","08","23","S","W",NA,NA,NA,NA
"8","2020-02-08 10:03:01-03","NBC","NL-BOTANY","L.2534399","PreservedSpecimen","Plantae","Melastomataceae","Leandra","hatschbachii","Leandra hatschbachii","Hatschbach GG",NA,"1967","10","30","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2534399 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2534399",NA,"Myrtales","Brade",NA,NA,NA,"Est. Paraná (Brasil) Mun. Piraquara, Nova Tirol.",NA,NA,NA,NA,"NL-L2534399",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"9","2020-02-08 10:03:01-03","NBC","NL-BOTANY","U.1394607","PreservedSpecimen","Plantae","Melastomataceae","Leandra","hatschbachii","Leandra hatschbachii","Cordeiro J; Silva JM",NA,"1995","12","19","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394607 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1394607",NA,"Myrtales","Brade",NA,NA,NA,"Serra Piramirim, estrada Itupava (Mun. Piraquara) Paraná.",NA,NA,NA,NA,"NL-U1394607",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"10","2020-11-04 11:13:28-03","ESALQ","ESA","43817","PreservedSpecimen","Plantae","Melastomataceae","Leandra","hatschbachii","Leandra hatschbachii","Cordeiro, J. ; Silva, J.M.","1286.0","1995","12","19",NA,"Brasil",NA,NA,NA,"ESA043817","Magnoliophyta",NA,"Brade","Wurdack, J.J.","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,"12577","auto","1997","01","01",NA,NA,NA,NA,NA,NA
