"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","locality","imagecode","identifiedBy","month","class","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"1","2020-09-23 10:41:33-03","E","E","285709","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuspidifolia","Microlicia cuspidifolia","isotype","Martius","937","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:296685","Anther(s) removed for SEM study by Keiko Satoh. Date: 17.07.1996<a href=http://data.rbge.org.uk/herb/E00285709 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","522504","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuspidifolia","Microlicia cuspidifolia",NA,"L. Riedel","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522504","Magnoliophyta","Myrtales","Mart.","1839","Brasilia","NY00522504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","522505","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuspidifolia","Microlicia cuspidifolia",NA,"L. Riedel","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522505","Magnoliophyta","Myrtales","Mart.","1839","Brasilia","NY00522505_01","C. A. Cogniaux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","229450","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuspidifolia","Microlicia cuspidifolia","isotype","Martii Herbar. Florae Brasil.","937","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229450","Magnoliophyta","Myrtales","Mart.","1841","Brasilia","NY00229450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522503","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuspidifolia","Microlicia cuspidifolia",NA,"L. Riedel","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522503","Magnoliophyta","Myrtales","Mart.","1839","Brasilia","NY00522503_01",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","229451","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuspidifolia","Microlicia cuspidifolia","isotype","Martii Herbar. Florae Brasil.","937","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229451","Magnoliophyta","Myrtales","Mart.","1841","Brasilia","NY00229451_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:44:40-03","EAO","IAN","2730","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuspidifolia","Microlicia cuspidifolia",NA,"Martins-da-Silva, RCV","s.n.","Southern America","Brasil",NA,NA,NA,"IAN002730","Dicotiledônea",NA,"Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:44:40-03","EAO","IAN","81486","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuspidifolia","Microlicia cuspidifolia",NA,"Martins-da-Silva, RCV","937","Southern America","Brasil",NA,NA,NA,"IAN081486","Dicotiledônea",NA,"Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:04:35-03","NBC","NL-BOTANY","L.2551287","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuspidifolia","Microlicia cuspidifolia",NA,"Martius CFP von",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2551287 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2551287",NA,"Myrtales","Mart.",NA,NA,"NL-L2551287",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:04:35-03","NBC","NL-BOTANY","L.2551288","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuspidifolia","Microlicia cuspidifolia",NA,"Martius CFP von",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2551288 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2551288",NA,"Myrtales","Mart.",NA,NA,"NL-L2551288",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:04:35-03","NBC","NL-BOTANY","L.2551289","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuspidifolia","Microlicia cuspidifolia",NA,"Martius CFP von",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2551289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2551289",NA,"Myrtales","Mart.","1845",NA,"NL-L2551289",NA,"01","Magnoliopsidae","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
