"record_id","modified","institutionCode","collectionCode","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","year","catalogNumber","identifiedBy","typeStatus","fieldNumber","month","preparationType","barcode","imagecode","day","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified"
"1","2019-11-05 16:43:30-03","UFOP","OUPR","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","schwackei","Asplenium schwackei","Christ","Badini, J.","s.n.","Brasil","Minas Gerais","Ouro Preto","Camarinhas","-43.5080986022949","-20.2875003814697","44599","Erva. Terreno umido","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-05 16:43:30-03","UFOP","OUPR","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","schwackei","Asplenium schwackei","Christ","Damazio, L.B.","s.n.","Brasil","Minas Gerais","Ouro Preto","Camarinhas","-43.5080986022949","-20.2875003814697","44599",NA,"auto","1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-24 18:48:30-03","MNHN","RECOLNAT_MNHN_P","PreservedSpecimen",NA,"Pteridophyta","Asplenium","schwackei","Asplenium schwackei","Christ","Schwacke, C.A.W.",NA,"Brésil",NA,NA,"Serra das Camarinhas",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00220304' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1895","P00220304","R. Viane & G. Cremers","holotype","11580","8","hb","P00220304","P00220304_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-24 18:48:36-03","MNHN","RECOLNAT_MNHN_P","PreservedSpecimen",NA,"Pteridophyta","Asplenium","schwackei","Asplenium schwackei","Christ","Schwacke, C.A.W.",NA,"Brésil",NA,NA,"Serra das Camarinhas",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00220305' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1895","P00220305","R. Viane & G. Cremers","holotype","11580","8","hb","P00220305","P00220305_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-12 15:23:42-03","UFMG","BHCB-SL","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","schwackei","Asplenium schwackei","Christ","Salino, A; Mota, NFO; Almeida, TE; Viana, PL; Santos, FMG","9913","Brasil","Minas Gerais","Felício dos Santos","APA Águas Vertentes; Região da Mata do Isidoro, Entorno Parque Estadual do Rio Preto, nas proximidades Pico Dois Irmãos. Área com diversas formações campestres, Mata de Galeria e Capões da Mata","-43.287139","-18.196694",NA,"Terrestre; em mata de vale encaixado",NA,"2004","90342","Salino, A",NA,NA,"10",NA,"BHCB000594","BHCB000594","30","América","-43.287139","-18.196694","1150","1350",NA,NA
"6","2019-11-07 11:14:55-03","UFMG","BHCB-SL","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","schwackei","Asplenium schwackei","Christ","Schwacke, CAW","14231","Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697","44599",NA,"auto","1904","1374",NA,NA,NA,NA,NA,NA,NA,NA,"América",NA,NA,NA,NA,NA,NA
"7","2019-11-07 11:14:55-03","UFMG","BHCB-SL","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","schwackei","Asplenium schwackei","Christ","Salino, A; Heringer, G; Lara, DS; Giorgini, PL; Andrade, JJ","11060","Brasil","Minas Gerais","Simonésia","RPPN Mata do Sossego","-42.0013999938965","-20.1238994598389","37999",NA,"auto","2006","99203","Salino, A",NA,NA,"05",NA,NA,NA,"20","América",NA,NA,NA,NA,"2006","05"
