"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","typeStatus","relatedCatalogItem","sex"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1371","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","cf. lindbergiana","Rhipsalis cf. lindbergiana","K.Schum.","Nygel Taylor","Rubens Custodio;","Brasil","Minas Gerais","Serro","Milho Verde","-43.3793983459473","-18.604700088501","37754","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03754539","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K.Schum.","S. Lahmeyer","D. C. Silva","Brazil","Pernambuco","Brejo da Madre de Deus","Brejo da Madre de Deus, Fazenda Bituri","-36.3708333","-8.15",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4084778' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"60","1995","05","25","South America","sheet","NY03754539","NY03754539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:29:03-03","UNESP-IBB","BOTU","28263","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K.Schum.","Aona, A.Y.S.","Sucre, D.","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10942",NA,NA,NA,NA,NA,"BOTU028263",NA,"2015","08","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:43-03","UFRJ","RFA","24016","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K.Schum.","Maria de Fatima Freitas","F. M. de B. Pereira; G. de Souza, J.A.F. Nogueira, M.R. Gomes, L.M. Gonçalves","Brasil","Rio de Janeiro","Guapimirim","Fazenda Sendas de propriedade das Organizações Sendas.","-43.0675","-22.664444",NA,NA,"Epífita, ciófila, comum no local.",NA,"47","2000","02","03",NA,NA,"RFA35381",NA,"2001","03","43º4'3''W","22º39'52''S","15",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:36:22-03","EAO","IAN","120395","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","Schum.","Zappi, DC","Belém, RP; Pinheiro, RS","Brasil","Bahia",NA,"Açaré. Plantação de cacau.",NA,NA,NA,NA,"Epífita penedente. Flores esverdeadas, estames brancos.",NA,"2328","1966","05","27","Southern America",NA,"IAN120395",NA,"2017","08",NA,NA,"23",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:36:22-03","EAO","IAN","119891","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","Schum.","Zappi, DC","Belém, RP","Brasil","Espírito Santo","Linhares","Canal Lagoa Juparanã.","-40.0722007751465","-19.3910999298096","48094",NA,"Epífita pendente. Flores arroxeadas, estames brancos.","auto","1588","1965","08","13","Southern America",NA,"IAN119891",NA,"2017","08",NA,NA,"23",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:12:21-03","UFBA","ALCB","029361","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K.Schum.",NA,"Queiroz, LP de; Mayo, S; Nadruz, M","Brasil","Bahia",NA,"Ca. de 7km do entroncamento da Br 116 com a Ba 052 na estrada do feijão.","-39.046111","-12.254444",NA,NA,"Epífita em licuri, com ramos pendentes, flores com ovário verde acastanhado, tépalas brancas, frutos imaturos verde.; Afloramento de gnaiss.",NA,"2926","1992","12","07","Southern America",NA,NA,NA,"1998","08","-39.046111","-12.254444",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:12:21-03","UFBA","ALCB","07556","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K.Schum.",NA,"Grupo Pedra do Cavalo","Brasil","Bahia",NA,"Vale dos Rios Paraguaçu e Jacuipe. Ipuaçu.","-39.083333","-12.533333",NA,NA,"Áfila com caule cilíndrico; inflorescência cauliflora com botões branco-esverdeado e flores alvas.",NA,"931","1980","11",NA,"Southern America",NA,NA,NA,"1998","08","-39.083333","-12.533333",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:12:21-03","UFBA","ALCB","110687","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K.Schum.",NA,"Melo, E; Silva, M; et al.","Brasil","Paraíba","Pilões","Brejo Paraibano. Cruzeiro do Espinho.","-35.5825","-6.865833",NA,NA,"Ramos pendentes. Frutos brancos.",NA,"11010","2012","03","07","Southern America",NA,NA,NA,NA,NA,"-35.5825","-6.865833",NA,"363","363",NA,NA,NA,NA,NA
"10","2020-11-04 11:04:12-03","ESALQ","ESA","120088","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana",NA,"Freitas, M.F.","Braga, J.M.A.","Brasil","Rio de Janeiro","Duque de Caxias","Reserva da Petrobras. Garrão. Sítio Riacho dos Beija-flores.","-43.3116989135742","-22.7856006622314","34388",NA,NA,"auto","5393.0","1999","08","01",NA,NA,"ESA120088","ESA120088","2005","07",NA,NA,"08","130","130",NA,NA,NA,NA,NA
