"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","continentOcean","imagecode","preparationType","individualCount","infraspecificEpithet","coordinatePrecision","geoFlag"
"1","2020-11-04 11:05:28-03","ESALQ","ESA","130476","PreservedSpecimen","Plantae","Magnoliophyta","Convolvulaceae","Jacquemontia","glabrescens","Jacquemontia glabrescens","(Meisn.) M.Pastore & Sim.-Bianch.","Simão-Bianchini, R.","2018","04","11","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","35679.0","2013","04","17","Brasil","Rio de Janeiro","Nova Iguaçu","Fragmento 64 (TAV). Floresta Ombrófila Densa.","-22.6881","-43.3919","-22.6881","-43.3919","55","55","Liana","ESA130476",NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:34:47-03","UFMG","BHCB","170518","PreservedSpecimen","Plantae","Dicotyledon","Convolvulaceae","Jacquemontia","glabrescens","Jacquemontia glabrescens","(Meisn.) M.Pastore & Sim.-Bianch.",NA,"2016","12",NA,"Sobral, M","15603","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","Santinha","-43.683333","-21.186667","-43.683333","-21.186667","1081","1081","Trepadeira , flores azul-claras; Beira de Mata junto a BR-265","BHCB015183","Southern America",NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:34:47-03","UFMG","BHCB","177980","PreservedSpecimen","Plantae","Dicotyledon","Convolvulaceae","Jacquemontia","glabrescens","Jacquemontia glabrescens","(Meisn.) M.Pastore & Sim.-Bianch.",NA,"2016","12",NA,"Gontijo, FD; Braga, IF","636","2015","02","05","Brasil","Minas Gerais","Caeté",NA,"-20.022778","-43.6825","-20.022778","-43.6825","1461","1461","Flores azuis. Escandente.; Floresta estacional semidecidual","BHCB030457","Southern America","BHCB030457",NA,NA,NA,NA,NA
"4","2021-01-26 13:53:32-03","IMA","MAC","4740","PreservedSpecimen","Plantae",NA,"Convolvulaceae","Jacquemontia","glabrescens","Jacquemontia glabrescens","(Meisn.) M. Pastore & Sim.-Bianch.","M.T.Buril","2017","05","19","G.L.Esteves","754","1981","04","01","Brasil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga.","-47.036389","-24.073889","-47.036389","-24.073889",NA,NA,"Trepadeira. Flores brancas.; Mata Secundária.","MAC0004740",NA,"MAC0004740",NA,NA,NA,NA,NA
"5","2020-09-02 16:23:29-03","Cenargen","CEN","88548","PreservedSpecimen","Plantae",NA,"Convolvulaceae","Jacquemontia","glabrescens","Jacquemontia glabrescens","(Meisn.) M.Pastore & Sim.-Bianch.","R. Simão-Bianchini","2017","04",NA,"Taciana Barbosa Cavalcanti","3803","2014","03","10","Brasil","MG","NOVA LIMA","Rio Acima. Entrocamento Itabirito - Rio Acima, km 22. Lat: 20°05'58'' e Long: 43°37'39,3''","-43.6275","-20.099444","-43.6275","-20.099444","1259","1259","Crescendo em área antropizada de beira de mata. Estigma lilás claro. Anteras brancas. Região mesopetala branca externamente.","CEN00088548",NA,"CEN00088548","Exsicatas","8",NA,NA,NA
"6","2020-09-02 16:23:29-03","Cenargen","CEN","88554","PreservedSpecimen","Plantae",NA,"Convolvulaceae","Jacquemontia","glabrescens","Jacquemontia glabrescens","(Meisn.) M.Pastore & Sim.-Bianch.","R. Simão-Bianchini","2017","04",NA,"Taciana Barbosa Cavalcanti","3810","2014","03","11","Brasil","MG","SANTA BARBARA",NA,"-43.481666","-20.095555","-43.481666","-20.095555","1300","1300","Região mesopétala branca externamente. Estigma e estames lilases quase brancos.","CEN00088554",NA,"CEN00088554","Exsicatas","3",NA,NA,NA
"7","2017-09-11 17:09:25-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Convolvulaceae","Jacquemontia","grandiflora","Jacquemontia grandiflora glabrescens","Meisn.",NA,NA,NA,NA,"Regnell, AF","201",NA,NA,NA,"Brazil","Minas Gerais",NA,"ad Pedra Branca, cacumen in ditione montium Caldena pr. Caldas prov. Minarum.",NA,NA,NA,NA,NA,NA,"Dryas, Oreas.; HABITAT: Dryas, Oreas.",NA,"Southern America",NA,NA,NA,"glabrescens",NA,NA
"8","2021-02-08 12:39:28-03","UFRGS","ICN","171370","S","Plantae","Dicotyledon","Convolvulaceae","Jacquemontia","grandiflora","Jacquemontia grandiflora glabrescens","Meisn.","Bianchini, RS; Pastore, M","2013","01","31","Ferreira, PPA; Durigon, J; Dettke, GA","784","2011","11","24","Brasil","PR","Cascavel",NA,"-53.262778","-25.213056","-53.262778","-25.213056",NA,NA,"trepadeira, flores azuis","ICN00031323","América do Sul",NA,NA,NA,"glabrescens",NA,NA
"9","2021-02-08 12:39:28-03","UFRGS","ICN","171372","S","Plantae","Dicotyledon","Convolvulaceae","Jacquemontia","grandiflora","Jacquemontia grandiflora glabrescens","Meisn.","Bianchini, RS; Pastore, M","2013","01","31","Ferreira, PPA; Durigon, J; Dettke, GA","786","2011","11","24","Brasil","PR","Cascavel",NA,"-53.356111","-25.074167","-53.356111","-25.074167",NA,NA,"trepadeira, flores azuis","ICN00031322","América do Sul",NA,NA,NA,"glabrescens",NA,NA
"10","2021-02-08 12:39:28-03","UFRGS","ICN","171375","S","Plantae","Dicotyledon","Convolvulaceae","Jacquemontia","grandiflora","Jacquemontia grandiflora glabrescens","Meisn.","Bianchini, RS; Pastore, M","2013","01","31","Ferreira, PPA; Durigon, J; Dettke, GA","789","2011","11","26","Brasil","PR","Laranjal",NA,"-52.339444","-24.894167","-52.339444","-24.894167",NA,NA,"trepadeira, flores azuis","ICN00031324","América do Sul",NA,NA,NA,"glabrescens",NA,NA
"11","2021-01-11 11:19:58-03","IBt","SP","470948","S","Plantae",NA,"Convolvulaceae","Jacquemontia","glabrescens","Jacquemontia glabrescens","(Meisn.) M.Pastore & Sim.-Bianch.",NA,NA,NA,NA,"Sobral, M","15603","2013","12","28","Brasil","Minas Gerais","Desterro do Melo",NA,"-43.5177993774414","-21.1471996307373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9962","auto"
"12","2019-11-21 10:03:19-03","IBt","SP","10914","S","Plantae",NA,"Convolvulaceae","Jacquemontia","grandiflora","Jacquemontia grandiflora glabrescens","Meisn.","Hoehne, FC",NA,NA,NA,"Loefgren, A","CGG3507","1897","01","02","Brasil","São Paulo","São Francisco","Caminho para Alto da Pedra","-50.689998626709","-20.3500003814697",NA,NA,NA,NA,NA,"SP023855",NA,"SP023855",NA,NA,"glabrescens","9856","auto"
