"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","470359","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","A. A. Conceição","J. R. Pirani","3432","1994","12","05","South America","Brazil","Espírito Santo","Marilândia","Rodovia para Rio Bananal, atras do lugarejo Sao Pedro","-40.5417","-19.4131","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470359","NY00470359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:39:00-03","MBM","MBM","401415","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Costa, T.S.","Snak, C.; Silva, C.; Rocha, D.E.; Silva, C.; Rocha, D.E.","1114","2014","02","16","Southern America","Brazil","Bahia","Caratinga","APA Pedra de Itaúna","-42.122222","-19.804167",NA,"Subarbusto ereto, 0,5-1,2m de altura; lâmina membranácea, fortemente discolor, as vezes vináceas na face abaxial; cálice verde, corola branca com o interior alaranjado.","MBM401415","MBM401415","2019","08","21","-42.122222","-19.804167","912","912",NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:39:00-03","MBM","MBM","146788","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Lourteig, A.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","55581","1991","06","17","Southern America","Brazil","Espírito Santo","Afonso Cláudio","Barra do Infância","-41.1239013671875","-20.0741996765137",NA,"Ereta, flor alvescente.; Mata das margens de rio encachoeirado, junto a rochas.","MBM146788","MBM146788","1995",NA,NA,NA,NA,"600","600","PARATYPE","25110","auto",NA,NA,NA
"4","2015-11-07 04:10:04-02","MNHN","RECOLNAT_MNHN_P","P02440115","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Lourteig","Brade, A.C.|Altamiro|Apparicio",NA,"1946","5","28",NA,"Brésil",NA,NA,"Espirito Santo, municipio de Staguassu, Jatiboca, na beira do rio",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02440115' target='other'> <mi>dwc_moreinfo</mi></a>","P02440115","P02440115_01",NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,"18484",NA,NA
"5","2015-09-05 10:46:39-03","MNHN","RECOLNAT_MNHN_P","P05580499","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig",NA,"Hatschbach, G.|Silva, J.M.|Hatschbach, M.",NA,"1991","6","17",NA,"Brasil","Espírito Santo","Afonso Claúdio","Barra do Infância","-41.1239013671875","-20.0741996765137","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05580499' target='other'> <mi>dwc_moreinfo</mi></a>","P05580499","P05580499_01",NA,NA,NA,NA,NA,NA,NA,NA,"25110","auto","55581",NA,NA
"6","2020-03-28 17:02:00-03","MO","MOBOT","2788521","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","Abel Conceicao","José R. Pirani","Pirani 3432","1994","12","5","South America","Brazil","Espírito Santo","Marilândia","Rodivia para Rio Bananal, coleta em remanescente e floresta pluvial tropical e baixada úmida com riacho, atrás do Lugarejo Sao Pedro.","-40.5416984558105","-19.4127998352051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21644","auto",NA,"1",NA
"7","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","25413",NA,"Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","J.L. Costa Lima/29-V-2014","L. Kollmann; et al","8677","2006","02","24",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Anselmo","-40.573056","-19.836944",NA,"Erva 40cm na sombra. Flores brancas, centro amarelo, cálice verde. Folhas vináceas, lado abaxial","MBML025413",NA,NA,NA,NA,"40W34'23","19S50'13",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","28955",NA,"Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","P. Fiaschi/jan.2011","L. Kollmann","9336","2006","09","29",NA,"Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, E.A.F.S.T., Valão de São Bras","-40.691667","-19.8",NA,"Erva 20cm na sombra. Flores lilás claro.","MBML028955",NA,NA,NA,NA,"40W41'30","19S48'0",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-13 19:40:25-03","MBML","MBML-HERBARIO","33476",NA,"Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","P. Fiaschi/jan.2011","M. Simonelli; F. A. R. Matos, L. F. Magnago","1150","2007","04","21",NA,"Brasil","Espírito Santo","Atílio Vivácqua","Serra das Torres","-41.209722","-21.340278",NA,"Herbaceae/terrestre, Flores brancas com fundo da corola lilás, Mata na beira do córrego","MBML033476",NA,NA,NA,NA,"41W12'35","21S20'25","520","520",NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","43615",NA,"Plantae",NA,NA,"Oxalidaceae","Oxalis","blackii","Oxalis blackii","Lourteig","J.L. Costa Lima/29-V-2014","S. C. de Sant'ana; A.M. Amorim & R.C. Forzza","779","1999","04","16",NA,"Brasil","Bahia","Oliveira dos Brejinhos","Ca 1,5km da sede do Município. Área de Mata que circunda a represa de captação de água para a cidade. Mata","-42.8960990905762","-12.3169002532959",NA,"Erva ereta com ca 70cm alt., folhas verdes discolores. Flores com pétalas amarelas","MBML043615",NA,NA,NA,NA,NA,NA,NA,NA,NA,"62270","auto",NA,NA,NA
