"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","year","month","day","county","decimalLongitude","decimalLatitude","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters"
"1","2016-09-29 21:16:00-03","NY","NYBG","884581","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","L. M. Versieux","A. F. M. Glaziou","15469","South America","Brazil","Rio de Janeiro","Orig. Chamê dos Orgaos. Cult. a Rio de Janeiro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","400491","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","imperialis","Vriesea imperialis",NA,"E. Pereira","10565","South America","Brazil","Rio de Janeiro","Serra da Estrela","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400491","Carrière","1967","03","12","Petrópolis","-43.1783","-22.505","NY00400491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:12:34-03","NBC","NL-BOTANY","U.1174580","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Vriesea","imperialis","Vriesea imperialis",NA,"Pereira E",NA,"Southern America","Brazil",NA,"Rio de Janeiro, Serra da Estrêla.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174580 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1174580","Carrière","1967","03","12",NA,NA,NA,"NL-U1174580","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:33-03","MN","R","229147","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"Uribbe, F.P.","254",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"R010016605,R010016608,R010016609,R010016610","(Carriere) Harms","2015","08","21","Arraial do Cabo","-42.0278015136719","-22.966100692749",NA,NA,"25964","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:25:33-03","MN","R","232996","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"Kessous, I.M.","178",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"R010045229,R010045230","(Carriere) Harms","2014","11","19","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:25:33-03","MN","R","199091","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"Costa, A.F.","748",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"R010004419","(Carriere) Harms","1999",NA,NA,"Teresópolis","-42.9655990600586","-22.4122009277344","R010004419 R010004419_1",NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:32:45-03","UFJF","CESJ","15531","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","L.C.D.Dias","L. Krieger","CESJ15531","América do Sul","Brasil","Minas Gerais",NA,NA,NA,"CESJ015531","(Carriere) Harms","1946","10","27","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,"36144","auto","2011","09","04",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:32:45-03","UFJF","CESJ","30424-A","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","L.C.D.Dias","A. N. Caiafa; et al.","s.n.","América do Sul","Brasil","Minas Gerais","Linhares- Pedreira de Santo Cristo",NA,NA,"CESJ30424A","(Carriere) Harms","1998","11","14","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,"36144","auto","2011","09","14",NA,NA,NA,NA,NA,NA,NA
"9","2020-06-30 18:32:06-03","UFJF","CESJ","46871","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"F.M. Ferreira; P.L. Viana; F.R.G. Salimena","996","América do Sul","Brasil","Minas Gerais","Parque Estadual do Ibitipoca",NA,"Erva rupícola em ambiente aberto ca. 1,5m. Folhas verdes com máculas vináceas. Brácteas primárias vináceas, brácteas secundárias vináceas e verde. Flores com cálice vináceo e corola amarela. Frutos verdes passados a vináceos.","CESJ046871","(Carriere) Harms","2006","03","08","Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-24 16:38:35-03","FURB","FURB","1874","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Hatschbach, G","Silva, J.M.; Ribas, O.S.","4531",NA,"Brasil","Paraná","Jardim Botânico Municipal.",NA,"Planta cultivada.","FURB01118","(Carrière) Harms","2005","12","01","Curitiba","-49.2388889","-25.4419444","FURB01118 FURB01118_1 FURB01118_2",NA,NA,NA,NA,NA,NA,"-49.2388889","-25.4419444",NA,NA,NA,NA,NA
"11","2021-03-16 17:54:13-03","UCS","HUCS","28992","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Hatschbach, G.","Silva, J.M.","4531",NA,"Brasil","Paraná","Jardim Botaânico Municipal",NA,"Base vinosa, cultivada; Terrícola",NA,"Harms","2005","12","01","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"25180","auto","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:19:20-03","MBM","MBM","268213","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Forzza, R.C.","Forzza, R.C.; et al.; et al.","2080","Southern America","Brazil","Minas Gerais","Reserva Biológica da Represa do Grama",NA,NA,"MBM268213","Harms","2002","03","03","Descoberto","-42.9674987792969","-21.4596996307373","MBM268213 MBM268213_1",NA,"11991","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:19:20-03","MBM","MBM","384455","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Barboza, E.","Dunaiski Jr.; A.","3507","Southern America","Brazil","Paraná","Schafer",NA,"Planta terrestre com flores amarelas e folhas vermelhas.","MBM384455","Harms","2007","11","25","Curitiba","-49.2731018066406","-25.4277992248535","MBM384455",NA,"25180","auto","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-01 15:28:05-03","PUC-RIO","FCAB","0696","PreservedSpecimen","Plantae",NA,"Angiospermae","Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Elton M.C. Leme","P. Capell S.J.","s.n.",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"000696","(Carriere) Harms","1953","10","24","Nova Friburgo","-42.5311012268066","-22.2819004058838",NA,NA,"33190","auto","2001","04",NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-09-03 21:41:57-03","MNHN","RECOLNAT_MNHN_P","P01764080","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"Glaziou",NA,NA,"Brasil","Rio de Janeiro","Brésil, R.J., Orig. Chain des Orgnes. Cult. Rio de Janeiro. Rio de Janeiro, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764080' target='other'> <mi>dwc_moreinfo</mi></a>","P01764080","(Carrière) Harms","1883","11","22",NA,NA,NA,"P01764080_01",NA,NA,NA,NA,NA,NA,NA,NA,"15469",NA,NA,NA,NA
"16","2015-09-03 21:41:57-03","MNHN","RECOLNAT_MNHN_P","P01764081","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","Brésil, Province de Rio Janeiro. Rio de Janeiro, Sudeste, Brasil, América do Sul","hb",". . Reçu le 12 mai 1881 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764081' target='other'> <mi>dwc_moreinfo</mi></a>","P01764081","(Carrière) Harms",NA,NA,NA,NA,NA,NA,"P01764081_01",NA,NA,NA,NA,NA,NA,NA,NA,"13262",NA,NA,NA,NA
"17","2015-09-03 21:41:57-03","MNHN","RECOLNAT_MNHN_P","P01764082","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","Brésil, Petropolis et la Chaine des Orgnes. Rio de Janeiro, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764082' target='other'> <mi>dwc_moreinfo</mi></a>","P01764082","(Carrière) Harms",NA,NA,NA,NA,NA,NA,"P01764082_01",NA,NA,NA,NA,NA,NA,NA,NA,"13262",NA,NA,NA,NA
"18","2015-10-22 10:02:39-02","UNIOESTE","UNOP","4979","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Hatschbach, G.","Silva, J.M.; Ribas, O.S.; Ribas, O.S.","4531",NA,"Brasil","Paraná","Jardim Botanico.",NA,"Terrícola, flor creme, base vinosa. Cultivada.",NA,"(Carrière) Harms","2005","12","01","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"25180","auto","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2526852","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"E. Pereira","10565","South America - Neotropics","Brazil","Rio de Janeiro","Serra da Estrêla",NA,NA,"US01936559","(Carrière) Harms","1967","3","12","Petrópolis","-43.1786003112793","-22.5049991607666","US01936559_01","Monocotyledonae","36524","auto",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2141846","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"L. Smith & A. C. Brade","5653","South America - Neotropics","Brazil","Rio de Janeiro","Parque Nacional Serra dos Orgãos, cultivated in garden",NA,NA,"US01936560","(Carrière) Harms","1952","2","3",NA,NA,NA,"US01936560_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2526862","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"S.C.",NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,"US01936561","(Carrière) Harms",NA,NA,NA,NA,NA,NA,"US01936561_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","1112490","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"A. F. M. Glaziou","13262","South America - Neotropics","Brazil",NA,NA,NA,NA,"US01936562","(Carrière) Harms",NA,NA,NA,NA,NA,NA,"US01936562_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"23","2021-03-25 13:51:52-03","UNIVILLE","JOI","1969","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","G. Hatschbach","J.M. Silva; O.S. Ribas","4531",NA,"Brasil","Paraná","Jardim Botânico Municipal",NA,"Flor creme e base vinosa. Cultivada Habito: Terrícola","JOI001969","(Carrière) Harms","2005","12","01","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"25180","auto","1905","06","28",NA,NA,NA,NA,NA,NA,NA
"24","2019-11-18 15:40:05-03","F","FMNH-SEEDPLANTS","V0416529F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis",NA,"A. Glaziou","13262","South America","Brazil",NA,NA,NA,NA,"V0416529F",NA,NA,NA,NA,NA,"-52.8731","-10.8339","V0416529F_01","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-07-23 12:00:48-03","CEPLAC","CEPEC","118250","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","R. F. Monteiro","R. C. Forzza","3202",NA,"Brasil","Minas Gerais","Parque Estadual da Serra do Ibitipoca. Gruta dos Moreiras.",NA,NA,NA,NA,"2004","03","11","LIMA DUARTE","-43.793098449707","-21.8425006866455",NA,NA,"30417","auto",NA,NA,NA,"43W52'97","21S40'64",NA,NA,"11/03/2004",NA,NA
"26","2020-11-12 17:02:25-03","UEL","FUEL","41837","PreservedSpecimen","Plantae","Tracheophyta","Poales","Bromeliaceae","Alcantarea","imperialis","Alcantarea imperialis","Hatschbach, G","Silva, JM; Ribas, OS","453",NA,"Brasil","Paraná","Jardim Botânico Municipal de Curitiba",NA,NA,NA,"Harms","2005","12","01","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"25180","auto","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA
