"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","county","decimalLongitude","decimalLatitude","infraspecificEpithet","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00906924","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","andromedoides","Myrcia andromedoides","Cambess.","Martii Herbar. Florae Brasil.","31","1837","South America","Brazil","Minas Gerais","Minas Geraes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906924","NY00906924_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907984","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","castrensis","Myrcia castrensis","(O.Berg) D.Legrand","J. A. Ratter","R3610","1976","South America","Brazil","Distrito Federal","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower. Below the Olho de Agua da Onça.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907984","NY00907984_01","09","17","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615962","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","castrensis","Myrcia castrensis klotzchiana","O.Berg","H. S. Irwin","7898","1965","South America","Brazil","Distrito Federal","Chapada da Contegem, ca. 20 km E of Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615962","NY00615962_01","08","25","Brasília","-47.9294","-15.7797","klotzchiana","C. M. D. E. Legrand","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00907982","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","castrensis","Myrcia castrensis","(O.Berg) D.Legrand","H. S. Irwin","8552","1965","South America","Brazil","Distrito Federal","Ca. 15 km E. of Brasília, on road to Paranoá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907982","NY00907982_01","09","22","Brasília","-47.77671","-15.7833",NA,NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615963","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","castrensis","Myrcia castrensis","(O.Berg) D.Legrand","R. Reitz","10626","1960","South America","Brazil","Santa Catarina","Serra da Boa Vista, Sao José","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209576' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615963","NY00615963_01","12","27","Sao José","-48.6272","-27.6156",NA,"C. M. D. E. Legrand","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00907983","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","castrensis","Myrcia castrensis","(O.Berg) D.Legrand","E. P. Heringer","9634","1963","South America","Brazil","Distrito Federal","Rio Vicente Pires, Núcleo Bandeirante. Margem do rio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907983","NY00907983_01","10","25","Brasília","-47.9294","-15.7797",NA,"G. M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00908392","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","melanosepala","Myrcia melanosepala","Kiaersk.","L. B. Damazio","s.n.",NA,"South America","Brazil","Minas Gerais","Planalto de Itacolumi","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908392","NY00908392_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1281651","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","melanosepala","Myrcia melanosepala","Kiaersk.","S. A. Mori","11413","1979","South America","Brazil","Bahia","Estrada que liga Ponta do Mutá (Porto de Campinhos) a Maraú, a 8 km do Porto. Folha SD (14-39b)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1736433' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281651","NY01281651_01","02","06","Maraú","-39.0144","-14.1033",NA,"M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00908156","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","pyrrhopilodes","Myrcia pyrrhopilodes","Kiaersk.","H. S. Irwin","22167","1969","South America","Brazil","Minas Gerais","Ca. 12km SW of Diamantina. Serra do Espinhaço.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908156","NY00908156_01","01","18",NA,"-43.7","-18.27",NA,"C. M. D. E. Legrand","1370","1370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","616544","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","shirleyana","Myrcia shirleyana","Mattos","A. C. Cervi","4011","1992","South America","Brazil","Paraná","Parque Estadual do Guartelá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=723419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616544","NY00616544_01","12","23","Tibagi","-50.3","-24.5",NA,"N. Silveira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
