"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","day","phylum","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","continentOcean","fieldNumber","preparationType","individualCount","sex"
"1","2021-02-18 09:30:18-03","UNESP-IBB","BOTU","32721","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","Amaral Jr., A.","526","1972","02","Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior","9999","9999","BOTU032721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:18-03","UNESP-IBB","BOTU","6605","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","Amaral Jr., A.","1116","1972","09","Brasil","São Paulo","Botucatu","Estrada que liga aeroporto e a represa do Rio Pardo, a + - 2 km do aeroporto","9999","9999","BOTU006605","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:31-03","PUCPR","HUCP","25261","S","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb. Rodr.) Pridgeon & M.W. Chase.","Oliveira, LRL","26",NA,NA,"Brasil","Parana","Curitiba","Cultivada na Casa de Vegetação UFPR",NA,NA,"HUCP00025261",NA,"Monocotiledonea","-49.2731018066406","-25.4277992248535","25180","Em cultivo na casa de vegetação da UFPR","HUCP00025261","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:31-03","PUCPR","HUCP","24523","S","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb. Rodr.) Pridgeon & M.W. Chase.","Almeida, A","029","2016","02","Brasil","Paraná","Curitiba",NA,NA,NA,"HUCP00002535",NA,"Monocotiledonea","-49.2731018066406","-25.4277992248535","25180",NA,"HUCP00002535","auto","Smidt, EC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 10:03:51-03","FURB","FURB","53006","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W.Chase","Caglioni, E.; Junckes, A. R.","662","2016","09","Brasil","Santa Catarina","Ilhota","Parque Botânico Morro do Baú.","-48.9433333","-26.8041667","FURB53006","21",NA,"-48.9433333","-26.8041667",NA,"Epífito coletado em galho caído. Flores roxa com pontuações e recoberta por indumento. Habitat: floresta em estágio avançado de regeneração. Habito: Epífito","FURB53006",NA,"Santos, M.","2016","09","22","340","340",NA,NA,NA,NA,NA
"6","2020-12-21 16:38:13-03","MBM","MBM","137531","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb.Rodr.) Pridgeon & M.W. Chase","Silva, J.M.","794","1990","03","Brazil","Paraná","Tijucas do Sul","Lagoinha",NA,NA,"MBM137531","05",NA,"-49.1988983154297","-25.9281005859375","25228","Flor vinosa. Sobre troncos podres de mata","MBM137531","auto","Mancinelli, W.S.","2009","11","24",NA,NA,"Southern America",NA,NA,NA,NA
"7","2020-12-21 16:38:44-03","MBM","MBM","29906","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","crinita","Pleurothallis crinita","Barb. Rodr.","Hatschbach, G.","14885","1966","04","Brazil","Paraná","Ponta Grossa","Parque Vila Velha, Lagoa Dourada",NA,NA,"MBM029906","13",NA,"-50.1618995666504","-25.0949993133545","46557",NA,"MBM029906","auto","Pabst, G.",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"8","2020-12-21 16:38:44-03","MBM","MBM","29907","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","crinita","Pleurothallis crinita","Barb. Rodr.","Hatschbach, G.","3226","1953","02","Brazil","Paraná","Tibagi","Fazenda Monte Alegre, Jaguatirica",NA,NA,"MBM029907","19",NA,"-50.4136009216309","-24.5093994140625","56988",NA,"MBM029907","auto","Pabst, G.",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"9","2015-09-03 19:56:30-03","MNHN","RECOLNAT_MNHN_P","P00492956","PreservedSpecimen",NA,"Orchidaceae","Pleurothallis","crinita","Pleurothallis crinita","Barb.Rodr.","Regnell, A.F.",NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"P00492956",NA,NA,NA,NA,NA,"Donné en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00492956' target='other'> <mi>dwc_moreinfo</mi></a>","P00492956_01 P00492956_02",NA,NA,NA,NA,NA,NA,NA,NA,"III 2021","hb",NA,NA
"10","2021-02-11 17:20:51-03","UFPR","UPCB","86954","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","crinita","Acianthera crinita","(Barb. Rodr.) Pridgeon & M.W. Chase","Toscano de Brito, A.L.V.","3559","2016","07","Brasil","sem localidade",NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,"Cultivada por M. Klingelfus s.n.. Amostra conservada em solução de glicerina com álcool..",NA,NA,"Toscano de Brito, A.L.V.","2016","09","15",NA,NA,NA,NA,NA,NA,NA
