"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","phylum","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","relationshipType","relatedCatalogItem","class","order","occurrenceRemarks","continentOcean","fieldNumber","preparationType","individualCount"
"1","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","9248","PreservedSpecimen","Plantae","Orchidaceae","Zygopetalum","crinitum","Zygopetalum crinitum","Lodd.","Santana, I.C.","1999","02","09","Amaral Jr., A.","1261","1974","08","06","Brasil","São Paulo","Botucatu","Jardim Botânico, Câmpus da UNESP de Botucatu, Distrito de Rubião Júnior","9999","9999","BOTU009248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:26:39-03","PUCPR","HUCP","21727","S","Plantae","Orchidaceae","Zygopetalum","crinitum","Zygopetalum crinitum","Lodd.","Kersten, RA",NA,NA,NA,"Kersten, RA","1278","2007","12","10","Brasil","Paraná","Piraquara",NA,NA,NA,"HUCP00006502","Monocotiledonea","-49.0633010864258","-25.4416999816895","12577","HUCP00006502","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:39-03","PUCPR","HUCP","21883","S","Plantae","Orchidaceae","Zygopetalum","crinitum","Zygopetalum crinitum","Lodd.",NA,NA,NA,NA,"Selusniaki, M; Kersten, RA","3039/1403","2009","10","30","Brasil","Paraná","Piraquara","Morro do Canal",NA,NA,NA,"Monocotiledonea","-49.0633010864258","-25.4416999816895","12577",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:39-03","PUCPR","HUCP","19864","S","Plantae","Orchidaceae","Zygopetalum","crinitum","Zygopetalum crinitum","Lodd.","Kersten, RA",NA,NA,NA,"Kersten, RA","1319","2008","08","10","Brasil","Paraná","Quatro Barras","Morro do Anhangava",NA,NA,"HUCP00006623","Monocotiledonea","-49.0769004821777","-25.3656005859375","17116","HUCP00006623","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:39-03","PUCPR","HUCP","7384","S","Plantae","Orchidaceae","Zygopetalum","crinitum","Zygopetalum crinitum","Lodd.","Hatschbach, GG",NA,NA,NA,"Poliquesi, CB; Cruz, JM","198","1994","11","09","Brasil","Paraná","Guaratuba","Serra do Araçatuba",NA,NA,"HUCP00006622","Monocotiledonea","-48.5746994018555","-25.8827991485596","41937","HUCP00006622","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:19-03","MN","R","192905","PreservedSpecimen","Plantae","Orchidaceae","Zygopetalum","crinitum","Zygopetalum crinitum","Lodd.","Bowden, J.K.","1964","01","17","Segadas-Vianna, F.","2966","1951","03",NA,"Brasil","São Paulo","Barreiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:19-03","MN","R","36498","PreservedSpecimen","Plantae","Orchidaceae","Zygopetalum","crinitum","Zygopetalum crinitum","Lodd.","Forster, W.","2002","03",NA,"Rosa, M.",NA,"1943","09",NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:41:19-03","MN","R","43783","PreservedSpecimen","Plantae","Orchidaceae","Zygopetalum","crinitum","Zygopetalum crinitum","Lodd.","Forster, W.","2002","03",NA,"Hans, D.","146","1947","05","18","Brasil","Rio de Janeiro","Rio de Janeiro","Alto da Boa Vista",NA,NA,NA,NA,"-43.2075004577637","-22.9027996063232","57442",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-19 08:08:18-03","FPS","FPS","2562","MachineObservation","Plantae","Orchidaceae","Zygopetalum","crinitum","Zygopetalum crinitum","Lodd.","Schwirkowski, P.","2016","10","23","Schwirkowski, P.","1993","2016","10","23","Brasil","Santa Catarina","São Bento do Sul","Sertãozinho. Em beira de estrada, após a capelinha","-49.406125","-26.317273","FPS02562,FURB52097",NA,"-49.406125","-26.317273",NA,"FPS02562_v01 FPS02562_v02 FPS02562_v03 FPS02562_v04 FPS02562_v05 FPS02562_v06 FPS02562_v07 FPS02562_v08 FURB52097",NA,NA,NA,"voucher","FURB 52097",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:26:39-03","IAP","PACA-AGP","107694","PreservedSpecimen","Plantae","Orchidaceae","Zygopetalum","crinitum","Zygopetalum crinitum","Lodd.","A. Sehenm",NA,NA,NA,"Sehnem, A.","2957","1947","09","15","Brasil","RS","Montenegro","S. Salvador.",NA,NA,"PACA107694","Magnoliophyta","-51.4611015319824","-29.6886005401611","21601",NA,"auto","600","600",NA,NA,"Liliatae","Orchidales","Habitat: epiphytum in silva",NA,NA,NA,NA
