"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00984737","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","pulchellum","Eriosema crinitum pulchellum","Benth.","R. H. Fortunato","H. S. Irwin","10281","1965","11","16","South America","Brazil","Minas Gerais","Serra do Rio Preto, ca. 5 km E. of Goiás boundary on road to Garapauavá, M. G.","-46.8","-15.88","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984737","NY00984737_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","600489","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","J. W. Grear","H. S. Irwin","14856","1966","04","14","South America","Brazil","Bahia","Drainage of the Rio Corrente, Western Bahia. Rio Piau, ca. 150 km. S.W. of Barreiras",NA,NA,"850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600489","NY00600489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00984825","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear","H. S. Irwin","10116","1965","11","09","South America","Brazil","Distrito Federal","3 km N. of Sobradinho","-47.8167","-15.60619","1225","1225","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984825","NY00984825_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","607936","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","pulchellum","Eriosema crinitum pulchellum","Benth.","R. H. Fortunato","D. O. Norris","287","1964","05","27","South America","Brazil","São Paulo","Near village of Motuca, 11 km NW of Rincâo","-48.1697","-21.7903",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372468' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607936","NY00607936_01","Araraquara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-28 15:07:00-02","NY","NYBG","01019667","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","R. Callejas Posada","M. Macedo","1519","1980","04","11","South America","Brazil","Mato Grosso","Near Zoo dam, Cuiabá","-56.0967","-15.5961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132255' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019667","NY01019667_01","Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","600490","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","J. W. Grear Jr.","G. Gardner","1549","1836",NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600490","NY00600490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00984649","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","stipulare","Eriosema crinitum stipulare","(Benth.) Fortunato",NA,"H. S. Irwin","17063","1966","06","13","South America","Brazil","Mato Grosso","Ca. 25 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.87","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984649","NY00984649_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01019653","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","crinitum","Eriosema crinitum crinitum","(Kunth) Don","J. W. Grear","H. S. Irwin","8801","1965","09","29","South America","Brazil","Distrito Federal","Vicinity of Planaltina","-47.67","-15.62","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132151' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019653","NY01019653_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00984622","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear","H. S. Irwin","17895","1966","06","28","South America","Brazil","Goiás","Ca. 45 km. S. of Caiapônia, road to Jataí. Serra do Caiapó.","-51.77","-17.28","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1130474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984622","NY00984622_01","Caiapônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","600496","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Eriosema","crinitum","macrophyllum","Eriosema crinitum macrophyllum","Grear","J. W. Grear Jr.","F. C. Hoehne","s.n.","1917","05","02","South America","Brazil","São Paulo","Butantan","-46.724373","-23.565521",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600496","NY00600496_01","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
