"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","individualCount","fieldNumber","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01058559","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","11712","1968","08","08","South America","Brazil","Goiás","Cristalina","Samambaia á 50 km de Luziania","-47.6133","-16.7686","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142074' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058559","NY01058559_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01058552","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","5158","1980","07","01","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142067' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058552","NY01058552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04034737","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.",NA,"P. Acevedo-Rodríguez","16613","2017","09","01","South America","Brazil","Mato Grosso do Sul",NA,"Serra da Bodoquena, northwestern side of the southern sector along road to Laudjá","-56.7289","-21.1089","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336527' target='other'> <mi>dwc_moreinfo</mi></a>","NY04034737",NA,"590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","601333","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","F. C. Hoehne","s.n.","1936","07","31","South America","Brazil","São Paulo",NA,"Da Invernada, Fazenda Guanabara. Ilha Seca",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601333","NY00601333_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01019878","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","5244","1980","07","15","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138588' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019878","NY01019878_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01019875","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","7250","1981","07","29","South America","Brazil","Distrito Federal","Brasília",NA,"-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138563' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019875","NY01019875_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01019880","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","16978","1978","03","16","South America","Brazil","Distrito Federal","Brasília",NA,"-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138600' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019880","NY01019880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01058555","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","5244","1980","07","15","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142071' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058555","NY01058555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","601335","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","R. C. Barneby","M. H. Nee","35816","1987","08","29","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Terevinto","-63.38","-17.72","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601335",NA,"425","425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01019876","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","7293","1981","07","30","South America","Brazil","Distrito Federal","Brasília",NA,"-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138573' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019876","NY01019876_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-27 04:29:00-03","NY","NYBG","601336","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii",NA,"B. A. Krukoff","A. G. Schulz","1568a","1938","01",NA,"South America","Argentina","Chaco",NA,"Las Palmas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01058556","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","5244","1980","07","15","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142072' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058556","NY01058556_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","196220","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","R. C. Barneby","V. Pesha Baca","218","1991","08","07","South America","Peru","Madre de Dios","Tambopata","Rio Tambopata. Comunidad Nativa de Infierno. Hermosa Chica. Centro Ñape","-69.28","-12.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196220",NA,"260","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01058557","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","11712","1968","08","08","South America","Brazil","Goiás","Cristalina","Samambaia á 50 km de Luziania","-47.6133","-16.7686","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142073' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058557","NY01058557_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01019888","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","J. A. Ratter","R226","1967","07","29","South America","Brazil","Mato Grosso",NA,"Ca. 75 km. N. of Aragarças on Aragarças-Xavantina road",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138613' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019888","NY01019888_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01019877","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","10509","1965","08","31","South America","Brazil","Goiás","Luziânia","Corrego S. Antonio, Descoberto, perto do Rio Samambaia","-47.9503","-16.2528","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138577' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019877","NY01019877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","601334","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","17456","1979","08","31","South America","Brazil","Minas Gerais",NA,"Coleta efetuada entre Paracatú e Joâo Pinheiro",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601334","NY00601334_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01019887","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","J. M. Pires","16147","1978","07","24","South America","Brazil","Tocantins","Araguaína","Rodovia Belém-Brasília, 10 km S de Araguaina.","-48.2069","-7.1911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138610' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019887","NY01019887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01019879","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","5244","1980","07","15","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138599' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019879","NY01019879_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01058554","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","18049","1979","08","20","South America","Brazil","Goiás","Luziânia","(15 km ao Sul da cidade)","-47.9503","-16.2528","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142069' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058554","NY01058554_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01058558","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","R. C. Barneby","A. Salino","3318","1997","07","21","South America","Brazil","Minas Gerais",NA,"Januária, Vale do rio Peruaçu, lagoa próximo ao Sitio Arqueológico do Caboclo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142075' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058558","NY01058558_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01450967","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","R. C. Barneby","C. R. Sperling","6180","1982","06","15","South America","Brazil","Pará",NA,"3 km SE of Amza mining camp 3-Alfa then W along secondary logging road","-50.53","-5.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1688042' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450967","NY01450967_01","225","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01019882","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.",NA,"E. P. Heringer","18049","1979","08","20","South America","Brazil","Goiás","Luziânia","(15 km ao Sul da cidade)","-47.9503","-16.2528","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138604' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019882","NY01019882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01019881","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","N. D. Richmond","E. P. Heringer","1897","1979","07","24","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138603' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019881","NY01019881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01058553","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","16978","1978","02","16","South America","Brazil","Distrito Federal","Brasília",NA,"-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142068' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058553","NY01058553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01019874","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","dominguezii","Erythrina dominguezii","Hassl.","B. A. Krukoff","E. P. Heringer","7297","1981","08","03","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu, adjacências do córrego Lage","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138533' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019874","NY01019874_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
