"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","previousCatalogNumber","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00668743","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil. & Moq.","A. L. Bernardi","G. G. Hatschbach","22650","1969","10","25","South America","Brazil","Paraná","Marmeleiro","Estr. Marmeleiro - Campo Erê.","-53.0258","-26.1494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668743","NY00668743_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00668744","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil. & Moq.","G. G. Hatschbach","G. G. Hatschbach","39171","1976","11","08","South America","Brazil","Paraná","Balsa Nova","Campina da Cascavel.","-49.6356","-25.5842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668744","NY00668744_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00668749","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil. & Moq.","A. L. Bernardi","P. K. H. Dusén","11297","1910","12","25","South America","Brazil","Paraná",NA,"Carambehy, in campo arenoso.",NA,NA,"sheet","Plantae Brasilienses e civitate Paraná reportatae. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668749","NY00668749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00668747","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil. & Moq.","J. J. Wurdack","L. B. Smith","14784","1965","01","18","South America","Brazil","Paraná","Jaguariaíva","Fazenda Cajurú, source of Rio Cajurú.","-49.32","-24.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668747","NY00668747_01","1000","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00668748","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil. & Moq.","A. C. Cervi","A. C. Cervi","4094","1993","04","22","South America","Brazil","Paraná","Palmeira","Rio dos Papagaios.","-49.73","-25.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668748","NY00668748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00668746","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil. & Moq.","A. L. Bernardi","L. B. Smith","13763","1964","12","07","South America","Brazil","Santa Catarina","Campo Erê","8 km west of Campo Erê.","-53.1","-26.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668746","NY00668746_01","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00668745","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil. & Moq.","J. J. Wurdack","G. G. Hatschbach","39192","1976","11","18","South America","Brazil","Paraná","Piraí do Sul","Joaquim Murtinho.","-49.9483","-24.5261","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668745","NY00668745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:43-03","UFRJ","RFA","8290","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil. & Moq.","G.G. Hatschbach","G.G. Hatschbach","14605","1966","03","04",NA,"Brasil","Paraná","Jaguariaíva","Fazenda Cajuru","-49.7057991027832","-24.2511005401611",NA,"Flor 10 P 8/4","RFA47736",NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:22:59-03","UFBA","ALCB","050042","PreservedSpecimen","Plantae","Dicotyledon",NA,"Polygalaceae","Polygala","moquiniana","Polygala moquiniana","J.St.-Hil.","Dombrowski, LT","Dombrowski, LT; Scherer Neto, P","1312","1979","11","14","Southern America","Brasil","Paraná","Balsa Nova","Tamanduá","-49.6356010437012","-25.5839004516602",NA,"Flores rosado forte.; Em campo pedregoso, limpo; frequente","ALCB034119","ALCB034119",NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:15:55-03","NBC","NL-BOTANY","U.1527909","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil.","Lüdtke R","Lindeman JC; Haas JH de",NA,"1966","05","01","Southern America","Brazil","Paraná",NA,"Paraná; Sawmill Brandalize, N. of Rio Chopim, c. 20 km N. of Clevelandia.",NA,NA,NA,"On small campo on flat hill.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1527909 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1527909","NL-U1527909",NA,NA,NA,NA,"Magnoliopsidae","2007","09","17","U 0111959",NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:15:55-03","NBC","NL-BOTANY","U.1527910","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil.","Lüdtke R","Hatschbach GG",NA,"1966","03","04","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1527910 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1527910","NL-U1527910",NA,NA,NA,NA,"Magnoliopsidae","2007","09","17","U 0111966",NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:15:55-03","NBC","NL-BOTANY","WAG.1936855","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil.",NA,"Hatschbach GG",NA,"1976","11","08","Southern America","Brazil",NA,NA,"Campina de Cascavel (mun. Balsa Nova), Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1936855 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1936855","NL-WAG1936855",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:15:55-03","NBC","NL-BOTANY","WAG.1936856","PreservedSpecimen","Plantae",NA,"Fabales","Polygalaceae","Polygala","moquiniana","Polygala moquiniana","A.St.-Hil.",NA,"Smith LB; Reitz R",NA,"1965","01","03","Southern America","Brazil",NA,NA,"Brazil. Santa Catarina. Mun. São Joaquim: Rocky campo on hill east, Conta Dinheiro.","-49.533333","-28.116667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1936856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1936856","NL-WAG1936856",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"-49.533333","-28.116667",NA,NA,NA,NA
"14","2020-11-04 11:17:31-03","ESALQ","ESA","17471","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Polygalaceae","Polygala","moquiniana","Polygala moquiniana",NA,NA,"Souza, V.C. et al.","7344.0","1994","11","14",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA017471","ESA017471",NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
