"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","recordNumber","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","typeStatus","sex"
"1","2021-04-05 14:25:10-03","UNESC","CRI","13798","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","asperula","Rhynchospora asperula","(Nees) Steud.","Christian Silva","2018","04","15","Alexandre Medeiros","2018","04","15","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro. APA da Costa Branca.","-48.585","-27.023333","48º35'6''W","27º1'24''S","Coleta 1071. Habitat: Terrestre Habito: Herbácea","CRI012409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:11-03","UNESC","CRI","13589","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","corymbosa","Rhynchospora corymbosa","(L.) Britton","Renato Colares","2018","05","28","Renato Colares; Thuany Machado","2018","03",NA,"Brasil","Santa Catarina","Treviso","Campo Morozini","-49.445556","-28.531389","49º26'44''W","28º31'53''S","Habitat: Terrestre Habito: Herbácea","CRI012196","161","161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:11-03","UNESC","CRI","5120","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","corymbosa","Rhynchospora corymbosa","(L.) Britton","Bruno Irgang","1996","11","07","Vanilde C. Zanette; Valdemar P. Boff","1996","11","07","Brasil","Santa Catarina","Capivari de Baixo","Estiva dos Pregos.","-48.958056","-28.445278","48º57'29''W","28º26'43''S",NA,"CRI002208",NA,NA,"2273","CRI002208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:39-03","E","E","202945","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","corymbosa","Rhynchospora corymbosa",NA,NA,NA,NA,NA,"De Carvalho, V.M.; Farias, R.; Milhomens Fonseca, L.C.; Potzernheim, M.L.; Proença, C.; Cardoso Rosa, L.O.G.; de Carvalho, A.M.; de Carvalho, J.A.","1998","09","08","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202945 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202945",NA,NA,"27",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:217753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:39-03","E","E","56593","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","corymbosa","Rhynchospora corymbosa",NA,NA,NA,NA,NA,"Manteiro, R.","1978","05","04","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00056593 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00056593",NA,NA,"7696",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:63989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 10:05:00-03","NY","NYBG","1747897","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","asperula","Rhynchospora asperula",NA,"A. C. Araújo",NA,NA,NA,"D. C. Zappi","2009","03","06","Brazil","Minas Gerais","Santana do Pirapama","Serra do Cipó, acesso pela Faz. Inhame, Cachoeira do Quartel.","-43.7789","-18.9753",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2008643' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747897","661",NA,"1758","NY01747897_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-08-01 14:04:00-03","NY","NYBG","02618859","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","aurea","Rhynchospora aurea",NA,NA,NA,NA,NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2935596' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618859",NA,NA,"s.n.","NY02618859_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-08-04 09:59:00-03","NY","NYBG","02618883","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","corymbosa","Rhynchospora corymbosa",NA,NA,NA,NA,NA,"W. J. Junk","1968","07","09","Brazil","Amazonas",NA,"Lago do Parú (Rio Solimões).",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2935620' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618883",NA,NA,"s.n.","NY02618883_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","612717","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","corymbosa","Rhynchospora corymbosa","(L.) Britton","T. M. Koyama",NA,NA,NA,"G. G. Hatschbach","1969","10","26","Brazil","Paraná",NA,"Clevelandia.","-52.356349","-26.406902",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612717",NA,NA,"22683","NY00612717_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00938417","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","corymbosa","Rhynchospora corymbosa","(L.) Britton","A. C. Araújo",NA,NA,NA,"P. L. Krieger","1969","11",NA,"Brazil","Minas Gerais",NA,"Sítio (Borda).",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00938417",NA,NA,"7789","NY00938417_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
